id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R38-011,Rebuild_Set38,横断複合・重複回避十七段目,case,ベンチマークの選定,LLM評価/ベンチマーク,判断/評価,case,新しめ,有名ベンチマークだけで業務適合を決める罠,社内FAQ回答AIを導入する。公開ベンチマークでは高得点だが、社内用語や手続きが多い。最も適切な評価はどれか。,公開ベンチマークに加え、社内FAQ・禁止回答・参照根拠を含む業務用評価セットで試す,公開ベンチマークが高ければ、社内評価は不要である,FAQは自然言語なので、翻訳ベンチマークだけで十分である,社内用語はRAGで必ず解決するため評価対象から外す,A,汎用ベンチマークと業務適合性は別である。実利用に近い評価セットが必要。,正解。汎用ベンチマークと業務適合性は別である。実利用に近い評価セットが必要。,誤り。設問の条件では、公開ベンチマークが高ければ、社内評価は不要である は適切でない。,誤り。設問の条件では、FAQは自然言語なので、翻訳ベンチマークだけで十分である は適切でない。,誤り。設問の条件では、社内用語はRAGで必ず解決するため評価対象から外す は適切でない。,有名ベンチマークだけで業務適合を決める罠,ベンチマーク;業務評価;FAQ;RAG;LLM評価,さいはての通路で速くても、四年五組の廊下で迷わないとは限らない。
R38-012,Rebuild_Set38,横断複合・重複回避十七段目,case,ウォーターマークの限界,生成AI/真正性,理解/リスク,case,新しめ,透かしがあれば完全検出できる罠,生成画像にウォーターマークを付ける仕組みを導入する。最も適切な理解はどれか。,出所確認の助けになるが、加工・再圧縮・除去への耐性や誤検出も考慮する,ウォーターマークがあれば、生成物の真偽は必ず100%判定できる,ウォーターマークは著作権の発生有無を自動で決める技術である,ウォーターマークを入れれば、説明責任や利用ルールは不要になる,A,ウォーターマークは出所確認の補助だが万能ではない。耐改ざん性や誤検出、運用ルールが必要。,正解。ウォーターマークは出所確認の補助だが万能ではない。耐改ざん性や誤検出、運用ルールが必要。,誤り。設問の条件では、ウォーターマークがあれば、生成物の真偽は必ず100%判定できる は適切でない。,誤り。設問の条件では、ウォーターマークは著作権の発生有無を自動で決める技術である は適切でない。,誤り。設問の条件では、ウォーターマークを入れれば、説明責任や利用ルールは不要になる は適切でない。,透かしがあれば完全検出できる罠,ウォーターマーク;生成AI;真正性;コンテンツ認証;誤検出,印がついていても、雨に濡れた札は読めなくなることがある。
R38-013,Rebuild_Set38,横断複合・重複回避十七段目,case,多目的最適化,AI導入/評価,判断/設計,case,安定領域,単一指標だけで採用を決める罠,配送計画AIで、コスト削減、遅延低減、ドライバー負荷の公平性を同時に考えたい。最も適切な方針はどれか。,複数指標の優先度や制約条件を明示し、利害関係者とトレードオフを確認する,最も改善した単一指標だけでAIの採用可否を決める,公平性は倫理の話なので、最適化問題には含められない,コストが下がれば、遅延や負荷の偏りは評価しなくてよい,A,実務AIでは複数の目的が衝突する。指標・制約・優先順位を明示してトレードオフを扱う。,正解。実務AIでは複数の目的が衝突する。指標・制約・優先順位を明示してトレードオフを扱う。,誤り。設問の条件では、最も改善した単一指標だけでAIの採用可否を決める は適切でない。,誤り。設問の条件では、公平性は倫理の話なので、最適化問題には含められない は適切でない。,誤り。設問の条件では、コストが下がれば、遅延や負荷の偏りは評価しなくてよい は適切でない。,単一指標だけで採用を決める罠,多目的最適化;制約条件;公平性;配送計画;トレードオフ,さいはてで速さだけ選ぶと、誰かの帰り道が消える。
R38-014,Rebuild_Set38,横断複合・重複回避十七段目,case,RAGの引用粒度,生成AI/RAG,判断/設計,case,新しめ,引用があれば根拠十分とみなす罠,RAG回答に参考文書名だけを表示しているが、利用者から「どの部分を根拠にしたか分からない」と言われた。最も適切な改善はどれか。,回答を短くすれば、根拠表示は不要になる,該当箇所や段落へのリンク、検索スコア、回答生成時の参照範囲を示す,文書名が出ているので、根拠説明として常に十分である,RAGでは引用表示をするとハルシネーションが必ず消える,B,文書名だけでは根拠の位置が曖昧な場合がある。該当箇所や参照範囲を示すと検証しやすい。,誤り。設問の条件では、回答を短くすれば、根拠表示は不要になる は適切でない。,正解。文書名だけでは根拠の位置が曖昧な場合がある。該当箇所や参照範囲を示すと検証しやすい。,誤り。設問の条件では、文書名が出ているので、根拠説明として常に十分である は適切でない。,誤り。設問の条件では、RAGでは引用表示をするとハルシネーションが必ず消える は適切でない。,引用があれば根拠十分とみなす罠,RAG;引用;根拠表示;検索スコア;説明可能性,さいはてでは「記録庫にある」だけでなく、どの棚のどの行かが必要。
R38-015,Rebuild_Set38,横断複合・重複回避十七段目,case,差分プライバシーの理解,プライバシー/統計,理解/判断,case,新しめ,ノイズを入れれば何でも使える罠,ユーザー行動データの統計を公開したい。差分プライバシーを使う場合の説明として最も適切なものはどれか。,個人ごとの生データを公開する技術であり、ノイズは不要である,個人1人の有無が出力に与える影響を抑えるため、制御されたノイズを加える,差分プライバシーを使うと、分析精度は必ず元データと完全一致する,暗号化通信と同じ意味で、集計結果には関係しない,B,差分プライバシーは個人の参加有無が結果から推測されにくくする考え方。プライバシーと有用性のバランスがある。,誤り。設問の条件では、個人ごとの生データを公開する技術であり、ノイズは不要である は適切でない。,正解。差分プライバシーは個人の参加有無が結果から推測されにくくする考え方。プライバシーと有用性のバランスがある。,誤り。設問の条件では、差分プライバシーを使うと、分析精度は必ず元データと完全一致する は適切でない。,誤り。設問の条件では、暗号化通信と同じ意味で、集計結果には関係しない は適切でない。,ノイズを入れれば何でも使える罠,差分プライバシー;ノイズ;統計公開;プライバシー予算;再識別,四年五組の人数を言うとき、ひとりの影が浮かびすぎないようにぼかす。
R38-016,Rebuild_Set38,横断複合・重複回避十七段目,case,モデル更新のカナリアリリース,MLOps/運用,判断/運用,case,安定領域,一斉切替だけがリリースと考える罠,推薦モデルを新バージョンへ切り替える。ユーザー体験悪化のリスクを抑えたい。最も適切なリリース方法はどれか。,全ユーザーへ同時に切り替え、苦情が出てから戻す,一部ユーザーや低リスク範囲で段階的に適用し、指標を監視して拡大する,新モデルのオフライン精度が高ければ、本番監視は不要である,古いモデルを削除してから新モデルを試す,B,カナリアリリースや段階的展開は本番リスクを抑える。指標監視とロールバック手段も必要。,誤り。設問の条件では、全ユーザーへ同時に切り替え、苦情が出てから戻す は適切でない。,正解。カナリアリリースや段階的展開は本番リスクを抑える。指標監視とロールバック手段も必要。,誤り。設問の条件では、新モデルのオフライン精度が高ければ、本番監視は不要である は適切でない。,誤り。設問の条件では、古いモデルを削除してから新モデルを試す は適切でない。,一斉切替だけがリリースと考える罠,カナリアリリース;MLOps;推薦モデル;ロールバック;本番監視,さいはてで橋を架け替えるなら、まず一人が渡って揺れを見る。
R38-017,Rebuild_Set38,横断複合・重複回避十七段目,case,OCRと後続業務,AI応用/業務設計,判断/運用,case,安定領域,AI単体精度だけで業務効果を決める罠,請求書OCRの文字認識精度は高いが、経理担当の確認時間があまり減らない。最も適切な見直しはどれか。,OCR精度だけをさらに小数点以下まで追求する,後続の突合、例外処理、確認画面、誤読時の影響を含めて業務全体を評価する,AIが使われているので、人間の確認フローは必ず不要になる,請求書枚数が多ければ、業務効果は必ず出る,B,AI導入効果はモデル精度だけでなく、業務フロー全体で見る。例外処理や確認UIがボトルネックになることがある。,誤り。設問の条件では、OCR精度だけをさらに小数点以下まで追求する は適切でない。,正解。AI導入効果はモデル精度だけでなく、業務フロー全体で見る。例外処理や確認UIがボトルネックになることがある。,誤り。設問の条件では、AIが使われているので、人間の確認フローは必ず不要になる は適切でない。,誤り。設問の条件では、請求書枚数が多ければ、業務効果は必ず出る は適切でない。,AI単体精度だけで業務効果を決める罠,OCR;業務改善;例外処理;ヒューマンレビュー;AI導入,四年五組で字が読めても、その紙をどこへ持っていくかで迷えば進まない。
R38-018,Rebuild_Set38,横断複合・重複回避十七段目,case,プロンプトログの扱い,生成AI/監査,判断/運用,case,新しめ,ログは多く残すほど良いという罠,社内LLMのプロンプトと回答を監査用に保存したい。最も適切な設計はどれか。,全ログを無期限・無制限に保存し、誰でも閲覧できるようにする,保存目的、保存期間、アクセス権、マスキング、削除手順を決める,ログは監査に使うので、個人情報や機密情報を含んでも扱いは不要である,ログを保存すると安全性評価は不要になる,B,ログは監査に有用だが、個人情報・機密情報を含みうる。目的、期間、権限、削除手順が必要。,誤り。設問の条件では、全ログを無期限・無制限に保存し、誰でも閲覧できるようにする は適切でない。,正解。ログは監査に有用だが、個人情報・機密情報を含みうる。目的、期間、権限、削除手順が必要。,誤り。設問の条件では、ログは監査に使うので、個人情報や機密情報を含んでも扱いは不要である は適切でない。,誤り。設問の条件では、ログを保存すると安全性評価は不要になる は適切でない。,ログは多く残すほど良いという罠,プロンプトログ;監査ログ;個人情報;アクセス権;保存期間,さいはての記録も、誰でも永遠に読める形では危ない。
R38-019,Rebuild_Set38,横断複合・重複回避十七段目,case,生成AI出力の校閲責任,生成AI/著作権・品質,判断/倫理,case,新しめ,AIが作ったから責任が消える罠,広告文を生成AIで作り、社外公開する。担当者が確認すべきこととして最も適切なものはどれか。,AI出力なので、誤情報や権利侵害の確認は不要である,事実関係、商標・著作権、差別表現、企業ブランドとの整合を人間が確認する,生成AIの文章は必ず独自なので、類似表現の確認は不要である,プロンプトを保存しなければ、責任の所在は問題にならない,B,生成AI出力は誤情報や不適切表現を含む可能性がある。公開前の人間による確認が重要。,誤り。設問の条件では、AI出力なので、誤情報や権利侵害の確認は不要である は適切でない。,正解。生成AI出力は誤情報や不適切表現を含む可能性がある。公開前の人間による確認が重要。,誤り。設問の条件では、生成AIの文章は必ず独自なので、類似表現の確認は不要である は適切でない。,誤り。設問の条件では、プロンプトを保存しなければ、責任の所在は問題にならない は適切でない。,AIが作ったから責任が消える罠,生成AI;広告;著作権;商標;ファクトチェック;校閲,ミチが書いた文でも、ユイが外へ出すならユイの判断が残る。
R38-020,Rebuild_Set38,横断複合・重複回避十七段目,case,コンセプトドリフト対応,モデル運用/監視,判断/運用,case,安定領域,一度高精度なら長期安定と考える罠,不正検知モデルの精度が数か月後に低下した。攻撃手口や利用者行動が変わった可能性がある。最も適切な対応はどれか。,初期テストで高精度だったので、低下は無視する,入力分布・ラベル分布・誤判定事例を監視し、再学習や閾値見直しを検討する,モデルを深くすれば、ドリフト監視は不要になる,正解率だけが下がっていなければ、再現率の低下は問題ではない,B,時間とともにデータ分布や概念が変わることがある。監視、再評価、再学習の運用が重要。,誤り。設問の条件では、初期テストで高精度だったので、低下は無視する は適切でない。,正解。時間とともにデータ分布や概念が変わることがある。監視、再評価、再学習の運用が重要。,誤り。設問の条件では、モデルを深くすれば、ドリフト監視は不要になる は適切でない。,誤り。設問の条件では、正解率だけが下がっていなければ、再現率の低下は問題ではない は適切でない。,一度高精度なら長期安定と考える罠,コンセプトドリフト;データドリフト;不正検知;再学習;監視,黒の出方が変わったら、昔の見張り方では見逃す。
R38-021,Rebuild_Set38,横断複合・重複回避十七段目,case,マルチモーダル入力の注意,マルチモーダルAI,判断/評価,case,新しめ,入力形式が増えれば必ず正確になる罠,画像と文章を同時に入力できるAIで、商品説明の自動確認を行う。最も適切な注意点はどれか。,画像も文章も入れるため、誤認識は起きない,画像と文章の不一致、片方だけにある情報、学習データ由来の偏りを評価する,マルチモーダルAIでは説明可能性は不要である,文章が正しければ画像認識結果は必ず正しい,B,マルチモーダルAIでも、各モダリティの誤認識や不一致が起きる。入力間の関係を評価する必要がある。,誤り。設問の条件では、画像も文章も入れるため、誤認識は起きない は適切でない。,正解。マルチモーダルAIでも、各モダリティの誤認識や不一致が起きる。入力間の関係を評価する必要がある。,誤り。設問の条件では、マルチモーダルAIでは説明可能性は不要である は適切でない。,誤り。設問の条件では、文章が正しければ画像認識結果は必ず正しい は適切でない。,入力形式が増えれば必ず正確になる罠,マルチモーダルAI;画像言語モデル;商品説明;モダリティ;評価,さいはてで声と光が同時に届いても、片方が嘘なら迷う。
R38-022,Rebuild_Set38,横断複合・重複回避十七段目,case,検索キャッシュの漏えい,RAG/セキュリティ,判断/設計,case,新しめ,キャッシュは高速化だけの仕組みと考える罠,社内RAGで高速化のため検索結果と回答をキャッシュする。部署Aの機密文書に基づく回答が、部署Bの似た質問で再利用される恐れがある。最も適切な対策はどれか。,キャッシュは内部処理なので、権限管理とは無関係である,利用者権限や文書範囲をキャッシュキーに含め、権限外再利用を防ぐ,回答文に文書名を出さなければ、部署Bへ再利用しても問題ない,キャッシュを長期保存するほど、安全性は必ず高まる,B,RAGのキャッシュもアクセス制御の対象になる。利用者権限や参照文書範囲を考慮する必要がある。,誤り。設問の条件では、キャッシュは内部処理なので、権限管理とは無関係である は適切でない。,正解。RAGのキャッシュもアクセス制御の対象になる。利用者権限や参照文書範囲を考慮する必要がある。,誤り。設問の条件では、回答文に文書名を出さなければ、部署Bへ再利用しても問題ない は適切でない。,誤り。設問の条件では、キャッシュを長期保存するほど、安全性は必ず高まる は適切でない。,キャッシュは高速化だけの仕組みと考える罠,RAG;キャッシュ;アクセス制御;情報漏えい;検索結果再利用,速い抜け道でも、鍵の違う部屋へつながってはいけない。
R38-023,Rebuild_Set38,横断複合・重複回避十七段目,case,A/Bテストと倫理,AI評価/社会実装,判断/倫理,case,安定領域,実験だから影響を軽く見る罠,ニュース推薦AIのA/Bテストで、一部ユーザーに極端に偏った記事が多く表示された可能性がある。最も適切な対応はどれか。,実験なので、ユーザー影響は評価対象にしない,クリック率だけでなく、多様性、偏り、利用者影響、停止条件を事前に決める,A/Bテストでは倫理的配慮より統計的有意性だけが重要である,偏りがあっても、クリック率が上がれば採用すべきである,B,推薦の評価ではクリック率だけでなく、多様性や社会的影響も見る。停止条件も重要。,誤り。設問の条件では、実験なので、ユーザー影響は評価対象にしない は適切でない。,正解。推薦の評価ではクリック率だけでなく、多様性や社会的影響も見る。停止条件も重要。,誤り。設問の条件では、A/Bテストでは倫理的配慮より統計的有意性だけが重要である は適切でない。,誤り。設問の条件では、偏りがあっても、クリック率が上がれば採用すべきである は適切でない。,実験だから影響を軽く見る罠,A/Bテスト;推薦AI;フィルターバブル;多様性;停止条件,見たいものだけ見せ続けると、四年五組の町が狭くなる。
R38-024,Rebuild_Set38,横断複合・重複回避十七段目,case,説明の対象者,XAI/コミュニケーション,判断/設計,case,安定領域,技術者向け説明だけで全員に十分とする罠,医療AIの説明資料を作る。医師、患者、開発者で必要な説明が異なる。最も適切な考え方はどれか。,全員に同じSHAP値の表だけを渡せば十分である,対象者ごとに、知りたい内容・専門性・意思決定上の役割に合わせて説明する,患者向けにはAIの説明を一切しない方がよい,開発者向け説明があれば、利用者向け説明は不要である,B,説明可能性は相手と目的に依存する。技術者、利用者、影響を受ける人で必要な説明は違う。,誤り。設問の条件では、全員に同じSHAP値の表だけを渡せば十分である は適切でない。,正解。説明可能性は相手と目的に依存する。技術者、利用者、影響を受ける人で必要な説明は違う。,誤り。設問の条件では、患者向けにはAIの説明を一切しない方がよい は適切でない。,誤り。設問の条件では、開発者向け説明があれば、利用者向け説明は不要である は適切でない。,技術者向け説明だけで全員に十分とする罠,XAI;説明可能性;医療AI;SHAP;ステークホルダー,センセイへの説明と、りっかへの説明は同じ言葉では届かない。
R38-025,Rebuild_Set38,横断複合・重複回避十七段目,case,データ保持と削除要求,プライバシー/運用,判断/法務,case,新しめ,学習済みだから削除不要と考える罠,ユーザーから、AIサービスに入力した個人情報の削除を求められた。ログ、検索インデックス、再学習データが関係する。最も適切な対応はどれか。,モデルが一度学習した可能性があれば、削除要求には対応できないと一律回答する,保存場所、利用目的、削除可能範囲、契約・法令上の対応を確認して処理する,入力欄から見えなくなれば、バックアップやインデックスは確認不要である,AIサービスでは削除要求は原則として存在しない,B,削除要求では、ログ、DB、検索インデックス、バックアップ、学習データなど保存先の把握が重要。,誤り。設問の条件では、モデルが一度学習した可能性があれば、削除要求には対応できないと一律回答する は適切でない。,正解。削除要求では、ログ、DB、検索インデックス、バックアップ、学習データなど保存先の把握が重要。,誤り。設問の条件では、入力欄から見えなくなれば、バックアップやインデックスは確認不要である は適切でない。,誤り。設問の条件では、AIサービスでは削除要求は原則として存在しない は適切でない。,学習済みだから削除不要と考える罠,削除要求;個人情報;ログ;検索インデックス;データ保持,さいはてで消したはずの文が、別の記録庫に残っていないか見る。
