id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
FB02-011,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,平均0・標準偏差1へ変換する処理は（　1　）で、値の範囲を0〜1などへそろえる処理は（　2　）である。,標準化／正規化,正規化／標準化,分布／代表性,勾配／重み,A,空欄1は『標準化』、空欄2は『正規化』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『正規化／標準化』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『分布／代表性』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『勾配／重み』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;標準化;正規化;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-012,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,カテゴリ値を0/1列で表すのは（　1　）エンコーディングで、数値の大小関係を持ち込む符号化は（　2　）エンコーディングである。,one-hot／ラベル,ラベル／one-hot,基準／一致率,活性化関数／勾配消失,A,空欄1は『one-hot』、空欄2は『ラベル』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『ラベル／one-hot』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『基準／一致率』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『活性化関数／勾配消失』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;one-hot;ラベル;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-013,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,欠測が特定の属性に偏る場合、欠測は（　1　）ではなく、処理方法によって（　2　）が生じる。,ランダム／バイアス,バイアス／ランダム,過学習／枝刈り,小さく／勾配消失,A,空欄1は『ランダム』、空欄2は『バイアス』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『バイアス／ランダム』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『過学習／枝刈り』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『小さく／勾配消失』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;ランダム;バイアス;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-014,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,外れ値が入力ミスなら（　1　）の候補だが、重要な異常なら（　2　）すべき情報になり得る。,除外／保持,保持／除外,決定木／汎化性能,安定／シフト,A,空欄1は『除外』、空欄2は『保持』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『保持／除外』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『決定木／汎化性能』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『安定／シフト』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;除外;保持;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-015,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,特徴量の分布が学習時と本番で変わることを（　1　）と呼び、継続運用では（　2　）が必要である。,データドリフト／監視,監視／データドリフト,マージン／非線形,ランダム／依存,A,空欄1は『データドリフト』、空欄2は『監視』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『監視／データドリフト』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『マージン／非線形』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『ランダム／依存』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;データドリフト;監視;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-016,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,訓練時と推論時で特徴量計算がずれる問題を避けるには、特徴量定義を（　1　）管理し、処理を（　2　）させる。,一元／一致,一致／一元,独立／確率,罰則／複雑さ,A,空欄1は『一元』、空欄2は『一致』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『一致／一元』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『独立／確率』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『罰則／複雑さ』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;一元;一致;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-017,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,テキストを単語やサブワードに分ける処理は（　1　）で、RAGで文書を意味単位に切る処理は（　2　）分割である。,トークン化／チャンク,チャンク／トークン化,重心／クラスタ,処理／回数,A,空欄1は『トークン化』、空欄2は『チャンク』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『チャンク／トークン化』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『重心／クラスタ』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『処理／回数』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;トークン化;チャンク;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-018,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,画像の左右反転がラベル意味を変える領域では、データ拡張の（　1　）を確認し、分野の（　2　）を使う。,妥当性／知識,知識／妥当性,次元削減／教師なし,振動／収束,A,空欄1は『妥当性』、空欄2は『知識』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『知識／妥当性』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『次元削減／教師なし』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『振動／収束』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;妥当性;知識;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-019,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,データセットの偏りを把握するには、件数だけでなく属性別の（　1　）と、対象母集団への（　2　）を見る。,分布／代表性,代表性／分布,分類／線形,過学習／正則化,A,空欄1は『分布』、空欄2は『代表性』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『代表性／分布』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『分類／線形』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『過学習／正則化』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;分布;代表性;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-020,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,前処理,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,教師あり学習の品質はラベルに依存するため、アノテーションの（　1　）を定め、作業者間の（　2　）を確認する。,基準／一致率,一致率／基準,分類／異なる,初期化／活性化関数,A,空欄1は『基準』、空欄2は『一致率』が入る。前処理では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『一致率／基準』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『分類／異なる』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『初期化／活性化関数』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,前処理;基準;一致率;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-021,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,決定木は条件分岐で予測し、木が深すぎると（　1　）しやすく、枝を短くする（　2　）が対策になる。,過学習／枝刈り,枝刈り／過学習,特徴／意味,特徴／縮小,A,空欄1は『過学習』、空欄2は『枝刈り』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『枝刈り／過学習』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『特徴／意味』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『特徴／縮小』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;過学習;枝刈り;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-022,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,ランダムフォレストは複数の（　1　）を組み合わせ、個々のばらつきを平均化して（　2　）を高める。,決定木／汎化性能,汎化性能／決定木,外れる／異常,位置／ラベル,A,空欄1は『決定木』、空欄2は『汎化性能』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『汎化性能／決定木』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『外れる／異常』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『位置／ラベル』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;決定木;汎化性能;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-023,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,SVMはクラスを分ける境界の（　1　）を大きくし、カーネル法で（　2　）分離にも対応する。,マージン／非線形,非線形／マージン,勾配／重み,クラス／個体,A,空欄1は『マージン』、空欄2は『非線形』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『非線形／マージン』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『勾配／重み』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『クラス／個体』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;マージン;非線形;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-024,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,ナイーブベイズは特徴量同士を条件付きで（　1　）と仮定し、ベイズの定理でクラスの（　2　）を求める。,独立／確率,確率／独立,活性化関数／勾配消失,バウンディングボックス／分類,A,空欄1は『独立』、空欄2は『確率』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『確率／独立』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『活性化関数／勾配消失』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『バウンディングボックス／分類』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;独立;確率;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-025,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,k-meansはクラスタの（　1　）を更新しながら、各点を近い（　2　）へ割り当てる。,重心／クラスタ,クラスタ／重心,小さく／勾配消失,背景／誤判定,A,空欄1は『重心』、空欄2は『クラスタ』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『クラスタ／重心』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『小さく／勾配消失』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『背景／誤判定』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;重心;クラスタ;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-026,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,主成分分析は分散の大きい方向を軸に取り、情報をなるべく保ちながら（　1　）を行う（　2　）学習である。,次元削減／教師なし,教師なし／次元削減,安定／シフト,領域／確認,A,空欄1は『次元削減』、空欄2は『教師なし』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『教師なし／次元削減』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『安定／シフト』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『領域／確認』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;次元削減;教師なし;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-027,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,ロジスティック回帰は名前に回帰とあるが、確率を出して（　1　）に使われる（　2　）モデルである。,分類／線形,線形／分類,ランダム／依存,摂動／誤分類,A,空欄1は『分類』、空欄2は『線形』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『線形／分類』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『ランダム／依存』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『摂動／誤分類』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;分類;線形;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-028,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,機械学習,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,線形回帰では連続値を予測し、ロジスティック回帰では確率を通じて（　1　）を行うため、用途は（　2　）である。,分類／異なる,異なる／分類,罰則／複雑さ,意味／整合性,A,空欄1は『分類』、空欄2は『異なる』が入る。機械学習では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『異なる／分類』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『罰則／複雑さ』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『意味／整合性』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,機械学習;分類;異なる;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
