id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R20-011,Rebuild_Set20,検索性重視・非重複50問,case,データシート,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,データセットについて、収集目的、対象範囲、ラベル付け方法、既知の偏り、更新履歴を記録した。最も近いものはどれか。,活性化関数,自己注意機構,データセットのデータシート,方策勾配法,C,データシートは、データセットの由来・収集方法・偏り・用途上の注意などを記録する考え方。,誤り。活性化関数は、この設問で問う「データシート」の説明としては適切でない。,誤り。自己注意機構は、この設問で問う「データシート」の説明としては適切でない。,正しい。データセットのデータシート。,誤り。方策勾配法は、この設問で問う「データシート」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,データシート;Datasheets for Datasets;データ来歴;データ品質,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-012,Rebuild_Set20,検索性重視・非重複50問,term,データ来歴,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,用語説明,中,中,データがいつ、どこから、どのように取得・加工され、誰が変更したかを追跡できる状態として最も近いものはどれか。,ソフトマックス,アンサンブル平均,系列ラベリング,データ来歴・リネージ,D,データ来歴は、データの出所や加工履歴を追跡する考え方。監査、再現性、問題発生時の原因確認に役立つ。,誤り。ソフトマックスは、この設問で問う「データ来歴」の説明としては適切でない。,誤り。アンサンブル平均は、この設問で問う「データ来歴」の説明としては適切でない。,誤り。系列ラベリングは、この設問で問う「データ来歴」の説明としては適切でない。,正しい。データ来歴・リネージ。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,データリネージ;来歴;監査;再現性,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-013,Rebuild_Set20,検索性重視・非重複50問,case,監査可能性,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIが出した判定、入力データの版、モデルの版、担当者の確認結果を後から追えるようにした。最も近い目的はどれか。,監査可能性を高めるため,乱数シードを必ず隠すため,勾配を大きくするため,画像の解像度を下げるため,A,監査可能性には、誰が・いつ・どのモデルで・何を判断したかを追跡できるログや版管理が重要。,正しい。監査可能性を高めるため。,誤り。乱数シードを必ず隠すためは、この設問で問う「監査可能性」の説明としては適切でない。,誤り。勾配を大きくするためは、この設問で問う「監査可能性」の説明としては適切でない。,誤り。画像の解像度を下げるためは、この設問で問う「監査可能性」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,監査可能性;ログ;モデルバージョン;トレーサビリティ,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-014,Rebuild_Set20,検索性重視・非重複50問,case,インシデント対応,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,生成AIが社外秘情報を出力した可能性があるため、利用停止、影響範囲の確認、ログ保全、再発防止を実施した。最も近いものはどれか。,主成分分析,AIインシデント対応,交差検証,データ拡張,B,AIインシデント対応では、被害拡大防止、事実確認、証跡保全、原因分析、再発防止が重要。,誤り。主成分分析は、この設問で問う「インシデント対応」の説明としては適切でない。,正しい。AIインシデント対応。,誤り。交差検証は、この設問で問う「インシデント対応」の説明としては適切でない。,誤り。データ拡張は、この設問で問う「インシデント対応」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,AIインシデント;ログ保全;再発防止;生成AIリスク,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-015,Rebuild_Set20,検索性重視・非重複50問,case,フォールバック設計,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIが低信頼度のときは自動処理せず、人間の担当者に回す仕組みを作った。最も近い考え方はどれか。,重み共有,畳み込み,フォールバック設計,温度パラメータだけの調整,C,フォールバック設計は、AIが失敗しそうなときに安全な代替手段へ切り替える設計。低信頼度時の人手確認は典型例。,誤り。重み共有は、この設問で問う「フォールバック設計」の説明としては適切でない。,誤り。畳み込みは、この設問で問う「フォールバック設計」の説明としては適切でない。,正しい。フォールバック設計。,誤り。温度パラメータだけの調整は、この設問で問う「フォールバック設計」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,フォールバック;低信頼度;人手確認;安全設計,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-016,Rebuild_Set20,検索性重視・非重複50問,case,フェイルセーフ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,異常検知AIが停止した場合、設備を危険側に動かすのではなく安全側に停止させる設計にした。最も近い概念はどれか。,過学習,スパース表現,自己回帰,フェイルセーフ,D,フェイルセーフは、故障や異常が起きても危険な状態に進みにくいよう安全側に倒す設計。,誤り。過学習は、この設問で問う「フェイルセーフ」の説明としては適切でない。,誤り。スパース表現は、この設問で問う「フェイルセーフ」の説明としては適切でない。,誤り。自己回帰は、この設問で問う「フェイルセーフ」の説明としては適切でない。,正しい。フェイルセーフ。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,フェイルセーフ;安全側停止;異常検知;安全設計,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-017,Rebuild_Set20,検索性重視・非重複50問,term,レッドチーミング,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,用語説明,中,中,AIシステムの弱点や危険な出力を見つけるため、攻撃者・悪用者の視点で試験する活動はどれか。,K分割交差検証,レッドチーミング,層化抽出,バッチ正規化,B,レッドチーミングは、悪用や攻撃を想定して弱点を探す評価活動。生成AIの安全性評価でも重要。,誤り。K分割交差検証は、この設問で問う「レッドチーミング」の説明としては適切でない。,正しい。レッドチーミング。,誤り。層化抽出は、この設問で問う「レッドチーミング」の説明としては適切でない。,誤り。バッチ正規化は、この設問で問う「レッドチーミング」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,レッドチーミング;安全性評価;悪用テスト;LLM,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-018,Rebuild_Set20,検索性重視・非重複50問,case,サンドボックス,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,新しいAI機能を、本番データや本番業務から切り離した限定環境で先に試した。最も近いものはどれか。,サンドボックス環境での検証,本番直接投入,教師なし学習,量子化後学習,A,サンドボックスは、本番に影響を与えにくい隔離環境で検証する考え方。安全な試行に役立つ。,正しい。サンドボックス環境での検証。,誤り。本番直接投入は、この設問で問う「サンドボックス」の説明としては適切でない。,誤り。教師なし学習は、この設問で問う「サンドボックス」の説明としては適切でない。,誤り。量子化後学習は、この設問で問う「サンドボックス」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,サンドボックス;検証環境;本番分離;安全な試行,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-019,Rebuild_Set20,検索性重視・非重複50問,case,段階的リリース,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AI機能を全ユーザーへ一斉公開せず、少数ユーザーから始めて問題を確認しながら広げた。最も近いものはどれか。,データリーケージ,重み減衰,最大プーリング,段階的リリース,D,段階的リリースは、影響範囲を限定しながら導入し、問題を早期に見つける運用上の工夫。,誤り。データリーケージは、この設問で問う「段階的リリース」の説明としては適切でない。,誤り。重み減衰は、この設問で問う「段階的リリース」の説明としては適切でない。,誤り。最大プーリングは、この設問で問う「段階的リリース」の説明としては適切でない。,正しい。段階的リリース。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,段階的リリース;限定公開;運用リスク;AI導入,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-020,Rebuild_Set20,検索性重視・非重複50問,case,ロールバック,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,新モデルで誤判定が増えたため、直前の安定版モデルへ戻せるようにしていた。最も近い運用対策はどれか。,ランダムフォレスト,勾配クリッピング,ロールバック可能な版管理,データ水増し,C,ロールバックは、問題発生時に前の安定版へ戻す運用対策。モデル・データ・設定の版管理が必要。,誤り。ランダムフォレストは、この設問で問う「ロールバック」の説明としては適切でない。,誤り。勾配クリッピングは、この設問で問う「ロールバック」の説明としては適切でない。,正しい。ロールバック可能な版管理。,誤り。データ水増しは、この設問で問う「ロールバック」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,ロールバック;モデル版管理;MLOps;障害対応,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-021,Rebuild_Set20,検索性重視・非重複50問,case,権限管理,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,社内生成AIで、一般社員は閲覧権限のない文書を検索対象にできないようにした。最も重要な対策はどれか。,アクセス制御・権限管理,温度を高くする,エポック数を増やす,特徴量を標準化する,A,RAGや社内検索AIでは、ユーザーの権限に応じて参照可能な文書を制御する必要がある。,正しい。アクセス制御・権限管理。,誤り。温度を高くするは、この設問で問う「権限管理」の説明としては適切でない。,誤り。エポック数を増やすは、この設問で問う「権限管理」の説明としては適切でない。,誤り。特徴量を標準化するは、この設問で問う「権限管理」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,権限管理;アクセス制御;RAG;社内文書,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-022,Rebuild_Set20,検索性重視・非重複50問,case,最小権限,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIエージェントにメール送信やDB更新の権限を与える際、必要な操作だけに限定した。最も近い原則はどれか。,過学習の原則,最小権限の原則,バイアス-バリアンス分解,ノーフリーランチ定理,B,最小権限は、必要最小限の権限だけを与える考え方。AIエージェントの暴走・誤操作対策に重要。,誤り。過学習の原則は、この設問で問う「最小権限」の説明としては適切でない。,正しい。最小権限の原則。,誤り。バイアス-バリアンス分解は、この設問で問う「最小権限」の説明としては適切でない。,誤り。ノーフリーランチ定理は、この設問で問う「最小権限」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,最小権限;AIエージェント;権限設計;セキュリティ,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-023,Rebuild_Set20,検索性重視・非重複50問,case,人間の監督,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,AIが高リスクの判断を提案する場合、最終決定は資格を持つ人間が確認する運用にした。最も近い考え方はどれか。,完全自動化だけが望ましいという考え,教師なし学習への置換,人間の監督・Human oversight,損失関数の削除,C,高リスク領域では、AIを補助として使い、人間が監督・最終判断する設計が重要。,誤り。完全自動化だけが望ましいという考えは、この設問で問う「人間の監督」の説明としては適切でない。,誤り。教師なし学習への置換は、この設問で問う「人間の監督」の説明としては適切でない。,正しい。人間の監督・Human oversight。,誤り。損失関数の削除は、この設問で問う「人間の監督」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,Human oversight;人間の監督;高リスクAI;最終判断,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-024,Rebuild_Set20,検索性重視・非重複50問,case,Human-in-the-loop疲れ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,AIの全出力を人間に確認させた結果、担当者が形式的に承認するだけになった。最も注意すべき点はどれか。,人間が確認すれば必ずリスクはゼロになる,確認者を増やすほど説明可能性は不要になる,AIの精度評価は不要になる,人手確認を入れても設計次第では形骸化する,D,Human-in-the-loopは万能ではない。件数、負荷、判断基準、権限を設計しないと形式的確認になる。,誤り。人間が確認すれば必ずリスクはゼロになるは、この設問で問う「Human-in-the-loop疲れ」の説明としては適切でない。,誤り。確認者を増やすほど説明可能性は不要になるは、この設問で問う「Human-in-the-loop疲れ」の説明としては適切でない。,誤り。AIの精度評価は不要になるは、この設問で問う「Human-in-the-loop疲れ」の説明としては適切でない。,正しい。人手確認を入れても設計次第では形骸化する。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,Human-in-the-loop;形骸化;確認負荷;人間の監督,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-025,Rebuild_Set20,検索性重視・非重複50問,case,利用者教育,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,生成AI導入時に、機密情報を入力しない、出力を検証する、引用元を確認する研修を行った。最も近い目的はどれか。,利用者リテラシーを高め運用リスクを下げる,モデルのパラメータ数を増やす,GPUメモリを節約する,畳み込み層を浅くする,A,生成AIは利用者の使い方でもリスクが変わる。教育・ルール周知・具体例が重要。,正しい。利用者リテラシーを高め運用リスクを下げる。,誤り。モデルのパラメータ数を増やすは、この設問で問う「利用者教育」の説明としては適切でない。,誤り。GPUメモリを節約するは、この設問で問う「利用者教育」の説明としては適切でない。,誤り。畳み込み層を浅くするは、この設問で問う「利用者教育」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,AIリテラシー;利用者教育;生成AI研修;出力検証,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-026,Rebuild_Set20,検索性重視・非重複50問,case,利用ポリシー,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,社内生成AIについて、禁止入力、利用可能業務、確認手順、ログ扱いを文書化した。最も近いものはどれか。,教師データ,AI利用ポリシー,混同行列,残差接続,B,AI利用ポリシーは、利用範囲・禁止事項・確認手順などを明確化し、ばらばらな利用を防ぐ。,誤り。教師データは、この設問で問う「利用ポリシー」の説明としては適切でない。,正しい。AI利用ポリシー。,誤り。混同行列は、この設問で問う「利用ポリシー」の説明としては適切でない。,誤り。残差接続は、この設問で問う「利用ポリシー」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,AI利用ポリシー;生成AIルール;禁止入力;確認手順,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-027,Rebuild_Set20,検索性重視・非重複50問,case,データ最小化,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIサービスに入力する個人データを、目的達成に必要な項目だけに減らした。最も近い考え方はどれか。,過サンプリング,勾配爆発,データ最小化,活性化関数,C,データ最小化は、目的に不要な個人データを集めすぎない・使いすぎない考え方。プライバシー保護に関係する。,誤り。過サンプリングは、この設問で問う「データ最小化」の説明としては適切でない。,誤り。勾配爆発は、この設問で問う「データ最小化」の説明としては適切でない。,正しい。データ最小化。,誤り。活性化関数は、この設問で問う「データ最小化」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,データ最小化;プライバシー;個人データ;目的限定,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-028,Rebuild_Set20,検索性重視・非重複50問,case,プライバシー・バイ・デザイン,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIサービスの企画段階から、データ削減、アクセス制御、ログ管理、同意導線を組み込んだ。最も近いものはどれか。,事後的に苦情が来たら考える運用,モデルを大きくする設計,ラベルを削除するだけの処理,プライバシー・バイ・デザイン,D,プライバシー・バイ・デザインは、後付けではなく設計段階からプライバシー保護を組み込む考え方。,誤り。事後的に苦情が来たら考える運用は、この設問で問う「プライバシー・バイ・デザイン」の説明としては適切でない。,誤り。モデルを大きくする設計は、この設問で問う「プライバシー・バイ・デザイン」の説明としては適切でない。,誤り。ラベルを削除するだけの処理は、この設問で問う「プライバシー・バイ・デザイン」の説明としては適切でない。,正しい。プライバシー・バイ・デザイン。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,プライバシー・バイ・デザイン;設計段階;同意;アクセス制御,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
