id,分野,難易度,問題,A,B,C,D,正解,解説
G5-011,生成AI,難しめ,RLAIFの説明として最も適切なものはどれか。,AIによるフィードバックを用いてモデルの応答を調整する考え方,人間のフィードバックだけを使うこと,学習済みモデルを一切使わないこと,特徴量を人手で固定すること,A,RLAIFはAI Feedbackを利用する。RLHFとの違いに注意。
G5-012,生成AI,難しめ,LoRAの説明として最も適切なものはどれか。,大規模モデルの一部に低ランク行列を追加し、少ないパラメータで調整する手法,外部文書を検索する検索拡張技術,モデルをゼロから全再学習する手法,個人情報を匿名化する法律手続き,A,LoRAはPEFTの代表例で、全重み更新より軽量に調整できる。
G5-013,生成AI,難しめ,PEFTの説明として最も適切なものはどれか。,全パラメータを更新せず、少数のパラメータで効率的に調整する方法群,常にモデルサイズを最大化する方法,検索結果だけで回答する方法,学習データを削除する方法,A,PEFTはParameter-Efficient Fine-Tuning。LoRAなどを含む。
G5-014,RAG,標準,次のうち、RAGの説明として最も適切なものはどれか。,外部情報を検索して、その結果を生成モデルの回答に活用する仕組み,モデルの重みだけを増やして暗記量を増やす手法,温度を下げて必ず正解にする手法,畳み込み層を増やす画像処理手法,A,RAGはRetrieval-Augmented Generation。検索と生成を組み合わせる。
G5-015,RAG,難しめ,次のうち、RAGとファインチューニングの違いとして最も適切なものはどれか。,RAGは主に外部知識を検索で補い、ファインチューニングはモデルの重みを追加学習で調整する,どちらもモデル重みを必ず変更する,RAGは画像専用で、ファインチューニングは音声専用,ファインチューニングは検索結果を使うことだけを指す,A,RAGは知識参照、ファインチューニングは振る舞いや能力の調整に使われることが多い。
G5-016,RAG,難しめ,ベクトル検索で文書を探すときに主に使われる考え方はどれか。,テキストを埋め込みベクトルに変換し、意味的な近さで検索する,ファイル名の五十音順だけで検索する,すべての文書を人間が逐語比較する,正解ラベルを必ず付ける,A,ベクトル検索は埋め込み空間上の近傍探索で意味的類似性を扱う。
G5-017,RAG,難しめ,RAGでチャンク分割が重要な理由として最も適切なものはどれか。,検索しやすく、モデルに渡しやすい単位へ文書を分けるため,著作権を自動的に消滅させるため,モデルの温度を固定するため,GPUを不要にするため,A,チャンクが大きすぎても小さすぎても検索・回答品質に影響する。
G5-018,RAG,難しめ,RAGにおけるリランキングの目的として最も適切なものはどれか。,初期検索結果を再評価し、回答に使う文書の優先順位を改善する,生成モデルの学習率を上げる,画像の解像度を下げる,すべての検索結果をランダムに並べる,A,リランキングは検索結果の関連度を再評価して精度を上げる工夫。
G5-019,プロンプト,標準,Few-shot promptingの説明として最も適切なものはどれか。,いくつかの入出力例を提示して、望む回答形式や判断を誘導する,例を一切出さずに質問する方法,モデルの重みを必ず更新する方法,検索エンジンだけで回答する方法,A,Few-shotは少数の例をプロンプト内に入れる。Fine-tuningとは違う。
G5-020,プロンプト,標準,Zero-shot promptingの説明として最も適切なものはどれか。,具体例を示さず、指示だけでタスクを解かせる方法,大量の教師データで追加学習する方法,複数モデルを多数決する方法,外部DBを検索する方法,A,Zero-shotは例なしで実行させる。Few-shotとの対比で問われやすい。
G5-021,プロンプト,標準,Chain-of-Thought promptingの狙いとして最も近いものはどれか。,推論過程を段階的に考えさせ、複雑な問題で性能向上を狙う,出力を必ず1単語にする,モデルのパラメータ数を減らす,画像の輪郭抽出だけを行う,A,段階的推論を促すが、常に正確になるわけではない点も重要。
G5-022,生成AIリスク,標準,次のうち、ハルシネーションの説明として最も適切なものはどれか。,もっともらしいが事実と異なる内容を生成する現象,学習率がゼロになる現象,GPUが熱で停止する現象,画像の色だけが反転する現象,A,生成AIは確率的に自然な文を生成するため、事実確認が必要。
G5-023,生成AIリスク,難しめ,次のうち、プロンプトインジェクションの説明として最も適切なものはどれか。,悪意ある指示を入力や外部文書に紛れ込ませ、意図しない動作をさせる攻撃,モデルの重みを圧縮する手法,画像を水増しするデータ拡張,分類結果の再現率を測る指標,A,RAGやツール利用型AIでは、外部文書内の命令に従ってしまうリスクがある。
G5-024,生成AIリスク,難しめ,データ汚染の説明として最も適切なものはどれか。,評価データや不適切なデータが学習に混入し、評価や挙動を歪めること,学習率を徐々に下げること,正則化で重みを抑えること,画像を回転して水増しすること,A,訓練データと評価データの混入は、性能を過大評価する原因になる。
G5-025,機械学習,標準,次のうち、ホールドアウト法の説明として最も適切なものはどれか。,データを学習用と評価用に分けて性能を確認する方法,すべてのデータを学習だけに使う方法,損失関数を使わない方法,教師なし学習専用の可視化方法,A,学習に使っていないデータで評価することで汎化性能を測る。
G5-026,機械学習,標準,k分割交差検証の説明として最も適切なものはどれか。,k個のモデルを必ず本番で同時運用する方法,データをk個に分け、評価用の分割を入れ替えながら複数回検証する方法,k個の特徴量だけを使う決まり,k回だけ勾配を更新する方法,B,交差検証はデータの分け方による評価の偏りを減らすために使う。
G5-027,機械学習,標準,過学習を抑える方法として不適切なものはどれか。,正則化を用いる,訓練データにだけ合うようにモデルをさらに複雑化する,データ拡張を行う,早期終了を用いる,B,過学習は学習データに適合しすぎること。複雑化は悪化させる場合がある。
G5-028,機械学習,標準,正則化の目的として最も適切なものはどれか。,正解ラベルを自動生成する,モデルの複雑さを抑え、過学習を防ぎやすくする,入力データを必ず削除する,GPU使用率をゼロにする,B,L1/L2正則化などは重みに制約をかけ、汎化を促す。
G5-029,機械学習,標準,L1正則化の特徴として最も適切なものはどれか。,すべての重みを必ず同じ値にする,一部の重みを0にしやすく、特徴選択の効果が期待できる,分類問題でしか使えない,勾配計算を不要にする,B,L1はスパース性を生みやすい。L2との違いに注意。
G5-030,機械学習,標準,L2正則化の特徴として最も適切なものはどれか。,重みをすべて0に固定する,大きな重みにペナルティを与え、重みをなめらかに抑える,教師データを不要にする,クラスタ数を自動決定する,B,L2は重みの二乗にペナルティを与え、大きすぎる重みを抑える。
G5-031,機械学習,標準,早期終了の説明として最も適切なものはどれか。,学習開始前に必ず終了する方法,検証データの性能が悪化し始めたら学習を打ち切る方法,推論だけを高速化する圧縮方法,ラベルなしデータを分類する方法,B,Early stoppingは過学習を抑える実務的手法。
G5-032,機械学習,標準,次のうち、グリッドサーチの説明として最も適切なものはどれか。,勾配で重みを更新する方法,候補のハイパーパラメータ組合せを網羅的に試す方法,文章を単語に分割する方法,画像を畳み込む方法,B,ハイパーパラメータ探索の基本。組合せが多いと計算量が増える。
G5-033,機械学習,標準,次のうち、ランダムサーチの説明として最も適切なものはどれか。,すべての組合せを必ず試す方法,ハイパーパラメータ候補をランダムに試す探索方法,誤差を逆向きに伝える方法,外部文書を検索する方法,B,ランダムサーチは全探索より効率よく有効候補を見つける場合がある。
G5-034,機械学習,難しめ,次のうち、データリーケージの説明として最も適切なものはどれか。,モデルが出力を説明できないこと,本来使えない未来情報や評価情報が学習に漏れ、性能が過大評価されること,特徴量の単位をそろえること,欠損値を平均で補うこと,B,リーケージは本番では得られない情報を使うため、実運用で性能が落ちる。
G5-035,評価指標,標準,混同行列におけるTPの説明として最も適切なものはどれか。,負例を負例と予測した数,正例を正例と予測した数,負例を正例と予測した数,正例を負例と予測した数,B,TPはTrue Positive。用語のPositive/NegativeとTrue/Falseの組合せを整理する。
G5-036,評価指標,標準,FPの説明として最も適切なものはどれか。,正例を正例と予測した数,負例を正例と誤って予測した数,負例を負例と予測した数,正例を負例と誤って予測した数,B,FPはFalse Positive。偽陽性とも呼ばれる。
G5-037,評価指標,標準,FNの説明として最も適切なものはどれか。,負例を正例と誤って予測した数,正例を負例と誤って予測した数,正例を正例と予測した数,負例を負例と予測した数,B,FNはFalse Negative。見逃しを意味することが多い。
G5-038,評価指標,標準,再現率が特に重要になりやすい場面はどれか。,陽性と判定したものの正しさだけを重視する広告配信,病気の疑いがある人を見逃さないことを重視する検査,モデルサイズだけを最小化する場面,画像の解像度を上げる場面,B,再現率は実際の正例をどれだけ拾えたか。見逃しを避けたい場面で重要。
G5-039,評価指標,標準,適合率が特に重要になりやすい場面はどれか。,正例を一件も見逃さないことだけを最重視する場面,陽性と判定したものの中で、実際に正しい割合を重視する場面,学習データを増やす場面,特徴量を正規化する場面,B,適合率は予測陽性の正しさ。誤検知を減らしたい場面で重要。
G5-040,評価指標,標準,次のうち、ROC曲線の説明として最も適切なものはどれか。,損失関数の勾配だけを示す曲線,閾値を変えたときの真陽性率と偽陽性率の関係を示す曲線,クラスタ数と距離だけを示す曲線,文脈長と温度の関係を示す曲線,B,ROCは分類器の閾値変化に対する性能を見る。AUCとセットで問われる。
G5-041,評価指標,標準,AUCの値について最も適切な説明はどれか。,損失関数の最小値そのもの,ROC曲線の下の面積で、一般に大きいほど識別性能が高い,モデルのパラメータ数,学習データの文字数,B,AUCは閾値に依存しにくい分類性能指標として使われる。
G5-042,評価指標,難しめ,不均衡データで正解率だけを見ることの問題として最も適切なものはどれか。,必ずモデルが学習できなくなる,多数派クラスばかり当てても高く見え、少数派の検出性能を見誤る,損失関数が使えなくなる,特徴量がすべて消える,B,正解率はクラス偏りに弱い。適合率・再現率・F1なども確認する。
G5-043,ニューラルネットワーク,標準,次のうち、勾配消失問題の説明として最も適切なものはどれか。,勾配が無限大に発散する現象だけ,逆伝播で勾配が小さくなり、浅い層まで学習信号が届きにくくなる現象,入力データが消去される現象,ラベルが欠損する現象,B,深いネットワークや活性化関数の選択で起こりやすい。
G5-044,ニューラルネットワーク,標準,ReLU関数の一般的な形として最も適切なものはどれか。,常に0から1の確率へ変換する,入力が0以下なら0、正ならそのまま出力する,入力を必ず-1から1へ圧縮する,文章をトークン化する,B,ReLUは計算が簡単で勾配消失を緩和しやすい活性化関数。
G5-045,ニューラルネットワーク,標準,ソフトマックス関数の主な用途として最も適切なものはどれか。,画像の縦横サイズを縮小する,多クラス分類で各クラスの確率のような値に変換する,文章を単語単位に分割する,重みをランダムに削除する,B,Softmaxは出力の合計が1になるため、多クラス分類で使われる。
G5-046,ニューラルネットワーク,標準,交差エントロピー誤差がよく使われる場面はどれか。,回帰で二乗誤差だけを使う場面,分類問題における予測確率と正解ラベルのずれを測る場面,画像の明るさ調整だけ,クラスタ数を決める場面,B,分類問題ではSoftmaxと交差エントロピーが組み合わされることが多い。
G5-047,ニューラルネットワーク,標準,次のうち、ドロップアウトの説明として最も適切なものはどれか。,推論時にすべての入力を削除する手法,学習時に一部のユニットを無効化し、過学習を抑える手法,ラベルをランダムに入れ替える手法,検索結果を並べ替える手法,B,Dropoutは特定ユニットへの依存を減らす正則化手法。
G5-048,ニューラルネットワーク,標準,バッチ正規化の効果として最も適切なものはどれか。,必ず説明可能性を保証する,層への入力分布を整え、学習を安定・高速化しやすくする,個人情報を匿名加工する,クラスタ数を固定する,B,Batch Normalizationは内部共変量シフトの緩和として説明されることが多い。
G5-049,最適化,標準,確率的勾配降下法（SGD）の説明として最も適切なものはどれか。,すべての重みを人間が手で決める方法,データの一部を使って勾配を推定し、重みを更新する方法,外部文書を検索する方法,分類結果を表にする方法,B,SGDはミニバッチで勾配を計算し、効率的に最適化する。
G5-050,最適化,標準,学習率が大きすぎる場合に起こりやすいことはどれか。,必ず過学習が完全に解消する,最適値を飛び越えて、損失が安定して下がらない,モデルの説明可能性が上がる,データ数が増える,B,学習率は更新幅。大きすぎると発散、小さすぎると収束が遅い。
G5-051,CNN,標準,畳み込み層の主な役割として最も適切なものはどれか。,文脈長を拡張する,報酬を設計する,局所的なパターンや特徴をフィルタで抽出する,正解ラベルを作る,C,CNNでは畳み込み層がエッジや模様などの局所特徴を捉える。
G5-052,CNN,標準,プーリング層の主な役割として最も適切なものはどれか。,単語をベクトル化する,報酬を最大化する,特徴マップの空間サイズを小さくし、位置ずれへの頑健性を高める,個人情報を削除する,C,プーリングは代表値を取り、計算量削減や位置変化への強さに寄与する。
G5-053,CNN,標準,次のうち、データ拡張の例として最も適切なものはどれか。,評価データを学習データに混ぜる,正解ラベルをすべて同じにする,画像を回転・反転・切り抜きして学習データの多様性を増やす,損失関数を削除する,C,データ拡張は過学習を抑え、汎化性能向上に役立つ。
G5-054,画像認識,標準,次のうち、物体検出の説明として最も適切なものはどれか。,画像全体に1つのラベルだけを付けるタスク,文章の感情を分類するタスク,画像内の物体の種類と位置を推定するタスク,音声をテキスト化するタスク,C,分類は画像全体のラベル、検出は位置も扱う。
G5-055,画像認識,標準,セマンティックセグメンテーションの説明として最も適切なものはどれか。,画像に1つだけラベルを付ける,文章を単語に分ける,画像の各画素にクラスラベルを割り当てるタスク,報酬で行動を学ぶ,C,画素単位の分類を行う。インスタンスセグメンテーションとの違いも重要。
G5-056,画像認識,難しめ,インスタンスセグメンテーションの説明として最も適切なものはどれか。,同じクラスをすべて1つの領域として扱うだけ,画像全体に1ラベルを付けるだけ,同じクラスの個体ごとに領域を分けて認識するタスク,音声波形を文字列にするだけ,C,個体単位で領域を分ける点がセマンティックセグメンテーションとの違い。
G5-057,NLP,標準,次のうち、形態素解析の説明として最も適切なものはどれか。,文章全体を画像に変換する処理,報酬を与えて行動を学ぶ処理,文章を意味を持つ最小単位に分割し、品詞などを解析する処理,モデルの重みを低ランク化する処理,C,日本語NLPで重要。単語分割や品詞推定に関係する。
G5-058,NLP,標準,単語分散表現の説明として最も適切なものはどれか。,単語を五十音順に並べるだけ,文章を必ず短くする方法,単語の意味や関係をベクトルで表現する方法,画像を畳み込む方法,C,word2vecなどが代表例。意味の近さをベクトル空間で扱う。
G5-059,NLP,標準,Word2Vecの代表的な学習方式として正しい組合せはどれか。,GANとVAE,SVMとk-means,CBOWとSkip-gram,BFSとDFS,C,Word2VecではCBOWとSkip-gramが代表的。
G5-060,NLP,標準,次のうち、TF-IDFの説明として最も適切なものはどれか。,単語を必ず画像化する方法,音声を圧縮する方法,文書内で重要で、他文書では珍しい語に高い重みを与える指標,報酬を最大化する関数,C,TFは出現頻度、IDFは希少性。古典的な文書特徴量として使われる。
G5-061,NLP,標準,機械翻訳でSeq2Seqモデルが扱う典型的な構造はどれか。,画像だけを分類する木構造,クラスタ中心を更新する構造,入力系列を別の出力系列へ変換するEncoder-Decoder構造,ルールを人間が全記述する構造,C,Seq2Seqは翻訳や要約など系列変換タスクに使われた。
G5-062,音声処理,標準,音声認識の説明として最も適切なものはどれか。,文章を音声に変換する技術,画像から物体位置を出す技術,音声信号を文字列へ変換する技術,クラスタに分けるだけの技術,C,音声認識はSpeech-to-Text。音声合成とは逆。
G5-063,音声処理,標準,音声合成の説明として最も適切なものはどれか。,音声を文字にする技術,画像を分類する技術,テキストなどから音声波形を生成する技術,ラベルなしデータを分ける技術,C,音声合成はText-to-Speech。音声認識と混同しない。
G5-064,生成モデル,標準,GANの基本構成として最も適切なものはどれか。,Encoderだけで穴埋めをする,報酬だけで行動を学ぶ,生成器と識別器が互いに競いながら学習する,決定木を多数決する,C,GANはGeneratorとDiscriminatorの敵対的学習が特徴。
G5-065,生成モデル,標準,次のうち、VAEの説明として最も適切なものはどれか。,識別器との敵対学習だけを行うモデル,強化学習専用の価値関数,潜在変数を用いてデータ生成を行う確率的生成モデル,検索エンジンの並べ替え手法,C,VAEはエンコーダ・デコーダと潜在空間を使う生成モデル。
G5-066,生成モデル,標準,次のうち、拡散モデルの説明として最も適切なものはどれか。,決定木を深くするモデル,ルールベース翻訳モデル,ノイズを加える過程と、ノイズからデータを復元する過程を学ぶ生成モデル,k近傍法の別名,C,画像生成などで使われる。ノイズ除去過程を学ぶ点が特徴。
G5-067,教師なし学習,標準,次のうち、k-means法の説明として最も適切なものはどれか。,正解ラベルで分類境界を学ぶ手法,報酬を最大化する手法,データをk個のクラスタに分け、中心を更新しながら分類する手法,文章を次トークン予測する手法,C,k-meansは代表的なクラスタリング手法。kは事前に指定する。
G5-068,教師なし学習,標準,次のうち、主成分分析（PCA）の説明として最も適切なものはどれか。,報酬で行動を学ぶ手法,正解ラベルを付ける手法,分散が大きい方向を見つけ、次元削減する手法,画像を生成する手法,C,PCAはデータの情報をなるべく保ちながら低次元へ写す。
G5-069,教師なし学習,標準,外れ値検知の説明として最も適切なものはどれか。,すべてのデータを正例にすること,学習率を増やすこと,通常のデータ分布から大きく外れたデータを検出すること,モデルを説明可能にすること,C,異常検知とも関連する。製造やセキュリティで使われる。
G5-070,強化学習,標準,強化学習における「方策」の説明として最も適切なものはどれか。,正解ラベルの一覧,入力画像の画素値,状態に応じてどの行動を選ぶかを決めるルールや関数,モデルの著作権表示,C,方策はpolicy。エージェントの行動選択を表す。
G5-071,強化学習,標準,強化学習における「価値関数」の説明として最も適切なものはどれか。,画像の色を補正する関数,文書を単語に分ける関数,状態や行動が将来どれだけの報酬につながるかを評価する関数,個人情報を匿名化する関数,C,価値関数は将来報酬の期待値を評価する。
G5-072,強化学習,標準,次のうち、探索と活用のトレードオフの説明として最も適切なものはどれか。,学習データと評価データを混ぜること,モデルを大きくすることと小さくすることだけ,未知の行動を試すことと、既に良い行動を選ぶことのバランス,画像と音声を同時に扱うこと,C,探索しなければ新しい良策が見つからず、活用しなければ報酬を得にくい。
G5-073,強化学習,標準,次のうち、Q学習の説明として最も適切なものはどれか。,正解ラベル付き画像を分類する手法,クラスタ中心を更新する手法,状態と行動の価値を更新しながら最適方策を学ぶ手法,文書を検索して回答する手法,C,Q値は状態-行動価値を表す。強化学習の代表的手法。
G5-074,AI史,標準,エキスパートシステムの課題として最も適切なものはどれか。,GPUが存在しないと絶対に動かない,画像生成しかできない,専門家の知識をルール化・保守することが難しい,自己教師あり学習専用である,C,知識獲得ボトルネックが第二次AIブーム後の限界として語られる。
G5-075,AI史,標準,次のうち、フレーム問題の説明として最も適切なものはどれか。,画像をフレーム単位に分割する問題,モデルを小型化する問題,有限の計算資源で、どの情報を考慮すべきか決めることが難しい問題,著作権表示を付ける問題,C,AIが現実世界の全ての関連事項を扱えないという古典的問題。
G5-076,AI史,標準,次のうち、シンボルグラウンディング問題の説明として最も適切なものはどれか。,モデルの重みを初期化する問題,画像の縦横比を保つ問題,学習率を下げる問題,記号が現実世界の意味とどのように結びつくかという問題,D,記号操作だけで意味理解が成立するかという論点。
G5-077,AI史,標準,チューリングテストの目的として最も適切なものはどれか。,画像分類精度を測る指標,クラスタ数を決める方法,学習率を探索する方法,対話を通じて機械が人間のように振る舞えるかを判定する考え方,D,人間の判定者が相手を機械か人間か見分けられるかを見る。
G5-078,AI史,標準,ダートマス会議に関する説明として最も適切なものはどれか。,Transformerが初めて発表された会議,個人情報保護法が制定された会議,AlphaGoが対局した大会,人工知能という研究分野の出発点としてよく言及される会議,D,1956年のダートマス会議はAI史の基本事項。
G5-079,数理統計,標準,次のうち、標準化の説明として最も適切なものはどれか。,値を0から1の範囲に必ず収める処理,カテゴリを削除する処理,文章を翻訳する処理,平均0、分散1になるように値を変換する処理,D,標準化と正規化は混同されやすい。標準化は平均と分散を使う。
G5-080,数理統計,標準,次のうち、正規化の説明として最も適切なものはどれか。,平均0分散1だけを指す,ラベルを自動付与する,モデルを必ず解釈可能にする,値の範囲をそろえる前処理の総称で、0〜1スケーリングなどがある,D,特徴量のスケール差を整えるために使う。
G5-081,数理統計,標準,相関係数について最も適切な説明はどれか。,因果関係を必ず証明する指標,分類精度そのもの,文章の文脈長,2つの変数の線形な関係の強さと向きを表す指標,D,相関があることは因果を意味しない、という点が重要。
G5-082,数理統計,標準,p値の説明として最も適切なものはどれか。,仮説が正しい確率そのもの,モデルの正解率,データの個数,帰無仮説が正しいと仮定したとき、観測結果以上に極端な結果が得られる確率,D,p値は誤解されやすい。仮説が正しい確率ではない。
G5-083,数理統計,標準,ベイズの定理が扱うものとして最も適切なものはどれか。,画像の畳み込みだけ,報酬の割引率だけ,単語の品詞だけ,事前確率と観測データから事後確率を更新する関係,D,ベイズ推定や迷惑メール判定などで基礎となる考え方。
G5-084,数理統計,標準,エントロピーの説明として最も適切なものはどれか。,モデルの層数,画像サイズ,学習率の別名,情報の不確実性や乱雑さを表す量,D,情報理論では不確実性の尺度として使われる。
G5-085,数理統計,標準,交差エントロピーが小さい状態として最も適切なものはどれか。,予測が完全にランダムな状態,学習データがない状態,モデルが一切更新されない状態,予測分布が正解分布に近い状態,D,分類の損失関数として使われ、正解に近いほど小さくなる。
G5-086,法律倫理,標準,個人情報保護法における個人情報の説明として最も適切なものはどれか。,企業の売上高だけ,完全に匿名化され個人に戻せない統計値だけ,天気予報の気温だけ,生存する個人に関する情報で、特定の個人を識別できるもの,D,個人を識別できる情報が対象。法制度では用語の区別が問われる。
G5-087,法律倫理,標準,要配慮個人情報の例として最も適切なものはどれか。,会社の資本金,公開された商品価格,天気データ,病歴や信条など、不当な差別につながり得る配慮が必要な情報,D,要配慮個人情報は取得や扱いに特に注意が必要。
G5-088,法律倫理,標準,匿名加工情報の説明として最も適切なものはどれか。,名前だけを削除したが容易に再識別できる情報,社内だけで共有する生データ,暗号化しただけで復元可能な個人情報,特定個人を識別できず、元の個人情報を復元できないよう加工した情報,D,匿名加工情報は復元できないよう加工される点が重要。
G5-089,法律倫理,標準,仮名加工情報の説明として最も適切なものはどれか。,復元不可能で個人情報に該当しない情報,企業秘密だけを指す情報,画像ファイルの圧縮形式,他の情報と照合しない限り特定個人を識別できないよう加工した情報,D,仮名加工情報は匿名加工情報と異なり、照合で識別可能な場合がある。
G5-090,法律倫理,標準,著作権法で保護される「著作物」の説明として最も適切なものはどれか。,単なる事実やデータそのものすべて,アイデアそのもの,ありふれた短い単語だけ,思想又は感情を創作的に表現したもの,D,著作権は表現を保護し、アイデアや事実そのものは保護対象ではない。
G5-091,法律倫理,難しめ,生成AIの学習と著作権に関する注意として最も適切なものはどれか。,AIが作れば著作権問題は常に発生しない,学習に使った時点で生成物は必ず違法,公開データならどんな利用も無制限に可能,学習利用と生成物利用では論点が異なり、生成物が既存表現に類似すれば問題になり得る,D,学習段階と出力利用段階を分けて考える。断定的な選択肢に注意。
G5-092,法律倫理,標準,不正競争防止法で営業秘密として保護されるための要件として不適切なものはどれか。,秘密として管理されていること,有用な技術上または営業上の情報であること,公然と知られていないこと,誰でも自由に入手できる公開情報であること,D,営業秘密は秘密管理性・有用性・非公知性が要件。
G5-093,法律倫理,標準,AI開発委託契約で確認すべき事項として最も適切なものはどれか。,モデル名だけ決めれば十分,口頭合意だけで十分,著作権やデータ権利は確認不要,成果物・学習データ・知的財産・責任分担の扱い,D,AI開発では成果物・データ・権利・責任の整理が重要。
G5-094,法律倫理,標準,AIサービス提供時の利用規約で重要な観点として最も適切なものはどれか。,UIの色だけを決めること,モデルの層数だけを公開すること,必ず無保証を禁止すること,入力データの扱い、出力の利用条件、責任範囲を明確にすること,D,サービス利用ではデータ利用・権利・責任範囲の明確化が重要。
G5-095,AI倫理,標準,公平性の観点で問題となる例として最も適切なものはどれか。,処理速度が速いAI,説明文が短いAI,画像サイズが小さいAI,特定属性の人々に不利な判断を一貫して出す採用AI,D,公平性は差別や偏りを避けるための重要なAI倫理原則。
G5-096,AI倫理,標準,説明可能性が重視される理由として最も適切なものはどれか。,必ずモデル精度を100%にするため,学習データを不要にするため,著作権を消すため,判断理由を理解し、利用者の納得や検証につなげるため,D,特に医療・金融などで、なぜその判断か説明できることが重要。
G5-097,AI倫理,標準,透明性の説明として最も適切なものはどれか。,モデルを必ずオープンソース化することだけ,出力をすべて秘密にすること,計算速度を最大化すること,AIの利用目的、仕組み、データ利用などを分かる範囲で明らかにすること,D,透明性は情報開示や説明責任と関係する。
G5-098,AI倫理,標準,次のうち、アカウンタビリティの説明として最も適切なものはどれか。,AIにすべての責任を負わせること,人間が一切関与しないこと,モデルを大きくすること,AIの利用や結果について説明責任を果たせる体制を持つこと,D,AIの判断でも、責任主体や説明体制を明確にする必要がある。
G5-099,AI倫理,標準,Human-in-the-loopの説明として最も適切なものはどれか。,人間を完全に排除すること,AIが人間になること,学習データを削除すること,AIの判断や運用過程に人間の確認・介入を組み込むこと,D,重要判断では人間が確認する仕組みがリスク低減に役立つ。
G5-100,AIガバナンス,標準,次のうち、AIガバナンスの説明として最も適切なものはどれか。,モデル精度だけを競うこと,プロンプトを長くすること,GPUを増やすこと,AIの開発・運用に関する方針、体制、リスク管理を整えること,D,AIを安全・適切に使うための組織的管理が問われる。
