id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G1-011,AI史,難,エキスパートシステムの限界の説明として最も適切なものはどれか。,報酬関数を使いすぎること,画像しか扱えないこと,専門家の知識獲得・ルール化・保守が難しいこと,深層学習の層数が多すぎること,C,正解は「専門家の知識獲得・ルール化・保守が難しいこと」。エキスパートシステムの限界はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-012,機械学習,標準,教師あり学習の説明として最も適切なものはどれか。,検索結果だけで答える手法,正解ラベル付きデータから入力と出力の関係を学ぶ手法,正解なしデータをクラスタに分ける手法,報酬を得ながら行動を学ぶ手法,B,正解は「正解ラベル付きデータから入力と出力の関係を学ぶ手法」。教師あり学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-013,機械学習,標準,教師なし学習の説明として最も適切なものはどれか。,正解ラベルなしデータから構造やグループを見つける手法,正解ラベル付きデータだけで分類する手法,人間が常に答えを教える手法,報酬を最大化する手法,A,正解は「正解ラベルなしデータから構造やグループを見つける手法」。教師なし学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-014,機械学習,標準,強化学習の説明として最も適切なものはどれか。,正解ラベルだけを暗記する手法,外部文書を検索して生成する手法,画像を畳み込む手法,エージェントが環境と相互作用し報酬に基づいて方策を学ぶ手法,D,正解は「エージェントが環境と相互作用し報酬に基づいて方策を学ぶ手法」。強化学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-015,機械学習,標準,分類の説明として最も適切なものはどれか。,特徴量を削除する処理,モデルを説明する制度,入力データをカテゴリに分ける問題,連続値を予測する問題,C,正解は「入力データをカテゴリに分ける問題」。分類はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-016,機械学習,標準,回帰の説明として最も適切なものはどれか。,報酬だけで学習する問題,数値などの連続値を予測する問題,カテゴリを予測する問題,データを暗号化する処理,B,正解は「数値などの連続値を予測する問題」。回帰はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-017,機械学習,標準,過学習の説明として最も適切なものはどれか。,訓練データに適合しすぎ未知データで性能が落ちること,訓練データにも全く適合しないこと,学習データが存在しないこと,正解ラベルを消すこと,A,正解は「訓練データに適合しすぎ未知データで性能が落ちること」。過学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-018,機械学習,標準,汎化性能の説明として最も適切なものはどれか。,訓練データだけを完全暗記する能力,モデルの説明文を作る能力,GPUを増やす能力,未知のデータにも適切に対応できる能力,D,正解は「未知のデータにも適切に対応できる能力」。汎化性能はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-019,機械学習,難,データリーケージの説明として最も適切なものはどれか。,学習率が0になること,モデルサイズが大きいこと,本来使えない情報が学習や評価に混入し不当に高評価になること,個人情報を必ず公開すること,C,正解は「本来使えない情報が学習や評価に混入し不当に高評価になること」。データリーケージはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-020,機械学習,難,交差検証の説明として最も適切なものはどれか。,外部知識を検索する方法,データ分割を変えながら学習・評価し性能評価を安定させる方法,テストデータを訓練に混ぜる方法,ラベルを完全に削除する方法,B,正解は「データ分割を変えながら学習・評価し性能評価を安定させる方法」。交差検証はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-021,機械学習,難,ハイパーパラメータの説明として最も適切なものはどれか。,学習前に人が設定する学習率や木の深さなどの値,学習で自動更新される重み,入力データそのもの,正解ラベルそのもの,A,正解は「学習前に人が設定する学習率や木の深さなどの値」。ハイパーパラメータはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-022,機械学習,標準,転移学習の説明として最も適切なものはどれか。,テストデータを訓練データに移すこと,データを別サーバへ移動すること,モデルを物理的に輸送すること,あるタスクで学んだ知識を別の関連タスクに活用すること,D,正解は「あるタスクで学んだ知識を別の関連タスクに活用すること」。転移学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-023,機械学習,難,自己教師あり学習の説明として最も適切なものはどれか。,報酬だけで学ぶこと,外部検索だけで答えること,データ自身から擬似的な教師信号を作って学習すること,必ず人間が全ラベルを付けること,C,正解は「データ自身から擬似的な教師信号を作って学習すること」。自己教師あり学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-024,機械学習,難,半教師あり学習の説明として最も適切なものはどれか。,報酬だけを使う学習,少量のラベル付きデータと大量のラベルなしデータを使う学習,ラベル付きデータだけを使う学習,ラベルなしデータだけを使う学習,B,正解は「少量のラベル付きデータと大量のラベルなしデータを使う学習」。半教師あり学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-025,機械学習,難,アクティブラーニングの説明として最も適切なものはどれか。,モデルが有用なデータを選び人間にラベル付けを依頼する方法,学習率を最大化する方法,AIが法律を作る方法,GPUを自動購入する方法,A,正解は「モデルが有用なデータを選び人間にラベル付けを依頼する方法」。アクティブラーニングはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-026,評価指標,標準,偽陽性（FP）の説明として最も適切なものはどれか。,本当は陽性で陽性と予測したもの,本当は陽性なのに陰性と予測したもの,本当は陰性で陰性と予測したもの,本当は陰性なのに陽性と予測したもの,D,正解は「本当は陰性なのに陽性と予測したもの」。偽陽性（FP）はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-027,評価指標,標準,偽陰性（FN）の説明として最も適切なものはどれか。,本当も予測も陽性のもの,本当も予測も陰性のもの,本当は陽性なのに陰性と予測したもの,本当は陰性なのに陽性と予測したもの,C,正解は「本当は陽性なのに陰性と予測したもの」。偽陰性（FN）はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-028,評価指標,標準,適合率の説明として最も適切なものはどれか。,陰性だけの正解率,陽性と予測したもののうち実際に陽性だった割合,実際の陽性のうち陽性と予測できた割合,全データのうち正解した割合,B,正解は「陽性と予測したもののうち実際に陽性だった割合」。適合率はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-029,評価指標,標準,再現率の説明として最も適切なものはどれか。,実際の陽性のうち陽性と予測できた割合,陽性と予測したもののうち実際に陽性だった割合,全データのうち正解した割合,予測が陰性だったものの正確さ,A,正解は「実際の陽性のうち陽性と予測できた割合」。再現率はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-030,評価指標,標準,F1スコアについて、最も不適切な説明はどれか。,正答率だけを最大化する指標,適合率と再現率の調和平均,回帰専用の損失関数,AUCと完全に同じ指標,A,F1スコアの正しい理解は「適合率と再現率の調和平均」。不適切な選択肢を選ぶ問題。,未
G1-031,評価指標,難,不均衡データで正答率だけを見る危険の説明として最も適切なものはどれか。,必ず過学習が防げること,ラベルが不要になること,多数派を当てるだけで高精度に見える可能性があること,必ずF1スコアが1になること,C,正解は「多数派を当てるだけで高精度に見える可能性があること」。不均衡データで正答率だけを見る危険はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-032,評価指標,難,ROC曲線の説明として最も適切なものはどれか。,クラスタ数と次元数の関係を表す曲線,閾値を変えたときの真陽性率と偽陽性率の関係を表す曲線,損失関数と学習率の関係を表す曲線,GPU数と精度の関係を表す曲線,B,正解は「閾値を変えたときの真陽性率と偽陽性率の関係を表す曲線」。ROC曲線はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-033,評価指標,難,AUCの説明として最も適切なものはどれか。,ROC曲線下面積で分類モデルの識別性能を見る指標,学習データ数を示す値,計算コストだけを示す値,説明可能性の高さを示す値,A,正解は「ROC曲線下面積で分類モデルの識別性能を見る指標」。AUCはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-034,ディープラーニング,標準,ニューラルネットワークの重みの説明として最も適切なものはどれか。,データファイル名,著作権情報,GPU温度,入力信号の影響度を調整し学習で更新される値,D,正解は「入力信号の影響度を調整し学習で更新される値」。ニューラルネットワークの重みはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-035,ディープラーニング,標準,活性化関数の説明として最も適切なものはどれか。,ラベルを人手で付ける作業,著作権侵害を検出する制度,ネットワークに非線形性を導入する関数,外部文書を検索する関数,C,正解は「ネットワークに非線形性を導入する関数」。活性化関数はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-036,ディープラーニング,標準,誤差逆伝播法の説明として最も適切なものはどれか。,モデルを暗号化する方法,出力誤差を後ろから前へ伝えて重み更新に使う方法,入力データを逆順に並べ替える方法,検索結果をプロンプトに足す方法,B,正解は「出力誤差を後ろから前へ伝えて重み更新に使う方法」。誤差逆伝播法はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-037,ディープラーニング,標準,勾配降下法の説明として最も適切なものはどれか。,損失が小さくなる方向にパラメータを更新する方法,データを必ず4分割する方法,文章を単語に分ける方法,画像を生成する方法,A,正解は「損失が小さくなる方向にパラメータを更新する方法」。勾配降下法はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-038,ディープラーニング,標準,学習率が大きすぎる場合の説明として最も適切なものはどれか。,必ず汎化性能が上がる,データリーケージが消える,説明可能性が必ず上がる,最適値を飛び越えて学習が不安定になりやすい,D,正解は「最適値を飛び越えて学習が不安定になりやすい」。学習率が大きすぎる場合はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-039,ディープラーニング,標準,ドロップアウトの説明として最も適切なものはどれか。,外部知識を検索する手法,出力を翻訳する手法,一部ニューロンを無効化し過学習を抑える正則化手法,入力画像を拡大する手法,C,正解は「一部ニューロンを無効化し過学習を抑える正則化手法」。ドロップアウトはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-040,ディープラーニング,難,バッチ正規化の説明として最も適切なものはどれか。,データを必ず匿名化する手法,各層の入力分布を整え学習を安定化しやすくする手法,著作物の許諾を得る手法,モデルを完全に説明可能にする手法,B,正解は「各層の入力分布を整え学習を安定化しやすくする手法」。バッチ正規化はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-041,ディープラーニング,難,勾配消失問題の説明として最も適切なものはどれか。,深いネットワークで前の層に勾配が伝わりにくく学習が進みにくい問題,データのラベルが消える問題,GPUメモリが必ず消える問題,生成AIが引用元を失う問題,A,正解は「深いネットワークで前の層に勾配が伝わりにくく学習が進みにくい問題」。勾配消失問題はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-042,ディープラーニング,標準,ReLU関数の説明として最も適切なものはどれか。,全入力を確率に変換する関数,文章を形態素に分ける関数,画像を畳み込むフィルタそのもの,入力が正ならそのまま、負なら0を出力する関数,D,正解は「入力が正ならそのまま、負なら0を出力する関数」。ReLU関数はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-043,ディープラーニング,標準,Softmax関数の説明として最も適切なものはどれか。,外部文書を検索する関数,音声をノイズ除去する関数,多クラス分類で各クラスの確率のような値に変換する関数,画像を拡大する関数,C,正解は「多クラス分類で各クラスの確率のような値に変換する関数」。Softmax関数はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-044,ディープラーニング,難,エポックの説明として最も適切なものはどれか。,著作権の保護期間,訓練データ全体を1回学習に使う単位,1つのニューロンの重み,分類の閾値,B,正解は「訓練データ全体を1回学習に使う単位」。エポックはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-045,ディープラーニング,標準,ミニバッチ学習の説明として最も適切なものはどれか。,データを小分けにして重みを更新する学習方法,全データを手入力する方法,学習データを使わない方法,モデルを法律で圧縮する方法,A,正解は「データを小分けにして重みを更新する学習方法」。ミニバッチ学習はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-046,ディープラーニング,難,損失関数の説明として最も適切なものはどれか。,モデルの著作権を判定する関数,入力文をトークン化する関数,AI倫理原則を作る関数,予測と正解のずれを数値化し学習の目標にする関数,D,正解は「予測と正解のずれを数値化し学習の目標にする関数」。損失関数はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-047,モデル構造,標準,CNNの説明として最も適切なものはどれか。,報酬設計専用のモデル,法律文書専用の制度,画像などの局所的特徴を捉えるのが得意なニューラルネットワーク,系列だけを扱うモデル,C,正解は「画像などの局所的特徴を捉えるのが得意なニューラルネットワーク」。CNNはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-048,モデル構造,標準,畳み込み層の説明として最も適切なものはどれか。,判断理由を人間が書く層,フィルタを用いて局所特徴を抽出する層,文章を必ず要約する層,正解ラベルを作成する層,B,正解は「フィルタを用いて局所特徴を抽出する層」。畳み込み層はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-049,モデル構造,標準,プーリング層の説明として最も適切なものはどれか。,特徴マップのサイズを縮小し重要特徴を残す層,損失関数を定義する層,データをラベル付けする層,外部検索を行う層,A,正解は「特徴マップのサイズを縮小し重要特徴を残す層」。プーリング層はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-050,モデル構造,標準,RNNの説明として最も適切なものはどれか。,完全に順序のない表だけ扱うモデル,静止画像だけ扱うモデル,法令条文だけ扱う制度,時系列や文章など順序を持つデータを扱うネットワーク,D,正解は「時系列や文章など順序を持つデータを扱うネットワーク」。RNNはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-051,モデル構造,難,LSTMの説明として最も適切なものはどれか。,データ匿名化の法律,分類しかできないモデル,RNNの長期依存関係を学びにくい問題を改善する構造,画像の畳み込み問題を改善する構造,C,正解は「RNNの長期依存関係を学びにくい問題を改善する構造」。LSTMはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-052,モデル構造,標準,Attentionの説明として最も適切なものはどれか。,強化学習の報酬そのもの,入力のどの部分に注目するか重み付けする仕組み,全データを削除する仕組み,モデルを小さくする形式,B,正解は「入力のどの部分に注目するか重み付けする仕組み」。AttentionはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-053,モデル構造,標準,Transformerの説明として最も適切なものはどれか。,Self-Attentionを中心に系列内の関係を捉えるモデル構造,畳み込みだけで構成されるモデル,決定木の集合,人手ルールだけの仕組み,A,正解は「Self-Attentionを中心に系列内の関係を捉えるモデル構造」。TransformerはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-054,モデル構造,難,Self-Attentionの説明として最も適切なものはどれか。,外部DBだけを検索する仕組み,画像サイズを半分にする処理,人間がルールを追加する処理,同じ系列内の各要素同士の関連度を計算する仕組み,D,正解は「同じ系列内の各要素同士の関連度を計算する仕組み」。Self-AttentionはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-055,モデル構造,難,位置エンコーディングの説明として最も適切なものはどれか。,過学習を完全になくす仕組み,著作権表示を埋め込む仕組み,Transformerに語順や位置情報を与えるための仕組み,画像をカラー化する仕組み,C,正解は「Transformerに語順や位置情報を与えるための仕組み」。位置エンコーディングはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-056,モデル構造,標準,GANの説明として最も適切なものはどれか。,ルールベースとDBだけの仕組み,生成器と識別器が競い合う生成モデル,教師と生徒だけで構成されるモデル,検索器と要約器だけの仕組み,B,正解は「生成器と識別器が競い合う生成モデル」。GANはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-057,自然言語処理,標準,形態素解析の説明として最も適切なものはどれか。,文章を意味を持つ最小単位に分割し品詞などを解析する処理,文章を画像に変換する処理,著作権を消す処理,文章を必ず英語に翻訳する処理,A,正解は「文章を意味を持つ最小単位に分割し品詞などを解析する処理」。形態素解析はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-058,自然言語処理,標準,分散表現の説明として最も適切なものはどれか。,単語をアルファベット順に並べる表現,文章をランダムに削除する表現,音声を画像に変換する表現,単語や文をベクトルとして表し意味的近さを扱う表現,D,正解は「単語や文をベクトルとして表し意味的近さを扱う表現」。分散表現はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-059,自然言語処理,標準,Word2Vecの説明として最も適切なものはどれか。,強化学習の代表的報酬,個人情報保護法の条文,単語をベクトル表現に変換する代表的手法,画像を畳み込む代表的手法,C,正解は「単語をベクトル表現に変換する代表的手法」。Word2VecはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-060,自然言語処理,難,BERTの説明として最も適切なものはどれか。,報酬最大化だけを行うモデル,双方向の文脈を考慮する事前学習済み言語モデル,画像生成に特化したGAN,決定木だけで構成されるモデル,B,正解は「双方向の文脈を考慮する事前学習済み言語モデル」。BERTはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-061,自然言語処理,標準,トークン化の説明として最も適切なものはどれか。,テキストをモデルが扱う単位に分割する処理,モデルの重みを暗号化する処理,画像を二値化する処理,データを法律上公開する処理,A,正解は「テキストをモデルが扱う単位に分割する処理」。トークン化はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-062,生成AI,標準,生成AIの説明として最も適切なものはどれか。,分類だけを行い生成しないAI,物理ロボットだけを指す言葉,表計算ソフトの関数名,文章・画像・音声など新しいコンテンツを生成するAI,D,正解は「文章・画像・音声など新しいコンテンツを生成するAI」。生成AIはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-063,生成AI,標準,基盤モデルの説明として最も適切なものはどれか。,ルールベースAIの別名,画像分類専用の小型モデル,大規模データで事前学習され多様な下流タスクに適用できるモデル,特定企業の社内DB,C,正解は「大規模データで事前学習され多様な下流タスクに適用できるモデル」。基盤モデルはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-064,生成AI,標準,事前学習について、最も不適切な説明はどれか。,本番投入後にログを削除すること,大量データから汎用的な表現をあらかじめ学習すること,人間が全ルールを書くこと,学習済みモデルを一切使わないこと,A,事前学習の正しい理解は「大量データから汎用的な表現をあらかじめ学習すること」。不適切な選択肢を選ぶ問題。,未
G1-065,生成AI,標準,ファインチューニングの説明として最も適切なものはどれか。,事前学習済みモデルを特定タスクや領域に追加学習で適応させること,外部文書を検索して回答に足すだけのこと,プロンプトの言い回しを変えるだけのこと,モデル利用を禁止する契約,A,正解は「事前学習済みモデルを特定タスクや領域に追加学習で適応させること」。ファインチューニングはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-066,生成AI,標準,RAGの説明として最も適切なものはどれか。,モデルの重みを必ず更新する学習手法,画像を畳み込む層,強化学習の報酬関数,外部知識を検索し、その結果を参照して生成する仕組み,D,正解は「外部知識を検索し、その結果を参照して生成する仕組み」。RAGはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-067,生成AI,難,RAGとファインチューニングの違いの説明として最も適切なものはどれか。,RAGは法律用語でファインチューニングは倫理用語,両者は完全に同義,RAGは外部情報を検索参照し、ファインチューニングはモデル自体を追加学習する,RAGは画像専用でファインチューニングは音声専用,C,正解は「RAGは外部情報を検索参照し、ファインチューニングはモデル自体を追加学習する」。RAGとファインチューニングの違いはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-068,生成AI,標準,ハルシネーションについて、最も不適切な説明はどれか。,画像の解像度を上げること,もっともらしいが事実と異なる内容を生成すること,学習データを圧縮すること,報酬が最大になること,A,ハルシネーションの正しい理解は「もっともらしいが事実と異なる内容を生成すること」。不適切な選択肢を選ぶ問題。,未
G1-069,生成AI,難,プロンプトエンジニアリングの説明として最も適切なものはどれか。,入力指示を工夫して望ましい出力を得る技術・方法,モデルの重みを直接書き換えること,GPUを組み立てる作業,法律文書を自動で無効化すること,A,正解は「入力指示を工夫して望ましい出力を得る技術・方法」。プロンプトエンジニアリングはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-070,生成AI,難,ゼロショットの説明として最も適切なものはどれか。,大量の正解例を必ず与えること,モデルをゼロから学習すること,GPUを使わない学習,具体例を与えずタスクを実行させること,D,正解は「具体例を与えずタスクを実行させること」。ゼロショットはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-071,生成AI,難,Few-shotプロンプティングの説明として最も適切なものはどれか。,モデルを完全に再学習する方法,検索エンジンだけで回答する方法,少数の例を示して同様の形式で回答させる方法,例を一切与えない方法,C,正解は「少数の例を示して同様の形式で回答させる方法」。Few-shotプロンプティングはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-072,生成AI,難,コンテキストウィンドウの説明として最も適切なものはどれか。,GPUの冷却範囲,モデルが一度に参照できる入力・出力の範囲,画像の表示ウィンドウだけ,法令上の保存期間,B,正解は「モデルが一度に参照できる入力・出力の範囲」。コンテキストウィンドウはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-073,生成AI,標準,マルチモーダルAIの説明として最も適切なものはどれか。,テキスト・画像・音声など複数種類のデータを扱うAI,複数企業が共同利用するAI,複数の法律を守るAI,複数CPUだけで動くAI,A,正解は「テキスト・画像・音声など複数種類のデータを扱うAI」。マルチモーダルAIはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-074,生成AIリスク,難,RAGの過信の説明として最も適切なものはどれか。,RAGでは外部情報を一切使わないため危険,RAGは著作権法を無効化するため危険,RAGはモデルを必ず再学習するため危険,検索結果の選択・解釈・生成過程で誤りが起こり得るため危険,D,正解は「検索結果の選択・解釈・生成過程で誤りが起こり得るため危険」。RAGの過信はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-075,生成AIリスク,標準,プロンプトインジェクションの説明として最も適切なものはどれか。,学習率を自動調整する手法,AI倫理の国際条約名,悪意ある指示により本来の制約や指示を無視させようとする攻撃,画像ノイズで解像度を上げる処理,C,正解は「悪意ある指示により本来の制約や指示を無視させようとする攻撃」。プロンプトインジェクションはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-076,生成AIリスク,難,LLMへの機密情報入力リスクの説明として最も適切なものはどれか。,AIなら社外秘も自由に入力できること,サービス規約や設定次第で外部利用・学習利用・漏えいリスクがあること,無料なら必ず安全であること,入力した時点で機密ではなくなること,B,正解は「サービス規約や設定次第で外部利用・学習利用・漏えいリスクがあること」。LLMへの機密情報入力リスクはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-077,AIプロジェクト,標準,PoCの説明として最も適切なものはどれか。,概念実証として実現可能性や効果を小さく検証すること,本番運用を永久に続けること,法令違反を免除する手続き,データを全削除すること,A,正解は「概念実証として実現可能性や効果を小さく検証すること」。PoCはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-078,AIプロジェクト,標準,MLOpsの説明として最も適切なものはどれか。,画像認識専用の活性化関数,AI倫理の法律名,教師なし学習の別名,機械学習モデルの開発・運用・監視を継続的に管理する取り組み,D,正解は「機械学習モデルの開発・運用・監視を継続的に管理する取り組み」。MLOpsはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-079,AIプロジェクト,難,PoCが本番成功を保証しない理由の説明として最も適切なものはどれか。,精度は本番で必ず0になるため,AIは本番利用できないため,本番データ・運用・業務導入・監視など別課題が残るため,PoCは法律上禁止されているため,C,正解は「本番データ・運用・業務導入・監視など別課題が残るため」。PoCが本番成功を保証しない理由はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-080,AIプロジェクト,標準,データ前処理の説明として最も適切なものはどれか。,利用規約を削除する工程,欠損値処理や正規化など、データを学習しやすい形に整える工程,モデルの著作権を放棄する工程,GPUを購入する工程,B,正解は「欠損値処理や正規化など、データを学習しやすい形に整える工程」。データ前処理はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-081,AIプロジェクト,標準,アノテーションの説明として最も適切なものはどれか。,データにラベルや意味情報を付与する作業,モデルの重みをランダムに消す作業,文章を暗号化する作業,GPUを増設する作業,A,正解は「データにラベルや意味情報を付与する作業」。アノテーションはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-082,AIプロジェクト,難,データドリフトの説明として最も適切なものはどれか。,データが物理的に流れること,モデルの層が深くなること,学習率が必ず低下すること,運用中に入力データの分布が学習時から変化すること,D,正解は「運用中に入力データの分布が学習時から変化すること」。データドリフトはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-083,AIプロジェクト,難,モデルドリフトの説明として最も適切なものはどれか。,重みが法的に無効になること,GPUが故障すること,環境変化によりモデルの予測性能が低下すること,モデルファイルが移動すること,C,正解は「環境変化によりモデルの予測性能が低下すること」。モデルドリフトはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-084,数理統計,標準,平均値の説明として最も適切なものはどれか。,標準偏差の二乗,すべての値を足してデータ数で割った代表値,データを並べた中央の値,最も頻繁に出る値,B,正解は「すべての値を足してデータ数で割った代表値」。平均値はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
