id,set,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
R04-0011,Rebuild_Set04,case,Global Average Pooling,2,1,0,2,巨大な全結合層の代わりに、各特徴マップの平均値を使ってパラメータ数を減らした。この処理はどれか。,Teacher Forcing,Depthwise Convolution,Global Average Pooling,TF-IDF,C,GAPは特徴マップごとの平均を取り、全結合層のパラメータを削減できる。,「Teacher Forcing」はこの設問の条件とは異なる。,「Depthwise Convolution」はこの設問の条件とは異なる。,正解。,「TF-IDF」はこの設問の条件とは異なる。,Depthwise Convolutionは軽量畳み込み。,,Global Average Pooling;GAP;全結合層
R04-0012,Rebuild_Set04,reading,重み共有,2,1,0,2,同じフィルタを画像全体に適用することで、異なる位置の同じ特徴を検出しやすく、パラメータ数も抑えられる。この性質はどれか。,教師強制,データリーケージ,ランダムサーチ,重み共有,D,CNNではフィルタ重みを空間位置で共有する。,「教師強制」はこの設問の条件とは異なる。,「データリーケージ」はこの設問の条件とは異なる。,「ランダムサーチ」はこの設問の条件とは異なる。,正解。,教師強制はRNN系の学習手法。,,重み共有;CNN;フィルタ
R04-0013,Rebuild_Set04,case,RGB画像,2,1,0,2,RGB画像は高さ・幅に加えて色チャネルを持つ。この性質として最も適切なものはどれか。,空間方向とチャネル方向を持つ多次元データである,必ず一次元の時系列データである,教師あり学習では使えない,フォルマントだけで表せる,A,画像は高さ・幅・チャネルを持ち、CNNはその構造を利用しやすい。,正解。,「必ず一次元の時系列データである」はこの設問の条件とは異なる。,「教師あり学習では使えない」はこの設問の条件とは異なる。,「フォルマントだけで表せる」はこの設問の条件とは異なる。,画像を1次元化できても、元の性質は空間構造を持つ。,,RGB画像;チャネル;画像データ
R04-0014,Rebuild_Set04,case,データ拡張,2,1,0,2,画像データが少ないため、回転・反転・切り抜きなどで訓練例のバリエーションを増やした。この方法はどれか。,データリーケージ,蒸留,混同行列,データ拡張,D,データ拡張はデータの多様性を増やし、過学習を抑える。,「データリーケージ」はこの設問の条件とは異なる。,「蒸留」はこの設問の条件とは異なる。,「混同行列」はこの設問の条件とは異なる。,正解。,データリーケージは本来使えない情報混入。,,データ拡張;Augmentation;過学習
R04-0015,Rebuild_Set04,term,Cutout,1,0,0,1,画像中のランダムな正方形領域を0などで隠すデータ拡張はどれか。,Cutout,Mixup,CutMix,SMOTE,A,Cutoutは画像の一部をマスクする拡張手法。,正解。,「Mixup」はこの設問の条件とは異なる。,「CutMix」はこの設問の条件とは異なる。,「SMOTE」はこの設問の条件とは異なる。,MixupやCutMixとの違いに注意。,,Cutout;Random Erasing;データ拡張
R04-0016,Rebuild_Set04,term,Mixup,1,0,0,1,2枚の画像とラベルを混ぜ合わせ、中間的な訓練例を作る手法はどれか。,Cutout,Mixup,NMS,IoU,B,Mixupは入力とラベルを線形結合して訓練例を作る。,「Cutout」はこの設問の条件とは異なる。,正解。,「NMS」はこの設問の条件とは異なる。,「IoU」はこの設問の条件とは異なる。,NMSやIoUは物体検出まわりの用語。,,Mixup;データ拡張;画像分類
R04-0017,Rebuild_Set04,term,CutMix,1,0,0,1,画像の一部を別画像の領域で置き換え、ラベルも混ぜる手法はどれか。,Cutout,CutMix,PCA,CTC,B,CutMixは領域置換型のデータ拡張。,「Cutout」はこの設問の条件とは異なる。,正解。,「PCA」はこの設問の条件とは異なる。,「CTC」はこの設問の条件とは異なる。,Cutoutは領域を隠すが別画像で置き換えない。,,CutMix;データ拡張
R04-0018,Rebuild_Set04,term,Batch Normalization,1,0,0,1,ミニバッチ単位で特徴分布を正規化し、学習を安定させる手法はどれか。,量子化,教師強制,形態素解析,バッチ正規化,D,バッチ正規化は各層の入力分布を整え、学習を安定させる。,「量子化」はこの設問の条件とは異なる。,「教師強制」はこの設問の条件とは異なる。,「形態素解析」はこの設問の条件とは異なる。,正解。,量子化は推論時などの軽量化。,,バッチ正規化;Batch Normalization
R04-0019,Rebuild_Set04,compare,Layer Normalization,2,1,0,2,バッチ全体ではなく、主にデータごとの特徴方向を正規化する手法はどれか。,バッチ正規化,最大値プーリング,レイヤー正規化,アノテーション,C,レイヤー正規化は各データ内部の特徴を正規化する。Transformerでも重要。,「バッチ正規化」はこの設問の条件とは異なる。,「最大値プーリング」はこの設問の条件とは異なる。,正解。,「アノテーション」はこの設問の条件とは異なる。,バッチ正規化との正規化単位の違いを問う。,,レイヤー正規化;Layer Normalization;Transformer
R04-0020,Rebuild_Set04,case,Depthwise Separable Convolution,2,1,0,2,モバイル端末向けモデルで、空間方向とチャネル方向の畳み込みを分けて計算量を削減した。この手法はどれか。,Depthwise Separable Convolution,Source-Target Attention,Teacher Forcing,k-means法,A,Depthwise Separable ConvolutionはMobileNetなどで使われる軽量畳み込み。,正解。,「Source-Target Attention」はこの設問の条件とは異なる。,「Teacher Forcing」はこの設問の条件とは異なる。,「k-means法」はこの設問の条件とは異なる。,Attentionや教師強制とは分野が違う。,,Depthwise Separable Convolution;MobileNet;軽量化
R04-0021,Rebuild_Set04,term,Atrous Convolution,1,0,0,1,フィルタ要素の間隔を空けて畳み込み、受容野を広げる手法はどれか。,Atrous ConvolutionまたはDilated Convolution,Global Average Pooling,Dropout,CTC,A,Atrous/Dilated Convolutionは計算量を抑えつつ広い文脈を見る。,正解。,「Global Average Pooling」はこの設問の条件とは異なる。,「Dropout」はこの設問の条件とは異なる。,「CTC」はこの設問の条件とは異なる。,GAPは平均化、CTCは系列ラベル推定。,,Atrous Convolution;Dilated Convolution;受容野
R04-0022,Rebuild_Set04,term,受容野,1,0,0,1,CNNのあるユニットが入力画像上で影響を受ける範囲を表す概念はどれか。,AUC,適合率,受容野,プライバシー・バイ・デザイン,C,受容野は出力特徴が入力のどの範囲に依存するかを示す。,「AUC」はこの設問の条件とは異なる。,「適合率」はこの設問の条件とは異なる。,正解。,「プライバシー・バイ・デザイン」はこの設問の条件とは異なる。,評価指標や倫理用語と混同しない。,,受容野;CNN;畳み込み
R04-0023,Rebuild_Set04,reading,階層的特徴表現,2,1,0,2,CNNの前半層ではエッジ、後半層では物体部品のような抽象的特徴が表れやすい。この説明に最も近いものはどれか。,個人情報の第三者提供,教師強制,階層的特徴表現,営業秘密,C,CNNは層を重ねて低レベルから高レベルの特徴を学習する。,「個人情報の第三者提供」はこの設問の条件とは異なる。,「教師強制」はこの設問の条件とは異なる。,正解。,「営業秘密」はこの設問の条件とは異なる。,教師強制は系列モデルの学習法。,,CNN;階層的特徴表現;特徴抽出
R04-0024,Rebuild_Set04,compare,画像分類,2,1,0,2,画像全体に対して「犬」「猫」など一つまたは複数のラベルを付けるタスクはどれか。,画像分類,物体検出,セグメンテーション,音声認識,A,画像分類は画像全体のクラスを推定する。,正解。,「物体検出」はこの設問の条件とは異なる。,「セグメンテーション」はこの設問の条件とは異なる。,「音声認識」はこの設問の条件とは異なる。,位置や画素単位まで問われていない点を拾う。,,画像分類;画像認識;分類
R04-0025,Rebuild_Set04,term,OCR,1,0,0,1,画像中の活字や手書き文字を認識して文字列に変換する技術はどれか。,TTS,RLHF,NDA,OCR,D,OCRは文字認識技術。,「TTS」はこの設問の条件とは異なる。,「RLHF」はこの設問の条件とは異なる。,「NDA」はこの設問の条件とは異なる。,正解。,TTSはテキストから音声を生成する技術。,,OCR;文字認識;画像認識
R04-0026,Rebuild_Set04,term,ネオコグニトロン,1,0,0,1,生物の視覚系に着想を得た初期の階層的視覚認識モデルはどれか。,YOLO,BERT,U-Net,ネオコグニトロン,D,ネオコグニトロンはネオコグニトロンに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,正解。,似たモデル名が並ぶと、特徴で区別する必要がある。,,福島邦彦;ネオコグニトロン;CNN
R04-0027,Rebuild_Set04,term,LeNet,1,0,0,1,手書き数字認識で知られる初期のCNNモデルはどれか。,YOLO,LeNet,BERT,U-Net,B,LeNetはLeNetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,正解。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,LeNet;CNN;ヤン・ルカン
R04-0028,Rebuild_Set04,term,AlexNet,1,0,0,1,2012年のILSVRCで注目され、深層学習ブームを後押ししたCNNはどれか。,AlexNet,YOLO,BERT,U-Net,A,AlexNetはAlexNetに関する代表的な用語・手法である。,正解。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,AlexNet;ILSVRC;ImageNet
R04-0029,Rebuild_Set04,term,VGG,1,0,0,1,3×3畳み込みを重ねるシンプルな設計で知られるCNNはどれか。,YOLO,BERT,VGG,U-Net,C,VGGはVGGに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,正解。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,VGG;3×3畳み込み;CNN
R04-0030,Rebuild_Set04,term,GoogLeNet,1,0,0,1,Inceptionモジュールで複数サイズの畳み込みを扱うモデルはどれか。,YOLO,GoogLeNet,BERT,U-Net,B,GoogLeNetはGoogLeNetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,正解。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,GoogLeNet;Inception;CNN
R04-0031,Rebuild_Set04,term,ResNet,1,0,0,1,スキップ結合により非常に深いネットワークの学習を可能にしたモデルはどれか。,YOLO,ResNet,BERT,U-Net,B,ResNetはResNetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,正解。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,ResNet;スキップ結合;残差接続
R04-0032,Rebuild_Set04,term,スキップ結合,1,0,0,1,ResNetで層を飛び越えて情報や勾配を伝えやすくする構造はどれか。,YOLO,BERT,U-Net,スキップ結合,D,スキップ結合はスキップ結合に関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,正解。,似たモデル名が並ぶと、特徴で区別する必要がある。,,スキップ結合;ResNet;残差接続
R04-0033,Rebuild_Set04,term,DenseNet,1,0,0,1,各層の出力を後続層へ連結し、特徴の再利用を促すモデルはどれか。,YOLO,BERT,DenseNet,U-Net,C,DenseNetはDenseNetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,正解。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,DenseNet;特徴連結;CNN
R04-0034,Rebuild_Set04,term,Wide ResNet,1,0,0,1,ResNetを極端に深くする代わりに幅を広げる派生モデルはどれか。,Wide ResNet,YOLO,BERT,U-Net,A,Wide ResNetはWide ResNetに関する代表的な用語・手法である。,正解。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,Wide ResNet;ResNet;CNN
R04-0035,Rebuild_Set04,term,MobileNet,1,0,0,1,Depthwise Separable Convolutionを活用するモバイル向け軽量CNNはどれか。,YOLO,BERT,MobileNet,U-Net,C,MobileNetはMobileNetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,正解。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,MobileNet;Depthwise Separable Convolution
R04-0036,Rebuild_Set04,term,EfficientNet,1,0,0,1,深さ・幅・解像度をバランスよくスケーリングするモデルはどれか。,YOLO,EfficientNet,BERT,U-Net,B,EfficientNetはEfficientNetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,正解。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,EfficientNet;複合スケーリング
R04-0037,Rebuild_Set04,term,SENet,1,0,0,1,チャネルごとの重要度を学習するSqueeze-and-Excitationで知られるモデルはどれか。,YOLO,SENet,BERT,U-Net,B,SENetはSENetに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,正解。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,SENet;Squeeze-and-Excitation;チャネル
R04-0038,Rebuild_Set04,term,NAS,1,0,0,1,ニューラルネットワーク構造そのものを探索する取り組みはどれか。,YOLO,BERT,U-Net,Neural Architecture Search,D,Neural Architecture SearchはNASに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,正解。,似たモデル名が並ぶと、特徴で区別する必要がある。,,NAS;Neural Architecture Search
R04-0039,Rebuild_Set04,term,Vision Transformer,1,0,0,1,画像をパッチに分割し、Transformerを画像認識へ応用したモデルはどれか。,YOLO,BERT,Vision Transformer,U-Net,C,Vision TransformerはVision Transformerに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,正解。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,ViT;Vision Transformer;画像パッチ
R04-0040,Rebuild_Set04,term,画像パッチ,1,0,0,1,ViTで画像を小領域に分け、トークンのように扱うときの小領域は何か。,YOLO,BERT,U-Net,パッチ,D,パッチは画像パッチに関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,正解。,似たモデル名が並ぶと、特徴で区別する必要がある。,,ViT;画像パッチ;Transformer
R04-0041,Rebuild_Set04,case,転移学習,2,1,0,2,ImageNetで学習済みのモデルを別の画像分類タスクに流用する方法はどれか。,YOLO,BERT,U-Net,転移学習,D,転移学習は転移学習に関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,正解。,似たモデル名が並ぶと、特徴で区別する必要がある。,,転移学習;ImageNet;事前学習済みモデル
R04-0042,Rebuild_Set04,case,ファインチューニング,2,1,0,2,学習済みモデルの既存重みも含めて新タスク向けに微調整する方法はどれか。,ファインチューニング,YOLO,BERT,U-Net,A,ファインチューニングはファインチューニングに関する代表的な用語・手法である。,正解。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,ファインチューニング;転移学習
R04-0043,Rebuild_Set04,case,ドメイン適応,2,1,0,2,昼画像で学習したモデルが夜画像で性能低下したため、分布差を小さくする手法はどれか。,ドメイン適応,YOLO,BERT,U-Net,A,ドメイン適応はドメイン適応に関する代表的な用語・手法である。,正解。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,ドメイン適応;Domain Adaptation
R04-0044,Rebuild_Set04,term,モデル蒸留,1,0,0,1,高精度で大きい教師モデルの知識を小さい生徒モデルへ移す手法はどれか。,YOLO,蒸留,BERT,U-Net,B,蒸留はモデル蒸留に関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,正解。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,似たモデル名が並ぶと、特徴で区別する必要がある。,,蒸留;教師モデル;生徒モデル
R04-0045,Rebuild_Set04,term,量子化,1,0,0,1,重みなどを少ないビット数で表現し、モデルサイズや推論負荷を下げる手法はどれか。,YOLO,BERT,U-Net,量子化,D,量子化は量子化に関する代表的な用語・手法である。,「YOLO」はこの設問の条件とは異なる。,「BERT」はこの設問の条件とは異なる。,「U-Net」はこの設問の条件とは異なる。,正解。,似たモデル名が並ぶと、特徴で区別する必要がある。,,量子化;モデル軽量化;推論
R04-0046,Rebuild_Set04,term,物体検出,1,0,0,1,画像内の物体クラスだけでなく位置も推定するタスクはどれか。,画像分類,セマンティックセグメンテーション,音声合成,物体検出,D,物体検出がこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,物体検出;バウンディングボックス
R04-0047,Rebuild_Set04,term,バウンディングボックス,1,0,0,1,物体検出で対象物を囲む矩形領域を何というか。,画像分類,バウンディングボックス,セマンティックセグメンテーション,音声合成,B,バウンディングボックスがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,正解。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,バウンディングボックス;物体検出
R04-0048,Rebuild_Set04,term,二段階検出,1,0,0,1,候補領域を作ってから分類・位置補正する検出方式はどれか。,二段階検出,画像分類,セマンティックセグメンテーション,音声合成,A,二段階検出がこの設問の条件に対応する。,正解。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,二段階検出;R-CNN;Faster R-CNN
R04-0049,Rebuild_Set04,term,一段階検出,1,0,0,1,候補領域生成と分類を分けず、位置とクラスを同時に推定する方式はどれか。,一段階検出,画像分類,セマンティックセグメンテーション,音声合成,A,一段階検出がこの設問の条件に対応する。,正解。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,一段階検出;YOLO;SSD
R04-0050,Rebuild_Set04,term,R-CNN,1,0,0,1,候補領域ごとにCNN特徴抽出と分類を行う初期の二段階検出手法はどれか。,画像分類,セマンティックセグメンテーション,音声合成,R-CNN,D,R-CNNがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,R-CNN;二段階検出
R04-0051,Rebuild_Set04,term,Fast R-CNN,1,0,0,1,画像全体の特徴マップを一度計算してR-CNNを高速化した手法はどれか。,画像分類,Fast R-CNN,セマンティックセグメンテーション,音声合成,B,Fast R-CNNがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,正解。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,Fast R-CNN;R-CNN
R04-0052,Rebuild_Set04,term,Faster R-CNN,1,0,0,1,RPNにより候補領域生成もネットワーク化した二段階検出手法はどれか。,画像分類,セマンティックセグメンテーション,Faster R-CNN,音声合成,C,Faster R-CNNがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,正解。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,Faster R-CNN;RPN
R04-0053,Rebuild_Set04,term,RPN,1,0,0,1,Faster R-CNNで候補領域を生成するネットワークはどれか。,画像分類,Region Proposal Network,セマンティックセグメンテーション,音声合成,B,Region Proposal Networkがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,正解。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,RPN;Region Proposal Network
R04-0054,Rebuild_Set04,term,YOLO,1,0,0,1,画像全体を一度見て高速に物体の位置とクラスを推定する一段階モデルはどれか。,画像分類,セマンティックセグメンテーション,YOLO,音声合成,C,YOLOがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,正解。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,YOLO;一段階検出
R04-0055,Rebuild_Set04,term,SSD,1,0,0,1,複数スケールの特徴マップとデフォルトボックスを使う一段階検出モデルはどれか。,画像分類,セマンティックセグメンテーション,SSD,音声合成,C,SSDがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,正解。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,SSD;デフォルトボックス
R04-0056,Rebuild_Set04,term,デフォルトボックス,1,0,0,1,SSDで用いられる事前に用意した複数形状の候補矩形はどれか。,画像分類,セマンティックセグメンテーション,音声合成,デフォルトボックス,D,デフォルトボックスがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,正解。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,デフォルトボックス;SSD;アンカーボックス
R04-0057,Rebuild_Set04,term,アンカーボックス,1,0,0,1,物体検出で基準となる複数サイズ・縦横比の矩形候補はどれか。,画像分類,アンカーボックス,セマンティックセグメンテーション,音声合成,B,アンカーボックスがこの設問の条件に対応する。,「画像分類」はこの設問の条件とは異なる。,正解。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,アンカーボックス;物体検出
R04-0058,Rebuild_Set04,term,NMS,1,0,0,1,重複する検出枠のうちスコアの低いものを除外する後処理はどれか。,Non-Maximum Suppression,画像分類,セマンティックセグメンテーション,音声合成,A,Non-Maximum Suppressionがこの設問の条件に対応する。,正解。,「画像分類」はこの設問の条件とは異なる。,「セマンティックセグメンテーション」はこの設問の条件とは異なる。,「音声合成」はこの設問の条件とは異なる。,分類・検出・セグメンテーションの出力形式を取り違えやすい。,,NMS;Non-Maximum Suppression
