id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R31-011,Rebuild_Set31,横断複合・重複回避四段目,case,生成物検証,G検定横断領域,著作権倫理,ケース判断,高,高,画像生成AIで広告素材を作る際、出力が既存キャラクターに酷似していると指摘された。最も適切な対応はどれか。,AIが生成したものなので、既存作品との類似性は問題にならない,プロンプトに作品名を入れていなければ、確認は不要である,類似性、利用条件、権利侵害リスクを確認し、必要なら差し替える,商用利用でなければ社外公開しても常に安全である,C,生成AIの出力でも既存著作物や商標・キャラクターとの類似性を確認する必要がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 生成AIの出力でも既存著作物や商標・キャラクターとの類似性を確認する必要がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,画像生成AI;著作権;類似性;広告素材,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-012,Rebuild_Set31,横断複合・重複回避四段目,case,プロンプト監査,G検定横断領域,LLM運用,ケース判断,高,中,社内LLMアプリで誤回答が発生した。原因を追うために、入力、検索結果、モデル応答、利用者の修正履歴を確認したい。重要な設計はどれか。,個人情報や機密情報を含め、全ログを誰でも閲覧できるようにする,ログを残すと必ず精度が下がるため、全て無効化する,回答だけ残せば、検索結果やプロンプトは不要である,監査目的・権限・保存期間を定めたうえで、必要なログを追跡可能にする,D,LLM運用では監査ログが重要だが、権限管理、保存期間、個人情報・機密情報への配慮も必要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 LLM運用では監査ログが重要だが、権限管理、保存期間、個人情報・機密情報への配慮も必要である。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,LLMログ;監査;プロンプト;検索結果,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-013,Rebuild_Set31,横断複合・重複回避四段目,case,不確実性表示,G検定横断領域,ユーザー体験,ケース判断,中,中,医療相談チャットボットが断定的な回答をしすぎるため、利用者が受診を控える懸念がある。最も適切な改善はどれか。,不確実性や受診推奨条件を表示し、医師の診断代替ではないことを明示する,利用者を安心させるため、常に「問題ありません」と回答する,医療領域では評価データを使わず直感で運用する,ハルシネーションは医療以外でしか起きない,A,高リスク領域では断定を避け、不確実性、限界、専門家への相談導線を明確にする。,正しい。 高リスク領域では断定を避け、不確実性、限界、専門家への相談導線を明確にする。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,医療AI;不確実性;安全性;受診推奨,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-014,Rebuild_Set31,横断複合・重複回避四段目,case,スコープ管理,G検定横断領域,PoC運用,ケース判断,低,中,PoCで精度が出たため、経営層がすぐ全社展開を求めている。G検定的に最も注意すべきことはどれか。,PoCで一度精度が出れば、本番のデータ分布や運用制約は確認不要である,PoC条件と本番条件の差、運用体制、監視、責任分担を確認して段階導入する,PoCの評価指標は本番では必ず無関係になる,本番移行では人間の確認を必ずすべて削除する,B,PoCの成功は本番成功を保証しない。本番データ、運用、監視、責任分担を確認する必要がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 PoCの成功は本番成功を保証しない。本番データ、運用、監視、責任分担を確認する必要がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,PoC;本番移行;運用体制;段階導入,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-015,Rebuild_Set31,横断複合・重複回避四段目,case,ドメイン適合,G検定横断領域,転移学習,ケース判断,中,中,海外の医療画像データで学習したモデルを国内病院へ導入したい。最も確認すべき点はどれか。,深層学習モデルなら撮影機器や患者集団の違いは影響しない,海外データで学習したモデルは国内では必ず使えない,撮影条件、患者集団、疾病分布などの違いが性能に与える影響を検証する,モデル名が有名なら外部検証は不要である,C,転移先のデータ分布や運用環境が異なると性能が変わるため、外部検証が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 転移先のデータ分布や運用環境が異なると性能が変わるため、外部検証が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,ドメインシフト;医療画像;外部検証;転移学習,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-016,Rebuild_Set31,横断複合・重複回避四段目,case,秘密情報入力,G検定横断領域,生成AI利用規程,ケース判断,高,中,社員が外部生成AIに未発表の製品仕様を入力し、要約を作っていた。最も適切な社内対応はどれか。,要約精度が高ければ、未発表情報の入力は問題ない,外部AIなら入力内容は必ず学習に使われないため確認不要である,プロンプトに「秘密」と書けば漏えいリスクは消える,入力禁止情報、利用可能な環境、契約・設定、教育を明確にする,D,生成AI利用では機密情報や個人情報の入力可否、契約条件、設定、教育を定める必要がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 生成AI利用では機密情報や個人情報の入力可否、契約条件、設定、教育を定める必要がある。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,生成AI利用規程;機密情報;外部AI;入力制限,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-017,Rebuild_Set31,横断複合・重複回避四段目,case,ランキング評価,G検定横断領域,推薦評価,ケース判断,中,高,EC推薦で「買う/買わない」の分類精度は高いが、上位表示された商品の満足度が低い。追加で見るべき評価として適切なのはどれか。,NDCGやMAPなど、上位順位の質を評価するランキング指標,訓練データの行数だけ,CPU温度だけ,すべての推薦をランダムにすること,A,推薦では分類精度だけでなく、上位に良い候補が出るかを評価するランキング指標が重要になる。,正しい。 推薦では分類精度だけでなく、上位に良い候補が出るかを評価するランキング指標が重要になる。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,推薦;NDCG;MAP;ランキング評価,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-018,Rebuild_Set31,横断複合・重複回避四段目,case,フェイルセーフ,G検定横断領域,安全設計,ケース判断,中,中,工場検査AIが異常を見逃した場合に重大事故につながる。運用設計として最も適切なのはどれか。,AIが正常と出したものは人間が絶対に確認しない,リスクに応じてしきい値、人間確認、停止条件、再検査フローを設ける,異常検知は教師なしなので評価しなくてよい,誤検知をゼロにするため、異常判定を全て禁止する,B,高リスク用途ではフェイルセーフ、しきい値、人間確認、停止条件を組み込む。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 高リスク用途ではフェイルセーフ、しきい値、人間確認、停止条件を組み込む。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,異常検知;フェイルセーフ;工場AI;しきい値,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-019,Rebuild_Set31,横断複合・重複回避四段目,case,RAG鮮度,G検定横断領域,ナレッジ運用,ケース判断,高,中,社内規程をRAGで回答しているが、古い規程が検索され続けて誤案内が発生した。対策として最も適切なのはどれか。,LLMを大きくすれば、古い文書の問題は自動で消える,検索インデックスは作成後に更新しない方が安定する,文書の版管理、更新フロー、失効文書の除外、回答時の根拠表示を設計する,古い規程を検索しても回答が自然なら問題ない,C,RAGではモデルだけでなく、参照文書の鮮度、版管理、根拠表示が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 RAGではモデルだけでなく、参照文書の鮮度、版管理、根拠表示が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,RAG;文書鮮度;版管理;根拠表示,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-020,Rebuild_Set31,横断複合・重複回避四段目,compare,因果と予測,G検定横断領域,因果理解,誤り選択,中,高,売上予測モデルで広告費が重要特徴量だった。施策判断として誤っているものはどれか。,広告費が予測に効いている可能性と、広告費を増やす因果効果は別に考える,施策効果を見るにはA/Bテストや因果推論の設計が役立つ,特徴量重要度はモデルの予測構造を理解する手がかりになる,重要特徴量なら、その変数を増やせば必ず売上が増えると断定できる,D,特徴量重要度は予測への寄与であり、介入したときの因果効果をそのまま示すとは限らない。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 特徴量重要度は予測への寄与であり、介入したときの因果効果をそのまま示すとは限らない。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,因果推論;特徴量重要度;A/Bテスト;売上予測,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-021,Rebuild_Set31,横断複合・重複回避四段目,case,匿名加工と統計,G検定横断領域,プライバシー,ケース判断,中,中,顧客データを分析用に共有する。氏名を削除しただけで、住所、購入履歴、日時が細かく残っている。最も注意すべき点はどれか。,氏名削除だけでは再識別できる可能性があり、匿名化や加工の十分性を確認する,氏名がなければ個人に関するリスクは常にゼロになる,購買履歴はAI分析では個人情報に関係しない,住所があっても氏名がなければ外部公開してよい,A,直接識別子を削除しても、組み合わせにより再識別される可能性がある。,正しい。 直接識別子を削除しても、組み合わせにより再識別される可能性がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,匿名化;仮名化;再識別;購買履歴,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-022,Rebuild_Set31,横断複合・重複回避四段目,case,学習目的の説明,G検定横断領域,データ利用,ケース判断,高,中,利用者から「自分の入力がモデル学習に使われるのか」と問い合わせがあった。サービス提供者の対応として最も適切なのはどれか。,AIサービスでは学習利用の説明は不要である,利用規約やプライバシーポリシーで、学習利用の有無・目的・停止方法をわかりやすく示す,学習に使う場合は常に法律上の問題がないため説明しない,問い合わせに回答するとモデル性能が下がるため拒否する,B,利用者入力を学習に使う可能性がある場合、利用目的や選択肢を明確に示すことが重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 利用者入力を学習に使う可能性がある場合、利用目的や選択肢を明確に示すことが重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,学習利用;利用規約;プライバシーポリシー;生成AI,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-023,Rebuild_Set31,横断複合・重複回避四段目,case,LLM評価分割,G検定横断領域,評価設計,ケース判断,高,高,チャットボット改善で、開発者が毎日同じ50問の評価セットを見ながらプロンプトを調整している。懸念として最も適切なのはどれか。,評価セットは少ないほど汎化性能を正確に測れる,プロンプト調整では過適合は起きない,評価セットに合わせ込み、未知の質問への性能を過大評価する可能性がある,LLMではテストデータの概念は存在しない,C,同じ評価セットを見て繰り返し調整すると、そのセットに過適合し、未知質問への性能評価が甘くなる。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 同じ評価セットを見て繰り返し調整すると、そのセットに過適合し、未知質問への性能評価が甘くなる。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,LLM評価;評価セット過適合;プロンプト調整;汎化,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-024,Rebuild_Set31,横断複合・重複回避四段目,case,業務責任分界,G検定横断領域,契約運用,ケース判断,中,高,外部AIベンダーのAPIを使って審査支援システムを作る。責任分界として最も適切なのはどれか。,API提供者がいるため、自社側の説明・監視・運用責任はなくなる,契約があれば、誤判定の影響を評価しなくてよい,利用者にAIと知らせなければ責任問題は発生しない,APIの仕様・制限・データ取扱いと、自社の利用目的・判断プロセス・監視責任を明確にする,D,外部API利用でも、自社の利用目的、判断プロセス、監視、説明責任は残る。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 外部API利用でも、自社の利用目的、判断プロセス、監視、説明責任は残る。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,外部API;責任分界;AI契約;審査支援,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-025,Rebuild_Set31,横断複合・重複回避四段目,case,低頻度事象,G検定横断領域,評価指標,ケース判断,中,高,保険不正検知モデルで正解率99%だが、ほとんどの不正を見逃している。最も疑うべきことはどれか。,不正が低頻度で、正解率だけでは性能を判断できない,正解率が高いので再現率も必ず高い,不正検知では混同行列を使ってはいけない,不均衡データでは評価は不要である,A,不均衡データでは正解率が高く見えても、少数クラスの再現率が低いことがある。,正しい。 不均衡データでは正解率が高く見えても、少数クラスの再現率が低いことがある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,不均衡データ;不正検知;再現率;混同行列,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-026,Rebuild_Set31,横断複合・重複回避四段目,case,監査可能な説明,G検定横断領域,ガバナンス,ケース判断,中,中,AIの判断について、後から「なぜその候補を不採用にしたのか」を確認できるようにしたい。重要な設計はどれか。,判断理由を残すと差別が増えるため、全ログを削除する,入力、モデルバージョン、主要特徴量、判断者、最終決定を追跡できるようにする,モデル名だけ記録すれば、監査には十分である,説明可能性は研究用語なので実務では不要である,B,監査可能性には、入力、モデル、バージョン、判断過程、最終決定の記録が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 監査可能性には、入力、モデル、バージョン、判断過程、最終決定の記録が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,監査可能性;モデルバージョン;ログ;説明責任,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
