id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords
RB03-022,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,鞍点とプラトー,1,0,0,1,高次元の最適化で、ある方向では谷だが別方向では山のようになり、勾配が小さく学習が進みにくい点として最も適切なものはどれか。,過学習,鞍点,標準化,データ拡張,B,鞍点では勾配が小さくなり、学習が停滞するプラトーが問題になることがある。,不適切。過学習 はこの設問の中心概念ではない。,正解。鞍点では勾配が小さくなり、学習が停滞するプラトーが問題になることがある。,不適切。標準化 はこの設問の中心概念ではない。,不適切。データ拡張 はこの設問の中心概念ではない。,局所最適解だけでなく鞍点も深層学習の最適化で問われる。,鞍点;プラトー;最適化;勾配降下法
RB03-023,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,モーメンタム,2,1,0,1,勾配の向きが細かく振動する谷で、過去の更新方向も考慮して進行方向に慣性を持たせ、学習を安定・加速したい。最も関係する手法はどれか。,ドロップアウト,ROC曲線,モーメンタム,k-means法,C,モーメンタムは過去の更新の勢いを使ってSGDを改善する最適化手法である。,不適切。ドロップアウト はこの設問の中心概念ではない。,不適切。ROC曲線 はこの設問の中心概念ではない。,正解。モーメンタムは過去の更新の勢いを使ってSGDを改善する最適化手法である。,不適切。k-means法 はこの設問の中心概念ではない。,正則化と最適化手法を混同しない。,モーメンタム;SGD;最適化;勾配降下法
RB03-024,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,Adam,1,0,0,1,Adamの説明として最も適切なものはどれか。,教師なしクラスタリングの代表手法,画像の物体領域を出力する検出モデル,個人情報を匿名加工する法律手続き,勾配の一次モーメントと二次モーメントを利用する適応的最適化手法,D,Adamは勾配の平均的な方向とばらつきに相当する情報を利用し、学習率を適応的に調整する最適化手法である。,不適切。教師なしクラスタリングの代表手法 はこの設問の中心概念ではない。,不適切。画像の物体領域を出力する検出モデル はこの設問の中心概念ではない。,不適切。個人情報を匿名加工する法律手続き はこの設問の中心概念ではない。,正解。Adamは勾配の平均的な方向とばらつきに相当する情報を利用し、学習率を適応的に調整する最適化手法である。,Adamをモデル構造や評価指標と混同しない。,Adam;最適化;適応的学習率;勾配
RB03-025,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,AdaGrad/RMSprop/Adam,2,1,0,2,特徴量ごとに勾配の出方が異なる場合、すべてのパラメータに同じ固定学習率を使うより、各パラメータに応じて更新幅を調整したい。この発想に近いものはどれか。,適応的学習率を用いる最適化手法,正解ラベルを消して教師なし学習に変えること,テストデータを訓練データに混ぜること,出力層のクラス数を常に2に固定すること,A,AdaGrad、RMSprop、Adamなどはパラメータごとに学習率を調整する発想を持つ。,正解。AdaGrad、RMSprop、Adamなどはパラメータごとに学習率を調整する発想を持つ。,不適切。正解ラベルを消して教師なし学習に変えること はこの設問の中心概念ではない。,不適切。テストデータを訓練データに混ぜること はこの設問の中心概念ではない。,不適切。出力層のクラス数を常に2に固定すること はこの設問の中心概念ではない。,「最適化の工夫」と「データ分割の工夫」を混同しない。,AdaGrad;RMSprop;Adam;適応的学習率
RB03-026,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,早期終了,1,0,0,1,早期終了 Early Stopping の目的として最も適切なものはどれか。,モデルの層数を自動的に無限に増やす,検証性能が悪化し始めた段階で学習を止め、過学習を抑える,テストデータを使って重みを更新する,すべての特徴量を0にする,B,早期終了は訓練を続けすぎて検証性能が悪化する前後で止めることで過学習を抑える。,不適切。モデルの層数を自動的に無限に増やす はこの設問の中心概念ではない。,正解。早期終了は訓練を続けすぎて検証性能が悪化する前後で止めることで過学習を抑える。,不適切。テストデータを使って重みを更新する はこの設問の中心概念ではない。,不適切。すべての特徴量を0にする はこの設問の中心概念ではない。,訓練誤差だけを見ると止めどころを誤る。,早期終了;Early Stopping;過学習;検証データ
RB03-027,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,過学習,2,1,0,1,訓練データでは非常に高い精度だが、検証データや未知データでは性能が大きく落ちる。この状態として最も適切なものはどれか。,次元削減,教師なし学習,過学習,マルコフ性,C,過学習は訓練データに過度に適合し、未知データへの汎化性能が低い状態である。,不適切。次元削減 はこの設問の中心概念ではない。,不適切。教師なし学習 はこの設問の中心概念ではない。,正解。過学習は訓練データに過度に適合し、未知データへの汎化性能が低い状態である。,不適切。マルコフ性 はこの設問の中心概念ではない。,訓練精度の高さだけで良いモデルとは限らない。,過学習;汎化性能;検証データ;未知データ
RB03-028,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,未学習,2,1,0,1,訓練データでも検証データでも精度が低く、モデルがデータの基本的な傾向を捉えられていない。この状態として最も適切なものはどれか。,過学習,データリーケージ,AUCが1である状態,未学習または過小適合,D,未学習・過小適合はモデルの表現力不足や学習不足により、訓練データにも十分適合できていない状態である。,不適切。過学習 はこの設問の中心概念ではない。,不適切。データリーケージ はこの設問の中心概念ではない。,不適切。AUCが1である状態 はこの設問の中心概念ではない。,正解。未学習・過小適合はモデルの表現力不足や学習不足により、訓練データにも十分適合できていない状態である。,訓練データだけ高いなら過学習、両方低いなら過小適合を疑う。,未学習;過小適合;アンダーフィッティング;汎化
RB03-029,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,正則化,1,0,0,1,正則化の説明として最も適切なものはどれか。,過学習を抑えるため、モデルの複雑さやパラメータの大きさに制約をかけること,画像の画素を必ず増やすこと,テストデータを増やして学習に使うこと,正解ラベルを人間が隠すこと,A,正則化はパラメータにペナルティを課すなどしてモデルの複雑さを抑え、汎化性能を高めるために使われる。,正解。正則化はパラメータにペナルティを課すなどしてモデルの複雑さを抑え、汎化性能を高めるために使われる。,不適切。画像の画素を必ず増やすこと はこの設問の中心概念ではない。,不適切。テストデータを増やして学習に使うこと はこの設問の中心概念ではない。,不適切。正解ラベルを人間が隠すこと はこの設問の中心概念ではない。,正則化と正規化は名前が似ているが別概念。,正則化;過学習;L1正則化;L2正則化
RB03-030,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,L1正則化,1,0,0,1,一部のパラメータを0にしやすくし、特徴選択のような効果を持つ正則化として最も適切なものはどれか。,L2正則化,L1正則化,バッチ正規化,ソフトマックス関数,B,L1正則化はパラメータの絶対値和にペナルティを課し、一部を0にしやすい。,不適切。L2正則化 はこの設問の中心概念ではない。,正解。L1正則化はパラメータの絶対値和にペナルティを課し、一部を0にしやすい。,不適切。バッチ正規化 はこの設問の中心概念ではない。,不適切。ソフトマックス関数 はこの設問の中心概念ではない。,L1はスパース、L2は滑らかに小さくするイメージ。,L1正則化;Lasso;スパース;特徴選択
RB03-031,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,L2正則化,1,0,0,1,パラメータの大きさを全体的に小さくし、滑らかなモデルに寄せる正則化として最も適切なものはどれか。,L1正則化だけ,k-means法,L2正則化,交差検証,C,L2正則化はパラメータの二乗和にペナルティを課し、重みを全体的に小さくする。,不適切。L1正則化だけ はこの設問の中心概念ではない。,不適切。k-means法 はこの設問の中心概念ではない。,正解。L2正則化はパラメータの二乗和にペナルティを課し、重みを全体的に小さくする。,不適切。交差検証 はこの設問の中心概念ではない。,L1は0にしやすい、L2は小さく抑える。,L2正則化;Ridge;過学習;重み減衰
RB03-032,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,Ridge回帰とLasso回帰,1,0,0,1,Ridge回帰とLasso回帰の対応として最も適切なものはどれか。,Ridge回帰は教師なし学習、Lasso回帰は強化学習,Ridge回帰はROC曲線、Lasso回帰はAUC,Ridge回帰はGAN、Lasso回帰はVAE,Ridge回帰はL2正則化、Lasso回帰はL1正則化,D,線形回帰にL2正則化を加えたものがRidge回帰、L1正則化を加えたものがLasso回帰である。,不適切。Ridge回帰は教師なし学習、Lasso回帰は強化学習 はこの設問の中心概念ではない。,不適切。Ridge回帰はROC曲線、Lasso回帰はAUC はこの設問の中心概念ではない。,不適切。Ridge回帰はGAN、Lasso回帰はVAE はこの設問の中心概念ではない。,正解。線形回帰にL2正則化を加えたものがRidge回帰、L1正則化を加えたものがLasso回帰である。,名前対応はG検定で狙われやすい。,Ridge回帰;Lasso回帰;L1正則化;L2正則化
RB03-033,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,Elastic Net,1,0,0,1,L1正則化とL2正則化を組み合わせた手法として最も適切なものはどれか。,Elastic Net,Dropout,Batch Normalization,Softmax,A,Elastic NetはL1とL2の正則化を組み合わせた手法である。,正解。Elastic NetはL1とL2の正則化を組み合わせた手法である。,不適切。Dropout はこの設問の中心概念ではない。,不適切。Batch Normalization はこの設問の中心概念ではない。,不適切。Softmax はこの設問の中心概念ではない。,正則化手法の名前対応を押さえる。,Elastic Net;L1正則化;L2正則化;正則化
RB03-034,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,ドロップアウト,2,1,0,1,学習時に一部のニューロンをランダムに無効化し、特定の経路に依存しすぎないようにして過学習を抑えたい。最も適切な手法はどれか。,ミニバッチ化,ドロップアウト,標準化,ROC曲線,B,ドロップアウトは学習時にニューロンをランダムに除外し、過学習を抑える正則化的手法である。,不適切。ミニバッチ化 はこの設問の中心概念ではない。,正解。ドロップアウトは学習時にニューロンをランダムに除外し、過学習を抑える正則化的手法である。,不適切。標準化 はこの設問の中心概念ではない。,不適切。ROC曲線 はこの設問の中心概念ではない。,ランダムに除外する対象はデータではなくニューロン。,ドロップアウト;過学習;正則化;アンサンブル
RB03-035,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,データ拡張,2,1,0,1,画像分類でデータ数が少なく過学習が懸念される。画像を反転・回転・切り抜きすることで訓練データの多様性を増やしたい。この対策はどれか。,データリーケージ,ターゲットネットワーク,データ拡張,PCAの白色化のみ,C,データ拡張は既存データに変換を加え、訓練データのバリエーションを増やす方法である。,不適切。データリーケージ はこの設問の中心概念ではない。,不適切。ターゲットネットワーク はこの設問の中心概念ではない。,正解。データ拡張は既存データに変換を加え、訓練データのバリエーションを増やす方法である。,不適切。PCAの白色化のみ はこの設問の中心概念ではない。,過学習対策でも、ドロップアウトとは違いデータ側を増やす。,データ拡張;画像認識;過学習;CutMix;Mixup
RB03-036,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,正規化と正則化,2,1,0,2,「正規化」と「正則化」の違いとして最も適切なものはどれか。,正規化は著作権、正則化は個人情報の制度である,正規化も正則化も常に同じ意味である,正則化はデータを必ず平均0分散1にすることだけを指す,正規化はデータや特徴のスケールを揃える処理、正則化は過学習を抑える制約やペナルティ,D,正規化はスケール調整、正則化はモデル複雑さの抑制という違いで押さえる。,不適切。正規化は著作権、正則化は個人情報の制度である はこの設問の中心概念ではない。,不適切。正規化も正則化も常に同じ意味である はこの設問の中心概念ではない。,不適切。正則化はデータを必ず平均0分散1にすることだけを指す はこの設問の中心概念ではない。,正解。正規化はスケール調整、正則化はモデル複雑さの抑制という違いで押さえる。,日本語が似ているため本番で混同しやすい。,正規化;正則化;標準化;過学習
RB03-037,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,標準化,1,0,0,1,特徴量を平均0、分散1になるよう変換する処理として最も適切なものはどれか。,標準化,L1正則化,ドロップアウト,AUC,A,標準化は特徴量のスケールを揃える代表的な前処理である。,正解。標準化は特徴量のスケールを揃える代表的な前処理である。,不適切。L1正則化 はこの設問の中心概念ではない。,不適切。ドロップアウト はこの設問の中心概念ではない。,不適切。AUC はこの設問の中心概念ではない。,標準化と正則化の混同に注意。,標準化;正規化;前処理;特徴量スケーリング
