id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-R12-013,Rebuild_Set12,rebuild,term,ラベルノイズ,understand,term,stable,medium,ラベルノイズについて最も適切な説明はどれか。,正解ラベルが誤っていたり一貫していなかったりする状態,ニューラルネットワークの層数が多すぎる状態,学習率が常に最適値になっている状態,GPUから物理的な音が出る状態,A,ラベルノイズは教師あり学習の品質を悪化させる要因。誤ラベルや基準不一致が含まれる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,ノイズを音のノイズと見るひっかけ。,犬に猫の札を貼る。,ラベルノイズ;誤ラベル;教師あり学習;データ品質
G3000-R12-014,Rebuild_Set12,rebuild,case,データバイアス,apply,case,stable,high,顔認識AIの学習データが特定の年齢層・性別・地域に偏っていた。起こり得る問題はどれか。,偏りがあるほど全属性で性能が高まる,少ない属性の人に対して性能が低下し、公平性問題につながる可能性がある,教師なし学習に変えれば偏りは必ず消える,データ偏りは説明可能性を必ず高める,B,学習データの偏りは特定集団への性能低下や不公平な判断につながる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,手法を変えれば偏りが消える、がひっかけ。,一部の声だけで世界が優しさを学ぶ。,データバイアス;公平性;フェアネス;顔認識;学習データ
G3000-R12-015,Rebuild_Set12,rebuild,compare,サンプリングバイアス,understand,compare,stable,medium,アンケート回答者が特定層に偏った場合に問題となるサンプリングバイアスの説明はどれか。,損失関数が必ず0になる状態,標本の集め方に偏りがあり、母集団を代表できていない状態,CPUとGPUの処理速度差,モデルが必ず公平になる仕組み,B,サンプリングバイアスは、集めたデータが対象集団を適切に代表しない偏り。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,バイアス項との混同がひっかけ。,校庭側の声だけで町全体を判断する。,サンプリングバイアス;母集団;標本;データ収集;公平性
G3000-R12-016,Rebuild_Set12,rebuild,case,ドメインシフト,apply,case,stable,high,店舗Aだけで学習した需要予測モデルを、商圏も客層も異なる店舗Bに適用した。注意点はどれか。,店舗が違えば必ず精度は上がる,学習時と運用時のデータ分布が異なり、性能が低下する可能性がある,分布差は深層学習では存在しない,需要予測では評価指標を使わない,B,訓練データと運用データの分布差は汎化性能低下の原因になる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,同じタスク名なら同じ性能、がひっかけ。,別部署に同じ型をそのまま当てる危うさ。,ドメインシフト;データドリフト;需要予測;汎化性能;分布差
G3000-R12-017,Rebuild_Set12,rebuild,term,データドリフト,understand,term,stable,medium,運用フェーズで監視対象となるデータドリフトの説明はどれか。,モデルの重みが物理的に移動する現象,運用中に入力データの分布が時間とともに変化する現象,訓練データを削除すると精度が上がる現象,エポック数を1に固定する手法,B,データドリフトは運用中の入力分布変化。監視や再学習判断が必要になる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,ドリフトを物理移動と捉えるひっかけ。,観測対象が少しずつ変わる。,データドリフト;モデル監視;再学習;分布変化;MLOps
G3000-R12-018,Rebuild_Set12,rebuild,term,コンセプトドリフト,understand,term,stable,medium,運用中モデルで注意すべきコンセプトドリフトの説明はどれか。,画像を低解像度に圧縮する手法,入力と正解の関係が時間とともに変化する現象,クラスタ数を固定する規則,モデル説明文を生成すること,B,コンセプトドリフトは、同じ入力でも正解との関係が変わる現象。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,データドリフトとの違いがひっかけ。,同じ合図でも昨日と今日で意味が変わる。,コンセプトドリフト;データドリフト;モデル監視;時系列変化
G3000-R12-019,Rebuild_Set12,rebuild,compare,ドリフト比較,understand,compare,stable,medium,データドリフトとコンセプトドリフトの違いとして最も適切なものはどれか。,どちらもGPU故障だけを指す,データドリフトは入力分布の変化、コンセプトドリフトは入力と正解の関係の変化,前者は教師なし、後者は強化学習だけの用語,データを増やせば両方必ず完全解決する,B,入力分布そのものが変わるのがデータドリフト、入力とラベルの関係が変わるのがコンセプトドリフト。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,名称が似ていて混同しやすい。,通知魚の数が変わるか、意味が変わるか。,データドリフト;コンセプトドリフト;入力分布;ラベル関係
G3000-R12-020,Rebuild_Set12,rebuild,case,データ収集設計,apply,case,stable,high,AIプロジェクトで「大量にデータを集めればよい」と言われた。適切な反応はどれか。,量が多ければ誤ラベルは必ず消える,量だけでなく、目的適合性・代表性・品質・ラベル・利用権限を確認する,同意や契約は不要である,データは少ないほど常に高精度になる,B,AIではデータ量だけでなく、品質、代表性、権利、個人情報、目的適合性が重要。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,ビッグデータ万能がひっかけ。,本棚全部を渡す前に、使える本か確認する。,データ収集;データ品質;利用権限;代表性;個人情報
G3000-R12-021,Rebuild_Set12,rebuild,term,データガバナンス,understand,term,stable,medium,データガバナンスの説明として最も適切なものはどれか。,モデルを必ずブラックボックスにする技術,データの品質・権限・利用目的・管理責任などを組織として統制する考え方,データをすべて公開する義務,学習率を政府が決める制度,B,データガバナンスはデータの適切な管理・利用のためのルールや責任を扱う。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,ガバナンス＝公開義務ではない。,記録室に誰が入れるか決める仕組み。,データガバナンス;データ管理;権限管理;品質管理;利用目的
G3000-R12-022,Rebuild_Set12,rebuild,case,データカタログ,apply,case,stable,high,社内データの所在、定義、責任者が分からない。対策として最も近いものはどれか。,すべてのデータ名を同じにする,データカタログやメタデータ管理で所在・定義・責任者・利用条件を見える化する,責任者をなくす,データを削除してAI活用をやめる,B,データカタログはデータの所在、定義、所有者、更新頻度、利用条件を把握しやすくする。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,データは集めるだけでなく見つけられることが重要。,資料棚に見出し札をつける。,データカタログ;メタデータ;データ管理;データ所在;責任者
G3000-R12-023,Rebuild_Set12,rebuild,term,メタデータ,understand,term,stable,medium,メタデータの説明として最も適切なものはどれか。,学習済みモデルの重みだけ,作成日時・形式・意味・所有者など、データに関するデータ,正解率100%を示す値,暗号化された個人情報だけ,B,メタデータはデータを説明するためのデータで、検索性や管理に重要。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,メタ学習との混同がひっかけ。,本のタイトル、作者、置き場所の札。,メタデータ;データカタログ;データ管理;検索性
G3000-R12-024,Rebuild_Set12,rebuild,case,データリネージ,apply,case,stable,high,AI結果の問題について、どの元データ・加工処理・モデル版から生じたか追跡したい。重要な概念はどれか。,ソフトマックス関数,データリネージ,Dropout,One-hot encoding,B,データリネージはデータの発生源、加工履歴、移動経路を追跡する考え方。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,モデル手法ではなく管理・追跡概念。,揺れの原因を順にたどる。,データリネージ;監査;再現性;加工履歴;データ管理
G3000-R12-025,Rebuild_Set12,rebuild,term,プライバシー保護,understand,term,stable,medium,AI開発で個人情報を扱う際、プライバシー保護で検討される組み合わせはどれか。,テストデータの正解を公開することだけ,匿名加工、仮名加工、差分プライバシー、連合学習など,全データをSNSに投稿すること,モデルを説明しないことだけ,B,匿名加工、仮名加工、差分プライバシー、連合学習などは目的に応じて検討される。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,隠せばよいだけではない。,名前を伏せ、必要な形だけ渡す。,プライバシー保護;匿名加工情報;仮名加工情報;差分プライバシー;連合学習
G3000-R12-026,Rebuild_Set12,rebuild,term,差分プライバシー,understand,term,stable,medium,差分プライバシーの考え方として最も適切なものはどれか。,個人データを生のまま公開する,統計結果から個人の参加有無や情報が推測されにくいよう、ノイズ付与などで保護する,推論速度を2倍にするGPU名,教師なし学習だけのクラスタ数決定法,B,差分プライバシーは集計結果などから個人が推測されにくいようにする考え方。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,保護目的のノイズをデータ品質劣化だけと見るひっかけ。,足跡を少しぼかし、全体だけ見せる。,差分プライバシー;ノイズ付与;プライバシー;統計情報
G3000-R12-027,Rebuild_Set12,rebuild,term,連合学習,understand,term,stable,medium,連合学習の説明として最も適切なものはどれか。,複数ラベルを1つに統合する方法,全データを中央サーバに生で集める方法,各端末や組織の生データを集約せず、ローカル学習の更新情報を共有して学習する方法,AIモデルを法人化する制度,C,連合学習はデータを手元に置いたままモデル更新を集約する学習方法。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,連合＝全部集める、がひっかけ。,各地区が記録を持ち出さず学んだ変化だけ共有する。,連合学習;フェデレーテッドラーニング;プライバシー;分散学習
G3000-R12-028,Rebuild_Set12,rebuild,case,連合学習の限界,apply,case,stable,high,連合学習ならプライバシー問題が完全になくなると言われた。適切な理解はどれか。,連合学習なら法令確認は不要,教師あり学習では使えない,生データを集約しない利点はあるが、更新情報からの漏えいなど追加リスクも考える,必ず中央集約より低精度になる,C,連合学習は有用だが万能ではない。モデル更新からの情報漏えいや参加者偏りも考慮する。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,プライバシー技術＝リスクゼロ、がひっかけ。,記録を渡さなくても揺れ方から内情が見える。,連合学習;プライバシー;情報漏えい;モデル更新;分散学習
G3000-R12-029,Rebuild_Set12,rebuild,term,合成データ,understand,term,stable,medium,合成データの説明として最も適切なものはどれか。,テストデータの正解を訓練に混ぜたデータ,必ず実データより正確で偏りがないデータ,実データの性質を参考に人工的に生成したデータ,画像だけを削除した表形式データ,C,合成データは人工的に作られるデータ。データ不足やプライバシー対策で使われる場合がある。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,合成なら無偏り・安全、がひっかけ。,ミチが架空の顧客例を作るが癖を確認する。,合成データ;プライバシー;データ不足;生成AI;データ品質
G3000-R12-030,Rebuild_Set12,rebuild,case,合成データのリスク,apply,case,stable,high,合成データを使う際の注意点として最も適切なものはどれか。,合成データなら評価は不要,必ず個人情報保護法の対象外になる,元データの偏りを引き継いだり、実データに近すぎて再識別リスクを残したりしないか検証する,説明可能性は必ず消える,C,合成データは有用だが、品質、偏り、再識別リスク、現実との乖離を検証する必要がある。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,人工生成＝法務不要、がひっかけ。,模擬世界が現実の誰かに似すぎていないか確認する。,合成データ;再識別リスク;プライバシー;データバイアス;評価
G3000-R12-031,Rebuild_Set12,rebuild,term,匿名化,understand,term,stable,medium,匿名化に関する説明として最も適切なものはどれか。,氏名を削除すれば常に完全匿名になる,匿名化は精度を必ず100%にする,氏名を削除しても、他情報との組み合わせで再識別される可能性がある,匿名化は画像データに関係しない,C,直接識別子を削除しても、年齢、地域、履歴などの組み合わせで再識別される可能性がある。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,名前を消せばOK、がひっかけ。,名札を外しても足跡で分かる。,匿名化;再識別;個人情報;プライバシー;仮名加工
G3000-R12-032,Rebuild_Set12,rebuild,case,データ最小化,apply,case,stable,high,AIサービスで多くの個人データを集めたい。プライバシー保護の観点で適切な考え方はどれか。,将来使うかもしれないので無制限に集める,同意があれば安全対策は不要,目的達成に必要なデータを見極め、不要なデータは収集しない,収集後は誰でも自由に閲覧可能にする,C,データ最小化は、目的に必要な範囲のデータだけを扱う考え方。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,将来使うかも、で過剰収集するのがひっかけ。,ミチに必要な資料だけ渡す。,データ最小化;個人情報;プライバシー;利用目的;アクセス制御
G3000-R12-033,Rebuild_Set12,rebuild,term,アクセス制御,understand,term,stable,medium,アクセス制御の説明として最も適切なものはどれか。,活性化関数をReLUに固定すること,データを常に全社員へ公開すること,誰がどのデータやシステムにアクセスできるかを権限に基づき管理すること,正解ラベルを削除すること,C,アクセス制御は権限管理により情報へのアクセスを適切に制限する仕組み。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,制御＝モデル制御ではない。,記録室に入れる人を決める鍵。,アクセス制御;権限管理;セキュリティ;データガバナンス
G3000-R12-034,Rebuild_Set12,rebuild,case,監査ログ,apply,case,stable,high,AIシステムで誰がいつどのデータを使い、どのモデルで推論したか後から確認したい。重要な対策はどれか。,ログを削除して容量を節約する,モデル名を毎回ランダムに変える,監査ログや操作ログを適切に記録・保全する,推論結果だけ口頭共有する,C,監査ログはトラブル追跡、説明責任、内部統制、セキュリティ対応に役立つ。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,ログは責任確認に必要。,観測の足跡を残す。,監査ログ;操作ログ;説明責任;トレーサビリティ;AIガバナンス
G3000-R12-035,Rebuild_Set12,rebuild,term,トレーサビリティ,understand,term,stable,medium,AI開発・運用におけるトレーサビリティの説明として最も適切なものはどれか。,モデルが必ず人間と同じ判断をする状態,ニューラルネットワークの層を増やす技術,データ、処理、モデル、判断の流れを追跡できる状態,音声データをテキスト化する処理,C,トレーサビリティは結果に至る過程を追跡できること。監査や説明責任で重要。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,トレース＝追跡を押さえる。,反応がどの記録から来たか辿れる。,トレーサビリティ;監査;データリネージ;AIガバナンス
G3000-R12-036,Rebuild_Set12,rebuild,case,データ品質,apply,case,stable,high,AI導入前にデータ品質を確認したい。確認項目として適切な組み合わせはどれか。,モデル名、ロゴの色、会議室の広さだけ,GPU価格だけ,欠損、重複、表記ゆれ、外れ値、ラベル品質、更新頻度など,正解率だけを事前に確認する,C,データ品質では欠損、重複、整合性、表記ゆれ、外れ値、ラベル品質、鮮度を確認する。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,モデル選びよりデータ確認が重要なことが多い。,資料の穴、重複、古さ、札の間違いを見る。,データ品質;欠損;重複;表記ゆれ;ラベル品質
G3000-R12-037,Rebuild_Set12,rebuild,term,重複データ,understand,term,stable,medium,重複データが機械学習で問題になる理由として最も適切なものはどれか。,必ずモデルを公平にする,教師あり学習では存在しない,同じデータが訓練とテストにまたがると評価が不自然に高くなる可能性がある,画像の解像度だけを意味する,C,重複データは学習・評価の独立性を壊し、過大評価の原因になることがある。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,重複が多い＝データ量増加、がひっかけ。,同じプリントを何枚も数える危険。,重複データ;データリーケージ;評価;データ品質
G3000-R12-038,Rebuild_Set12,rebuild,case,分割粒度,apply,case,stable,high,同一ユーザーのほぼ同じ行動ログが訓練とテストの両方に入っていた。懸念はどれか。,評価が必ず低くなる,教師なし学習にすれば必ず解決する,テスト評価が実力より高く見えるデータリーケージの可能性がある,データ量が増えるので懸念はない,C,近い重複が分割をまたぐと、モデルが実質的に答えを見た状態になり評価が甘くなる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,誤り。正解の説明と異なる。,重複は量ではなく評価汚染になり得る。,本番と同じ問題で練習して点が上がる。,データリーケージ;重複データ;訓練テスト分割;評価
G3000-R12-039,Rebuild_Set12,rebuild,case,患者単位分割,apply,case,stable,high,医療データで同一患者の複数画像がある場合、分割で特に注意すべきことはどれか。,同じ患者画像を訓練とテストに混ぜるほど公平,患者IDを目的変数にする,テストデータを訓練前に見せる,画像単位ではなく患者単位で分けるなど、同一患者情報が分割をまたがないようにする,D,同一患者の類似画像が分割をまたぐと性能が過大評価される可能性がある。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,行単位ランダム分割だけでは危険なケース。,同じ子の作文を練習と本番に分ける危険。,患者単位分割;データリーケージ;医療AI;評価;分割粒度
G3000-R12-040,Rebuild_Set12,rebuild,case,未来情報,apply,case,stable,high,解約予測で、解約後に記録された「解約理由」を特徴量に入れた。最も適切な評価はどれか。,理由が分かるので本番でも使える,特徴量が増えるので問題ない,教師なし学習なら許される,予測時点では使えない未来情報なので、データリーケージにあたる可能性が高い,D,予測時点で利用できない未来情報を使うと評価が不自然に高くなる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,答えに近い情報を特徴量にするひっかけ。,試験後の解答を試験前資料に混ぜる。,データリーケージ;未来情報;解約予測;特徴量;時系列
G3000-R12-041,Rebuild_Set12,rebuild,term,利用可能時点,understand,term,stable,medium,予測モデルで「特徴量の利用可能時点」を確認する主な理由はどれか。,モデル名を短くするため,GPUを使わないため,クラス数を1つにするため,実際の予測時点で入手できない情報を使っていないか確認するため,D,予測時点で使えない情報を特徴量にすると実運用で使えず、評価も過大になる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,いつ使える情報か、がケース問題で狙われる。,その情報、判断時点で持っていた？と確認する。,特徴量;利用可能時点;データリーケージ;未来情報;予測モデル
G3000-R12-042,Rebuild_Set12,rebuild,case,ラベル定義,apply,case,stable,high,不良品検知AIを作る前に、現場ごとに「不良」の定義が違うことが分かった。重要な対応はどれか。,定義が違うほどモデルは強くなるので放置する,全データを不良とラベル付けする,評価指標を使わない,目的変数やラベル定義を関係者間で合わせる,D,目的変数やラベル定義が揺れると、モデルが何を学ぶべきか不明確になる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,モデル以前に目的とラベル定義が重要。,「黒」と呼ぶ範囲を合わせる。,目的変数;ラベル定義;不良品検知;アノテーション;データ品質
G3000-R12-043,Rebuild_Set12,rebuild,term,目的変数,understand,term,stable,medium,教師あり学習における目的変数の説明として最も適切なものはどれか。,学習率の別名,入力データの行番号,GPU使用率,モデルが予測したい正解にあたる変数,D,目的変数は教師あり学習で予測対象となる正解の変数。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,説明変数との違いが問われやすい。,何を当てたいのかを一番上に書く。,目的変数;説明変数;教師あり学習;予測対象
G3000-R12-044,Rebuild_Set12,rebuild,term,説明変数,understand,term,stable,medium,説明変数の説明として最も適切なものはどれか。,モデルの説明文章だけ,正解ラベルそのものだけ,損失関数の値だけ,目的変数を予測するために入力として使う変数,D,説明変数は特徴量とも呼ばれ、目的変数を予測するための入力情報。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,説明可能性の説明と混同しやすい。,判断に使う材料カード。,説明変数;特徴量;目的変数;教師あり学習
G3000-R12-045,Rebuild_Set12,rebuild,compare,目的変数と説明変数,understand,compare,stable,medium,目的変数と説明変数の関係として最も適切なものはどれか。,目的変数を入力として説明変数を必ず削除する,どちらもGPU温度を表す,教師あり学習ではどちらも不要,説明変数を入力として、目的変数を予測する,D,教師あり学習では、説明変数から目的変数を予測する形が基本。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,正解。,名前だけで混同しない。,材料から答えを出す。,目的変数;説明変数;特徴量;教師あり学習
