id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G3-023,深層学習,難,学習率を大きくしすぎたときの失敗として、最も起こりやすいものはどれか。,必ず汎化性能が最大になる,著作権侵害が自動的に消える,最適値を飛び越えて学習が不安定になる,データ量が物理的に増える,C,学習率が大きすぎると更新幅が大きく、発散や振動が起きやすい。,未
G3-024,深層学習,難,G検定で混同しやすい用語として、ドロップアウトについて正しい理解はどれか。,正解ラベルを外部検索する方法,入力データを暗号化する法律上の措置,全ニューロンを常に固定して学習する方法,学習時に一部のニューロンを無効化し、過学習を抑える方法,D,ドロップアウトは学習時にニューロンをランダムに落とし、特定経路への依存を減らす。,未
G3-025,深層学習,標準,G検定で混同しやすい用語として、正則化の目的について正しい理解はどれか。,モデルの複雑さを抑え、過学習を防ぎやすくする,必ず精度を100%にする,個人情報を公開する,データをラベルなしにする,A,正則化は重みの大きさなどに制約を加え、過学習抑制を狙う。,未
G3-026,深層学習,標準,G検定で混同しやすい用語として、Batch Normalizationについて正しい理解はどれか。,文章を単語に分ける処理,ミニバッチ単位で中間層の分布を正規化し学習を安定させる手法,報酬を割引く強化学習手法,外部知識を検索するRAG手法,B,Batch Normalizationは各層の入力分布を整え、学習を安定・高速化しやすい。,未
G3-027,深層学習,難,G検定で混同しやすい用語として、スキップ結合の効果について正しい理解はどれか。,個人情報を除去する,ラベル付けを不要にする,勾配を伝えやすくし、深いネットワークの学習を助ける,画像を必ず生成する,C,ResNetなどのスキップ結合は勾配消失を緩和し、深いモデルの学習を助ける。,未
G3-028,深層学習,標準,G検定で混同しやすい用語として、活性化関数の役割について正しい理解はどれか。,データの出所を記録する,モデルの契約条件を定める,ハードウェアを冷却する,ニューラルネットワークに非線形性を導入する,D,活性化関数により非線形な関係を学習できるようになる。,未
G3-029,活性化関数,標準,G検定で混同しやすい用語として、ReLU関数について正しい理解はどれか。,入力が0以下なら0、正ならそのまま出力する関数,確率分布へ変換する関数,文章をベクトル化する関数,報酬を割り引く関数,A,"ReLUはmax(0,x)で表され、深層学習で広く使われる。",未
G3-030,活性化関数,標準,G検定で混同しやすい用語として、ソフトマックス関数の用途について正しい理解はどれか。,画像を縮小する,多クラス分類で各クラスの確率のような値に変換する,時系列の長期依存を保存する,検索文書をチャンク化する,B,ソフトマックスは出力を合計1の確率分布のように変換する。,未
G3-031,損失関数,標準,G検定で混同しやすい用語として、交差エントロピー誤差がよく使われる場面について正しい理解はどれか。,回帰問題だけに限定される,法令遵守の監査だけに使う,分類問題の予測分布と正解分布の差を測る場面,画像のファイルサイズを測る場面,C,交差エントロピーは分類問題の損失関数としてよく使われる。,未
G3-032,評価指標,難,評価・統計の文脈で、混同行列における偽陽性（FP）について正しい理解はどれか。,実際は陽性で、陽性と予測したもの,実際は陽性で、陰性と予測したもの,実際は陰性で、陰性と予測したもの,実際は陰性だが、陽性と予測したもの,D,偽陽性は本当は陰性なのに陽性と判定してしまう誤り。,未
G3-033,評価指標,標準,評価・統計の文脈で、適合率（Precision）について正しい理解はどれか。,陽性と予測したもののうち、実際に陽性だった割合,実際に陽性のもののうち、陽性と予測できた割合,全体のうち正解した割合,損失関数の平均値,A,適合率は「当たりと言った中で本当に当たりだった割合」。,未
G3-034,評価指標,標準,評価・統計の文脈で、再現率（Recall）について正しい理解はどれか。,陽性予測のうち正しかった割合,実際に陽性のものをどれだけ拾えたかの割合,全予測の正解率,モデルの説明可能性,B,再現率は「本当の当たりをどれだけ取りこぼさず拾えたか」。,未
G3-035,評価指標,標準,評価・統計の文脈で、F1スコアについて正しい理解はどれか。,正答率だけを最大化した値,ROC曲線の面積だけを示す値,適合率と再現率の調和平均,モデルサイズを測る値,C,F1スコアは適合率と再現率をバランスよく評価する指標。,未
G3-036,評価指標,難,評価・統計の文脈で、AUCについて正しい理解はどれか。,損失関数の微分値,データセットの列数,著作権侵害の可能性,ROC曲線下の面積で、分類性能評価に使われる指標,D,AUCはROC曲線の下の面積で、二値分類性能の評価に使われる。,未
G3-037,機械学習,標準,G検定で混同しやすい用語として、汎化性能について正しい理解はどれか。,未知データに対しても適切に予測できる能力,学習データを完全暗記する能力,ラベルなしデータだけを作る能力,モデルを法的主体にする能力,A,汎化性能は未見データへの対応力。過学習では低下しやすい。,未
G3-038,機械学習,標準,G検定で混同しやすい用語として、過学習について正しい理解はどれか。,学習不足で訓練データにも合わない状態,学習データに適合しすぎ、未知データで性能が落ちる状態,データを一切使わない状態,モデルが必ず公平になる状態,B,過学習は訓練データを覚え込みすぎて汎化性能が落ちる状態。,未
G3-039,機械学習,標準,G検定で混同しやすい用語として、ホールドアウト法について正しい理解はどれか。,全データを学習にだけ使う方法,データを人手でルール化する方法,データを訓練用と評価用に分けて検証する方法,報酬を最大化する方法,C,ホールドアウト法はデータを訓練用・検証用・テスト用などに分けて評価する。,未
G3-040,機械学習,難,G検定で混同しやすい用語として、k分割交差検証について正しい理解はどれか。,k個のモデルを常に同時に本番運用する方法,k個の特徴量だけを残す方法,k件のデータだけで学習する方法,データをk分割し、検証部分を入れ替えながら性能を評価する方法,D,k-fold CVは限られたデータで安定した性能評価を行うために使う。,未
G3-041,教師なし学習,標準,G検定で混同しやすい用語として、クラスタリングについて正しい理解はどれか。,ラベルなしデータを類似性にもとづいてグループ分けする,報酬にもとづいて行動を選ぶ,教師ラベルから分類器を作る,文章を生成する,A,クラスタリングは教師なし学習の代表例で、似たデータをまとめる。,未
G3-042,教師なし学習,標準,G検定で混同しやすい用語として、主成分分析（PCA）の主な目的について正しい理解はどれか。,正解ラベルを自動生成する,情報をできるだけ保ちながら次元を削減する,報酬設計を行う,著作権を判定する,B,PCAは分散が大きい方向を軸として、次元削減に使われる。,未
G3-043,教師なし学習,難,G検定で混同しやすい用語として、k-means法について正しい理解はどれか。,ニューラルネットワークの重みを初期化するだけの方法,テストデータを学習に混ぜる方法,データをk個のクラスタに分け、重心を更新する手法,文章をトークンに分ける手法,C,k-meansはクラスタ中心を更新しながらデータをk個のクラスタに分ける。,未
G3-044,強化学習,標準,G検定で混同しやすい用語として、強化学習におけるエージェントについて正しい理解はどれか。,正解ラベルを人手で付ける担当者,学習データを保存するDB,損失関数そのもの,環境の状態を観測し、行動を選ぶ主体,D,エージェントは環境と相互作用し、報酬を得ながら方策を学ぶ。,未
G3-045,強化学習,標準,G検定で混同しやすい用語として、強化学習における報酬の役割について正しい理解はどれか。,行動の良し悪しを示し、学習の指針になる信号,すべてのデータを匿名化する処理,文章を単語に分割する単位,画像の解像度を高くする処理,A,報酬は望ましい行動へ学習を導くための信号。,未
G3-046,強化学習,難,G検定で混同しやすい用語として、探索と活用のトレードオフについて正しい理解はどれか。,データを訓練用とテスト用に分けること,未知の行動を試すことと、既に良いと分かる行動を選ぶことのバランス,個人情報と匿名情報を区別すること,画像特徴と文章特徴を結合すること,B,強化学習では新しい行動を試す探索と、既知の良い行動を使う活用のバランスが重要。,未
G3-047,強化学習,難,G検定で混同しやすい用語として、Q学習について正しい理解はどれか。,教師あり分類の正解率を計算する手法,GANの生成器を更新する手法,状態と行動の価値を学習する強化学習手法,画像を畳み込む層の名称,C,Q学習は状態・行動価値関数Qを更新し、最適行動を学ぶ手法。,未
G3-048,生成モデル,標準,G検定で混同しやすい用語として、GANの基本構成について正しい理解はどれか。,EncoderとDecoderだけで分類する,検索器とリランキング器だけで構成される,教師と生徒モデルで蒸留する,生成器と識別器が競い合う構成,D,GANはGeneratorとDiscriminatorを競わせてデータ生成を学習する。,未
G3-049,生成モデル,難,G検定で混同しやすい用語として、VAEの特徴について正しい理解はどれか。,潜在変数を用いてデータの分布を学ぶ生成モデル,報酬最大化だけを行う手法,ルールベース翻訳専用システム,検索拡張生成の別名,A,VAEは潜在空間を通じてデータ生成を行う確率的生成モデル。,未
G3-050,生成モデル,標準,G検定で混同しやすい用語として、拡散モデルについて正しい理解はどれか。,決定木だけを積み上げる手法,ノイズを加える過程とノイズを取り除く過程を学習する生成モデル,報酬から行動価値を表にする手法,画像を手作業でラベル付けする方法,B,拡散モデルはノイズ除去過程を学習し、高品質な画像生成などに用いられる。,未
G3-051,RAG,標準,生成AI・LLM分野のひっかけ対策として、RAGについて正しい理解はどれか。,モデル内部の重みだけを増やす手法,GPUを増設する手法,外部文書を検索し、その情報を使って回答生成する手法,正解ラベルを人が付ける作業,C,RAGはRetrieval-Augmented Generationで、検索した外部知識を生成に利用する。,未
G3-052,RAG,難,生成AI・LLM分野のひっかけ対策として、RAGの限界について正しい理解はどれか。,学習データが完全に不要になる,著作権や個人情報リスクが必ず消える,モデルの推論が常にゼロコストになる,検索された情報が不適切なら回答も誤る可能性がある,D,RAGは外部情報を使えるが、検索品質・文書品質・プロンプト設計に依存する。,未
G3-053,RAG,標準,生成AI・LLM分野のひっかけ対策として、RAGにおけるチャンクについて正しい理解はどれか。,モデルの最終出力層,検索や埋め込みのために文書を分割した単位,強化学習の報酬値,画像の色数,A,チャンクは文書を検索しやすい単位に分割したもの。大きさが検索品質に影響する。,未
G3-054,RAG,難,生成AI・LLM分野のひっかけ対策として、リランキングの目的について正しい理解はどれか。,生成文を必ず短くする,検索候補を再評価し、回答に有用な順へ並べ替える,著作権表示を自動削除する,モデルの温度を高くする,B,リランキングは初回検索で得た候補を関連度などで並べ替え、品質を上げる。,未
G3-055,Embedding,標準,生成AI・LLM分野のひっかけ対策として、Embeddingについて正しい理解はどれか。,正解ラベルを人手で付ける作業,モデルを小型化する契約,単語や文などを意味的特徴を持つベクトルに変換した表現,報酬を計算する関数,C,Embeddingは意味の近さをベクトル空間上の距離や類似度として扱える。,未
G3-056,Embedding,難,生成AI・LLM分野のひっかけ対策として、ベクトル検索について正しい理解はどれか。,文字列の完全一致だけを見る検索,法律文書だけを対象にした検索,画像を必ず生成する検索,埋め込みベクトル同士の類似度を使って近い文書を探す検索,D,ベクトル検索は意味的に近い情報を探すためにRAGなどで使われる。,未
G3-057,生成AIリスク,標準,G検定で混同しやすい用語として、ハルシネーションについて正しい理解はどれか。,AIが事実に反する内容をもっともらしく生成すること,モデルサイズを小さくすること,学習データを匿名化すること,画像を高解像度化すること,A,ハルシネーションは生成AIが根拠のない誤情報を自然に出す現象。,未
G3-058,生成AIリスク,難,G検定で混同しやすい用語として、プロンプトインジェクションについて正しい理解はどれか。,モデルを追加学習すること,悪意ある指示で本来の指示や制約を無視させようとする攻撃,画像にノイズを足すこと,データを正規化すること,B,プロンプトインジェクションは外部入力などでシステム指示を上書きさせる攻撃。,未
G3-059,生成AIリスク,難,G検定で混同しやすい用語として、データ汚染に関する説明について正しい理解はどれか。,データを暗号化して保存すること,モデルを意図的に軽量化すること,テストデータや評価情報が学習に混入し、評価が不正確になること,文章をチャンクに分割すること,C,データ汚染やリーケージがあると、評価結果が実力より高く見える。,未
G3-060,生成AIリスク,標準,AIの出力を業務利用する際に最も適切な姿勢はどれか。,AI出力は常に正しいため確認不要,AIに個人情報を無制限に入力する,AIの誤りは利用者に関係しない,AI出力は参考にし、人間が根拠や妥当性を確認する,D,生成AI出力は誤ることがあるため、人間による確認と責任ある利用が重要。,未
G3-061,プロンプト,標準,生成AI・LLM分野のひっかけ対策として、Few-shot promptingについて正しい理解はどれか。,少数の入出力例をプロンプト内に示して回答を誘導する方法,例を一切与えずに指示だけする方法,モデル重みを変更する学習方法,外部文書を検索する方法,A,Few-shotは少数例をプロンプトに入れて、期待する出力形式や考え方を示す。,未
G3-062,プロンプト,標準,生成AI・LLM分野のひっかけ対策として、Zero-shot promptingについて正しい理解はどれか。,大量の正解例で追加学習する方法,具体例を示さず、指示だけで回答させる方法,少数例を示して回答させる方法,検索結果を使って回答する方法,B,Zero-shotは例示なしでタスク指示だけを与える使い方。,未
G3-063,プロンプト,難,Chain-of-Thought promptingの目的として最も近いものはどれか。,画像解像度を下げる,個人情報を保存する,推論過程を段階的に考えさせ、複雑な問題の性能向上を狙う,モデルを必ず小型化する,C,CoTは段階的な推論を促すプロンプト手法。ただし利用時は安全性や秘匿情報にも注意。,未
G3-064,チューニング,標準,生成AI・LLM分野のひっかけ対策として、ファインチューニングについて正しい理解はどれか。,事前学習済みモデルを特定タスクのデータで追加学習すること,プロンプトだけを変更すること,モデルの出力を人が読むこと,外部文書を検索すること,D,ファインチューニングはモデル重みを追加学習で調整する。RAGやプロンプト調整とは異なる。,未
G3-065,チューニング,難,生成AI・LLM分野のひっかけ対策として、LoRAについて正しい理解はどれか。,低ランク行列を用いて少数パラメータで効率よく追加学習する方法,すべての重みをゼロから再学習する方法,外部検索だけで回答する方法,著作権法上の引用ルール,A,LoRAは大規模モデルの重み全体ではなく低ランクの追加パラメータを学習する効率化手法。,未
G3-066,チューニング,難,生成AI・LLM分野のひっかけ対策として、RLHFについて正しい理解はどれか。,教師なしクラスタリングの一種,人間のフィードバックを用いてモデルの出力を望ましい方向へ調整する手法,画像の畳み込み処理,文書をチャンク化する処理,B,RLHFは人間の評価を報酬モデルなどに反映して出力を調整する。,未
G3-067,チューニング,難,生成AI・LLM分野のひっかけ対策として、Instruction Tuningについて正しい理解はどれか。,報酬を最大化するゲームAI専用手法,画像を圧縮すること,指示に従う能力を高めるため、指示と応答のデータで学習すること,データを匿名加工する制度,C,Instruction Tuningは指示応答データでモデルを調整し、指示追従能力を高める。,未
G3-068,チューニング,難,生成AI・LLM分野のひっかけ対策として、PEFTについて正しい理解はどれか。,全パラメータを必ず更新する追加学習,検索結果を並べ替える処理,モデル出力を法律文に変換する処理,少数のパラメータだけを更新して効率的に適応させる手法群,D,PEFTはParameter-Efficient Fine-Tuningの略で、LoRAなどを含む。,未
G3-069,マルチモーダル,標準,G検定で混同しやすい用語として、マルチモーダルAIについて正しい理解はどれか。,テキスト・画像・音声など複数種類の情報を扱うAI,表形式データだけを扱うAI,報酬だけで学習するAI,法律文書だけを分類するAI,A,マルチモーダルAIは複数のモダリティを統合して処理する。,未
G3-070,画像認識,標準,G検定で混同しやすい用語として、セマンティックセグメンテーションについて正しい理解はどれか。,画像全体に1つのラベルを付ける分類,画素ごとにクラス分類する画像認識タスク,物体の中心座標だけを出す処理,画像を文章に翻訳する処理,B,セマンティックセグメンテーションはピクセル単位で意味カテゴリを分類する。,未
G3-071,画像認識,標準,G検定で混同しやすい用語として、物体検出について正しい理解はどれか。,文章を単語に分割するタスク,クラスタ数を決めるタスク,画像中の物体の種類と位置を検出するタスク,モデルを匿名化するタスク,C,物体検出は分類だけでなく位置情報も扱う。,未
G3-072,自然言語処理,標準,G検定で混同しやすい用語として、形態素解析について正しい理解はどれか。,画像を小さくする処理,報酬を計算する処理,モデルをファインチューニングする処理,文章を意味を持つ最小単位に分け、品詞などを解析する処理,D,形態素解析は日本語NLPで特に重要な前処理の一つ。,未
G3-073,自然言語処理,標準,G検定で混同しやすい用語として、Word2Vecについて正しい理解はどれか。,単語を分散表現ベクトルとして学習する手法,文章を暗号化する法律技術,画像を畳み込むCNN,報酬を最大化する強化学習手法,A,Word2Vecは単語の意味的類似性をベクトル空間で表現する代表的手法。,未
G3-074,自然言語処理,難,G検定で混同しやすい用語として、機械翻訳におけるSeq2Seqについて正しい理解はどれか。,画素ごとの分類だけを行う手法,入力系列を出力系列へ変換するEncoder-Decoder型の枠組み,個人情報を匿名化する制度,決定木を多数決する手法,B,Seq2Seqは翻訳・要約など系列から系列への変換に使われる。,未
G3-075,音声処理,標準,G検定で混同しやすい用語として、音声認識について正しい理解はどれか。,文章から画像を生成する処理,画像内の物体位置を検出する処理,音声信号をテキストなどに変換する処理,報酬から方策を作る処理,C,音声認識は音声データを文字列などに変換する技術。,未
G3-076,データ前処理,標準,G検定で混同しやすい用語として、データ拡張の目的について正しい理解はどれか。,テストデータを訓練データに混ぜること,個人情報を公開すること,モデルの説明責任を保証すること,既存データに変換を加えて学習データの多様性を増やすこと,D,データ拡張は反転・回転・ノイズ付加などで汎化性能向上を狙う。,未
G3-077,データ前処理,難,G検定で混同しやすい用語として、標準化について正しい理解はどれか。,平均0・分散1になるように特徴量を変換すること,カテゴリ変数を文章に変えること,個人情報を削除すること,正解ラベルを作ること,A,標準化は特徴量のスケールを揃え、学習を安定させるために用いられる。,未
G3-078,データ前処理,標準,欠損値処理として不適切になりやすいものはどれか。,平均値や中央値で補完する,理由を確認せず全欠損を機械的に0で埋める,欠損を示すフラグを追加する,欠損が多い列を除外することを検討する,B,欠損の意味を確認せず0埋めすると、誤った意味を持たせる可能性がある。,未
G3-079,データ前処理,難,G検定で混同しやすい用語として、データリーケージについて正しい理解はどれか。,モデルの推論速度が遅いこと,画像を水増しすること,本来使えない未来情報や評価データが学習に混入すること,特徴量を正規化すること,C,リーケージがあると評価が不当に高くなり、本番で性能が落ちやすい。,未
G3-080,説明可能性,標準,G検定で混同しやすい用語として、ブラックボックス問題について正しい理解はどれか。,データが黒色画像だけになる問題,モデルサイズが小さすぎる問題,報酬がゼロになる問題,AIの判断根拠が人間に理解しづらい問題,D,ブラックボックス問題は判断過程が見えにくく、説明責任や信頼性に関わる。,未
G3-081,説明可能性,難,G検定で混同しやすい用語として、LIMEやSHAPに関する説明について正しい理解はどれか。,個々の予測に対する特徴量の寄与を説明する手法として使われる,強化学習の報酬設計だけに使う,画像生成専用のモデル構造,個人情報保護法の条文名,A,LIMEやSHAPは説明可能AIの代表的手法として扱われる。,未
G3-082,モデル軽量化,標準,G検定で混同しやすい用語として、蒸留（Knowledge Distillation）について正しい理解はどれか。,学習データを暗号化する手法,大きな教師モデルの知識を小さな生徒モデルへ移す手法,画像を白黒にする手法,報酬を最大化する手法,B,蒸留は大規模モデルの挙動を小型モデルに学ばせる軽量化手法。,未
G3-083,モデル軽量化,難,G検定で混同しやすい用語として、量子化について正しい理解はどれか。,モデルの全重みを人手で書くこと,検索文書を分割すること,重みや演算の数値精度を下げ、メモリや計算量を削減すること,教師ラベルを作ること,C,量子化はfloat32からint8などへ精度を下げ、推論を軽くする方法。,未
G3-084,モデル軽量化,難,G検定で混同しやすい用語として、枝刈り（Pruning）について正しい理解はどれか。,正解データを増やすこと,Attentionを増やすこと,出力をランダムにすること,重要度の低い重みや接続を削除してモデルを軽量化すること,D,枝刈りは不要なパラメータや接続を削って軽量化する。,未
G3-085,AI史,標準,G検定で混同しやすい用語として、ダートマス会議に関する説明について正しい理解はどれか。,人工知能という研究分野の出発点として語られる会議,Transformerが発表された会議,GANが初めて提案された会議,個人情報保護法が制定された会議,A,1956年のダートマス会議はAI研究の始まりとしてよく問われる。,未
G3-086,AI史,標準,第一次AIブームの中心に近いものはどれか。,エキスパートシステム,探索と推論,ディープラーニング,生成AIチャットボット,B,第一次AIブームは探索・推論が中心。第二次や第三次と混同しない。,未
G3-087,AI史,標準,第二次AIブームで注目されたものはどれか。,深層強化学習,拡散モデル,エキスパートシステム,BERT,C,第二次AIブームでは専門家知識をルール化するエキスパートシステムが注目された。,未
G3-088,AI史,難,G検定で混同しやすい用語として、知識獲得のボトルネックについて正しい理解はどれか。,GPUの価格が高い問題,画像データが多すぎる問題,AIが必ず意識を持つ問題,専門家の知識を人手で体系化・入力することが難しい問題,D,第二次AIブームの限界として、専門知識の獲得・ルール化の難しさが問題になった。,未
G3-089,AI史,標準,G検定で混同しやすい用語として、第三次AIブームの背景について正しい理解はどれか。,ビッグデータ・計算資源・深層学習の発展,エキスパートシステムだけの発展,法律文書の増加だけ,手書きルールの復活,A,第三次AIブームは深層学習、GPU、ビッグデータなどに支えられた。,未
G3-090,AI基礎,標準,G検定で混同しやすい用語として、シンボルグラウンディング問題について正しい理解はどれか。,データを標準化する問題,記号が現実世界の意味とどう結びつくかという問題,GPUを冷却する問題,画像を生成する問題,B,記号操作だけで意味理解が成立するのか、というAIの古典的論点。,未
G3-091,AI基礎,標準,G検定で混同しやすい用語として、フレーム問題について正しい理解はどれか。,AIが無関係な情報をすべて除外し、必要な情報だけを選ぶことが難しい問題,個人情報の同意取得の問題,モデルの重みを保存できない問題,画像のピクセル数が多い問題,C,フレーム問題は、現実世界で考慮すべき範囲をどう限定するかの問題。,未
G3-092,AI基礎,標準,G検定で混同しやすい用語として、チューリングテストについて正しい理解はどれか。,正則化の一種,CNNの評価指標,個人情報保護制度,機械が人間と区別できない応答をできるかを見る考え方,D,チューリングテストはAIの知能をめぐる古典的な評価の考え方。,未
G3-093,AI基礎,難,G検定で混同しやすい用語として、強いAIについて正しい理解はどれか。,人間のような意識や汎用知能を持つAIとして議論される概念,特定タスクだけを処理するAI,GPUを用いるAI全般,ルールベースのAI,A,強いAIは汎用的な知能や意識を持つAIという哲学的論点で使われる。,未
G3-094,法律倫理,標準,AI倫理・法務の観点で、個人情報をAIサービスに入力する際の基本的な注意について正しい理解はどれか。,便利なら無条件で入力する,利用目的・同意・社内規程・提供先などを確認する,匿名化していなくても公開してよい,AIが自動で責任を負うため確認不要,B,個人情報は利用目的・第三者提供・安全管理などを確認して扱う必要がある。,未
