id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G4-017,LLM,標準,トークンの説明として最も適切なものはどれか。,LLMが処理する単語や文字列の単位,正解率と再現率の平均,画像の画素だけを指す単位,報酬の最大値,A,トークンはLLMが入力・出力を扱う基本単位。,
G4-018,法律倫理,やや難,AI開発でデータセットの出所を確認する理由として最も適切なものはどれか。,著作権・個人情報・利用許諾などのリスクを把握するため,モデルの層数を自動的に増やすため,必ず汎化性能が100%になるため,データ量を減らすため,A,データの取得・利用条件を確認しないと法的・倫理的リスクが生じる。,
G4-019,評価指標,標準,再現率が特に重視される例として最も適切なものはどれか。,病気の可能性がある人を見逃したくないスクリーニング,陽性と予測したものだけを絶対に正しくしたい広告配信,処理速度だけを測りたいベンチマーク,画像サイズを圧縮したい処理,A,再現率は実際の正例をどれだけ拾えたか。見逃しを避けたい場面で重要。,
G4-020,AI史,標準,第三次AIブームの背景として最も適切なものはどれか。,ビッグデータ、計算資源、ディープラーニングの発展,紙の専門家ルールの不足,インターネットの完全消滅,機械翻訳の禁止,A,第三次AIブームは大量データ・GPU・深層学習の進展と関係が深い。,
G4-021,生成AI,標準,生成AIが根拠のない内容を自然な文章で断定してしまう現象はどれか。,生成AIが事実と異なる内容をもっともらしく出力すること,学習率が0になること,画像分類で畳み込みを行うこと,データを正規化すること,A,ハルシネーションは生成AIが誤情報を自然な文で出す現象。,
G4-022,機械学習,やや難,交差検証の目的として最も適切なものはどれか。,データの分割を変えながらモデル性能を安定的に評価する,すべての特徴量を削除する,正解ラベルを自動生成する,必ず深層学習モデルに変換する,A,交差検証は限られたデータで評価の偏りを抑える方法。,
G4-023,自然言語処理,標準,日本語文を単語や品詞の単位に切り分ける処理として最も適切なものはどれか。,文を意味を持つ最小単位などに分割し品詞などを解析する,画像をフィルタで畳み込む,報酬を最大化する方策を学ぶ,モデルの重みを量子化する,A,日本語NLPでは単語分割や品詞推定に形態素解析が使われる。,
G4-024,AIガバナンス,標準,AIガバナンスの説明として最も適切なものはどれか。,AIのリスクを管理し、適切に開発・利用するための組織的な仕組み,AIに完全な人格を与える制度,GPUを購入する会計処理だけ,モデルを必ず非公開にすること,A,AIガバナンスは方針、体制、監査、リスク管理などを含む。,
G4-025,深層学習,標準,活性化関数の役割として最も適切なものはどれか。,ニューラルネットに非線形性を導入する,データの著作権を確認する,出力ファイルをCSVにする,学習データを必ず削除する,A,活性化関数により複雑な非線形関係を学習できる。,
G4-026,AI基礎,標準,現在実用化されている画像分類AIや翻訳AIの多くに当てはまる「弱いAI」の特徴はどれか。,人間と同じ意識を持つAI,特定の目的や課題に特化して機能するAI,あらゆる分野を完全に自律判断するAI,物理的な身体を持つAIだけを指す,B,弱いAIは特定タスクを遂行するAI。現在の多くの実用AIはこちらに当たる。,
G4-027,評価指標,標準,「陽性と予測したものがどれだけ本当に陽性だったか」を表す指標はどれか。,実際の正例のうち予測できた割合,正例と予測したもののうち実際に正例だった割合,全データのうち正解した割合,負例を負例と予測した割合,B,適合率は「正例と予測したものがどれだけ当たりか」を示す。,
G4-028,生成AI,標準,既存の事前学習済みモデルを、社内分類など特定タスク向けに追加学習する方法はどれか。,外部文書を検索して回答に添えるだけの手法,事前学習済みモデルを特定タスク向けに追加学習する手法,入力文を短くするだけの手法,正解ラベルを一切使わないクラスタリング手法,B,ファインチューニングはモデルの重みを追加学習で調整する。RAGとは異なる。,
G4-029,AI史,やや難,知識獲得のボトルネックが問題になった主な文脈として最も適切なものはどれか。,第一次AIブームの探索のみ,エキスパートシステムで専門家知識を大量にルール化する困難,TransformerでAttentionを使う困難,画像生成AIの著作権だけ,B,第二次AIブームでは知識を人手で獲得・更新する困難が限界となった。,
G4-030,画像認識,標準,画像内のエッジや模様など局所特徴をフィルタで取り出す層はどれか。,単語列の次トークンを予測する層,フィルタを用いて画像などの局所的特徴を抽出する層,報酬を割り引く層,データ利用契約を判定する層,B,CNNの畳み込み層はエッジや模様など局所特徴を抽出する。,
G4-031,機械学習,標準,データを訓練用と評価用に分けてモデル性能を見る検証方法はどれか。,データを毎回1件ずつ削除する方法,データを訓練用と評価用などに分けて性能を検証する方法,全データを正解ラベルなしにする方法,画像を回転させて増やす方法,B,ホールドアウト法はデータを分割して訓練・評価を行う基本的な検証方法。,
G4-032,法律倫理,標準,著作物をAI学習や生成物利用で扱う際の注意として最も適切なものはどれか。,AIなら著作権を必ず無視できる,利用条件、権利制限規定、生成物の類似性などを確認する,生成物には絶対に著作権リスクがない,出典を消せば問題は必ずなくなる,B,著作権は学習・入力・出力利用の各段階で確認が必要。,
G4-033,深層学習,やや難,ニューラルネットで損失から各層の重み更新量を求める基本的な学習手法はどれか。,データをクラスタに分ける方法,出力誤差をもとに各層の重みを更新するため勾配を計算する方法,AI倫理のリスクを監査する方法,単語を辞書順に並べる方法,B,バックプロパゲーションはニューラルネットの学習で勾配を逆向きに伝える。,
G4-034,LLM,標準,LLMが「次トークン予測」に基づくという説明として最も適切なものはどれか。,常に真実だけを検索して返す,文脈から次に続く可能性が高いトークンを予測しながら文章を生成する,画像の輪郭だけを抽出する,人間の記憶を直接読み取る,B,LLMは確率的に次のトークンを予測して文章を生成する。,
G4-035,強化学習,標準,強化学習で「新しい行動を試す」ことと「既に良い行動を選ぶ」ことのバランスは何か。,学習データとテストデータの分割比率,未知の行動を試すことと、既知の良い行動を選ぶことのバランス,画像の解像度とファイルサイズの関係,個人情報と匿名情報の区別,B,強化学習では新しい行動探索と報酬が高い行動活用のバランスが重要。,
G4-036,生成AI,やや難,コンテキスト長の説明として最も適切なものはどれか。,モデルが必ず正しい回答をする確率,モデルが一度に参照できる入力・会話履歴などの長さ,GPUの物理的な長さ,学習データの著作権期間,B,LLMには一度に扱える文脈量に上限がある。,
G4-037,データ前処理,標準,欠損値処理として一般的な方法はどれか。,欠損があっても必ず何もしない,平均値・中央値で補完する、欠損行を除外するなどを検討する,欠損列を正解ラベルにする,欠損値をすべて著作物とみなす,B,欠損値は補完・除外・モデル側対応など、目的に応じて処理する。,
G4-038,AI倫理,標準,公平性の観点でデータを確認する理由として最も適切なものはどれか。,モデルを必ず小さくするため,特定の属性や集団に不利な偏りがないか確認するため,推論速度だけを上げるため,語順情報を完全に消すため,B,偏ったデータは差別的・不公平な結果につながる可能性がある。,
G4-039,自然言語処理,やや難,word2vecなどの単語分散表現の説明として最も適切なものはどれか。,単語を画像として保存する方法,単語の意味的な近さをベクトル空間上の近さとして表す方法,文章を必ず1文字ごとに削除する方法,報酬だけで翻訳する方法,B,単語分散表現は意味や文脈の類似性をベクトルで扱う。,
G4-040,AIガバナンス,標準,ヒューマン・イン・ザ・ループの説明として最も適切なものはどれか。,AI判断を人間が一切確認しない運用,AIの判断や処理に人間の確認・介入を組み込む運用,すべてのデータを人間が暗記すること,モデルを必ずオフラインにすること,B,重要判断では人間の監督や介入を組み込むことがある。,
G4-041,機械学習,標準,分類問題の例として最も適切なものはどれか。,明日の気温を数値で予測する,画像が犬か猫かを判定する,売上金額を連続値で予測する,報酬最大化の行動を探索する,B,分類はカテゴリを予測する問題。犬/猫判定は典型例。,
G4-042,深層学習,やや難,バッチ正規化の主な効果として最も適切なものはどれか。,著作物の利用許諾を得る,各層の入力分布を安定させ、学習を進めやすくする,全てのラベルを削除する,推論時に正解を人間が入力する,B,バッチ正規化は学習の安定化・高速化に役立つ。,
G4-043,生成AI,標準,テキストだけでなく画像や音声も同時に扱えるAIの分類として最も適切なものはどれか。,文字だけを扱うAI,テキスト、画像、音声など複数種類の情報を扱えるAI,教師あり学習だけを行うAI,ローカル環境でしか動かないAI,B,マルチモーダルは複数のモダリティを扱うこと。,
G4-044,AI基礎,やや難,記号処理AIにおいて、記号が現実の意味とどう結びつくかを問う論点はどれか。,AIが必ず過学習する問題,記号が現実世界の意味とどのように結びつくかという問題,GPUの熱暴走問題,データベースの正規化問題,B,記号処理だけで意味理解を説明できるかに関わる問題。,
G4-045,評価指標,標準,F1スコアの説明として最も適切なものはどれか。,正解率だけを2倍した値,適合率と再現率のバランスを見る指標,損失関数の最大値,テストデータの件数,B,F1スコアは適合率と再現率の調和平均。,
G4-046,法律倫理,やや難,営業秘密を生成AIに入力する際の注意として最も適切なものはどれか。,入力すれば秘密性は必ず高まる,外部サービスへの送信や学習利用の有無を確認し、社内ルールに従う,AIが出力したら自動的に公開情報になる,短い文章なら秘密ではない,B,営業秘密や機密情報は入力先・保存・学習利用の管理が必要。,
G4-047,強化学習,標準,強化学習で、状態や行動が将来得られる報酬の期待を表すものはどれか。,データの著作権価値を測る関数,状態や行動が将来どの程度の報酬につながるかを表す関数,文章を単語に分割する関数,画像を白黒にする関数,B,価値関数は将来得られる報酬の期待値を表す。,
G4-048,AI史,標準,第一次AIブームの中心的なテーマとして最も適切なものはどれか。,生成AIによる画像作成,探索や推論による問題解決,ビッグデータによる深層学習,RAGによる社内検索,B,第一次AIブームでは探索・推論が中心だった。,
G4-049,生成AI,やや難,埋め込み（Embedding）の説明として最も適切なものはどれか。,入力文を削除する処理,テキストなどを意味的性質を反映したベクトルに変換すること,モデルを法的に登録すること,画像を必ずぼかす処理,B,Embeddingは意味検索やRAGで重要なベクトル表現。,
G4-050,データ前処理,標準,正規化の例として最も適切なものはどれか。,欠損値を著作権情報に変える,特徴量を0〜1の範囲に変換する,ラベルをすべて削除する,モデルの層を増やす,B,正規化は特徴量スケールを一定範囲にそろえる前処理。,
G4-051,機械学習,標準,過学習を抑える方法として最も適切なものはどれか。,訓練データだけで性能を評価する,モデルを常に複雑にする,正則化やドロップアウトを利用する,テストデータを訓練に混ぜる,C,過学習対策には正則化、ドロップアウト、データ拡張、早期終了などがある。,
G4-052,生成AI,やや難,RAGとファインチューニングの違いとして最も適切なものはどれか。,どちらもモデルの重みを必ず変更する,どちらも外部検索を禁止する,RAGは外部情報を検索して文脈に加え、ファインチューニングは重みを追加学習で調整する,RAGは画像専用でファインチューニングは音声専用である,C,RAGとファインチューニングは混同しやすい。重みを変えるかが重要な違い。,
G4-053,評価指標,標準,迷惑メールではない通常メールを、誤って迷惑メールと判定するような「偽陽性」に当たる説明はどれか。,実際も予測も正例,実際も予測も負例,実際は負例だが正例と予測した,実際は正例だが負例と予測した,C,FPはFalse Positive。誤って正例と判定したもの。,
G4-054,AI倫理,標準,AIシステムの利用目的や判断根拠を利用者が理解できる状態にする考え方はどれか。,AIの処理を常に非公開にすること,AIに人格を認めること,AIの利用目的、仕組み、判断根拠などを理解可能にすること,計算速度を最大にすること,C,透明性はAIの利用や判断が見える・説明できる状態に関わる。,
G4-055,深層学習,標準,深層学習でよく使われる、負の入力を0にし正の入力をそのまま返す活性化関数はどれか。,入力が負でもそのまま出力する,必ず0から1の確率に変換する,入力が0以下なら0、正ならその値を返す,文章を単語に分割する,C,"ReLUは代表的な活性化関数で、max(0,x)として表される。",
G4-056,自然言語処理,標準,tf-idfの説明として最も適切なものはどれか。,画像の色を正規化する指標,強化学習の報酬を割り引く係数,文書内で重要そうな単語を、出現頻度と希少性から重み付けする方法,ニューラルネットの層数,C,tf-idfは文書中で特徴的な単語に高い重みを付ける手法。,
G4-057,法律倫理,やや難,AIの出力を業務で使う際に適切な姿勢はどれか。,AI出力は常に正しいので確認不要,AI出力の責任は常にAIだけが負う,事実確認や権利確認を行い、人間が責任を持って利用する,出力をそのまま顧客へ出せばよい,C,生成AI出力は誤りや権利侵害の可能性があるため人間の確認が必要。,
G4-058,AI基礎,標準,特定用途に限らず、多様な課題へ柔軟に対応する人工知能の概念はどれか。,画像分類だけに特化したAI,迷惑メール分類AI,多様な課題に人間のように柔軟に対応できるAI,決められたルールだけを実行する表計算マクロ,C,AGIは幅広い課題を一般的に解く知能を指す概念。,
G4-059,データ前処理,標準,ワンホットエンコーディングの説明として最も適切なものはどれか。,数値を0〜1に圧縮する,欠損値を平均で埋める,カテゴリ変数を0/1の複数列で表す,画像を回転して増やす,C,カテゴリデータを機械学習で扱いやすい数値表現にする方法。,
G4-060,画像認識,やや難,データ拡張の例として最も適切なものはどれか。,学習データをすべて削除する,正解ラベルを隠す,画像を回転・反転・切り抜きして学習例を増やす,モデルの出力を人間が暗記する,C,データ拡張は汎化性能向上や過学習抑制に使われる。,
G4-061,強化学習,標準,報酬の説明として最も適切なものはどれか。,入力データに付いた正解ラベル,クラスタ中心の座標,行動の良し悪しを示す環境からのフィードバック,単語の出現回数,C,強化学習では報酬をもとに望ましい行動を学ぶ。,
G4-062,生成AI,標準,大量データで事前学習し、下流タスクへ転用しやすい大規模モデルはどれか。,小規模データだけで特定用途専用に作るモデル,検索エンジンだけを指す用語,大量データで事前学習され、多様な用途に転用できるモデル,必ず個人情報を含まないモデル,C,基盤モデルは多用途に利用できる大規模な事前学習済みモデル。,
G4-063,AI史,やや難,ディープブルーに関する説明として最も適切なものはどれか。,自然言語で対話する生成AI,医療画像を生成するモデル,チェスで世界王者を破ったIBMのコンピュータ,日本語形態素解析器,C,Deep Blueはチェスでカスパロフを破ったことで知られる。,
G4-064,評価指標,標準,少数クラスが非常に少ない分類問題で、正解率だけに頼ると起こりやすい問題はどれか。,常に最もよい評価指標なので注意点はない,計算できない指標である,クラス不均衡があると性能を過大評価することがある,回帰問題にしか使えない,C,不均衡データでは少数クラスの見逃しが正解率に現れにくいことがある。,
G4-065,深層学習,やや難,TransformerのAttention機構の説明として最も適切なものはどれか。,画像の画素値だけを平均する,報酬を最大化する,入力系列内のどの情報に注目するかを重み付けする,個人情報を自動で匿名化する,C,Attentionは系列内の関連箇所に重みを付ける仕組み。,
G4-066,AIガバナンス,標準,AIリスク管理でログを残す目的として最も適切なものはどれか。,処理速度を必ず下げるため,モデルを人間に見せないため,問題発生時に入力・出力・判断過程を追跡しやすくするため,著作権を消すため,C,ログは監査性や説明責任の確保に役立つ。,
G4-067,機械学習,標準,モデルが訓練データ以外の未知データにも対応できる性質を何と呼ぶか。,訓練データだけを完全暗記する能力,モデルのファイルサイズを小さくする能力,未知データに対しても適切に予測できる能力,学習を一切しない能力,C,汎化は学習済みモデルが未知データへ対応できる性質。,
G4-068,LLM,標準,生成AIに仕事を依頼するとき、出力形式や制約を具体的に書く主な目的はどれか。,曖昧な一語だけを入力する,矛盾する条件を大量に入れる,目的・条件・形式・制約を具体的に書く,個人情報を無制限に入力する,C,明確な指示や出力形式は生成AIの出力制御に役立つ。,
G4-069,法律倫理,標準,AIサービスの利用規約を確認すべき理由として最も適切なものはどれか。,規約は技術に関係しないため不要,規約を読むとモデル精度が上がる,入力データの保存・学習利用・商用利用条件などが定められているため,規約があれば著作権法は適用されないため,C,外部AIサービス利用では規約やデータ取扱いの確認が重要。,
G4-070,自然言語処理,やや難,BERTの特徴として最も適切なものはどれか。,画像だけを生成するGAN,報酬だけで学ぶロボット制御手法,Transformerを用い、文脈を双方向に考慮する言語モデル,決定木だけのアンサンブル,C,BERTは双方向文脈表現を用いる事前学習済み言語モデル。,
G4-071,AI基礎,標準,推論エンジンの説明として最も適切なものはどれか。,画像の画素を圧縮する装置,報酬を決める人間,知識ベースのルールなどを用いて結論を導く仕組み,GPUのファン制御,C,エキスパートシステムなどで知識を使って推論する部分。,
G4-072,生成AI,やや難,AIエージェントの説明として最も適切なものはどれか。,単に文章を1文だけ返す関数,モデルの学習率の別名,目標達成のために計画・ツール利用・実行を行うAIシステム,著作権を管理する法律名,C,AIエージェントは目的に応じて行動やツール利用を組み合わせる。,
G4-073,深層学習,標準,損失関数の役割として最も適切なものはどれか。,モデルの著作権を判定する,訓練データを分類名順に並べる,予測と正解のずれを数値化し、学習の目標にする,個人情報を削除する,C,損失関数を小さくするようにモデルを学習する。,
G4-074,データ前処理,標準,外れ値への対応として最も適切な考え方はどれか。,常にすべて削除する,常にすべて正解ラベルにする,誤入力か重要な異常かを確認し、目的に応じて処理する,外れ値は存在しないものとする,C,外れ値は単純削除ではなく、意味と影響を確認する。,
G4-075,AI倫理,やや難,アカウンタビリティの説明として最も適切なものはどれか。,AIが必ず自我を持つこと,データを暗号化することだけ,AIの利用や判断について説明責任を果たすこと,モデルを無料で公開すること,C,AIの社会利用では説明責任や責任所在が問われる。,
G4-076,機械学習,標準,分類や回帰の教師あり学習で、入力データとセットで必要になるものはどれか。,報酬だけ,クラスタ数だけ,探索空間だけ,入力データと正解ラベル,D,教師あり学習では入力と正解ラベルの対応から学習する。,
G4-077,生成AI,標準,LLMを業務利用する際に、出力内容について特に注意すべき弱点はどれか。,文章を生成できない,文脈の影響を受けない,外部情報なしで常に最新情報に正確,もっともらしい誤情報を出すことがある,D,LLMはハルシネーションや最新・社内情報への弱さに注意が必要。,
G4-078,AI史,標準,冬の時代が起きた理由として最も適切なものはどれか。,AIが完全に完成したため,計算資源や実用性の限界が期待を下回ったためではない,法律でAI研究が世界的に禁止されたため,過度な期待に対して実用成果が不足し、研究投資が冷え込んだため,D,AIブーム後に期待ほど成果が出ず、AI冬の時代が起きた。,
G4-079,評価指標,標準,実際は陽性なのに陰性と判定してしまうケースを混同行列では何と呼ぶか。,実際も予測も正例,実際は負例だが正例と予測,実際も予測も負例,実際は正例だが負例と予測,D,FNはFalse Negative。見逃しに相当する。,
G4-080,法律倫理,やや難,プライバシー・バイ・デザインの考え方として最も適切なものはどれか。,問題が起きてからだけ対処する,個人情報をすべて公開する,設計にプライバシーを入れない,企画・設計段階からプライバシー保護を組み込む,D,プライバシー保護は後付けでなく設計段階から考慮する。,
G4-081,深層学習,標準,訓練データ全体を一通り使って学習する回数の単位はどれか。,1つの重みだけを更新する単位,1つの出力トークン,1つの画像フィルタ,訓練データ全体を1回学習に使う単位,D,エポックは訓練データセット全体を何回学習したかを表す。,
G4-082,自然言語処理,標準,係り受け解析の説明として最も適切なものはどれか。,画像の明暗を調整する,単語をランダムに削除する,報酬を最大化する,文中の語句同士の修飾・被修飾関係を解析する,D,係り受け解析は文構造理解に関わるNLP技術。,
G4-083,AIガバナンス,標準,AIのライフサイクル管理として最も適切なものはどれか。,開発後は一切監視しない,導入前だけ確認すればよい,利用者の感覚だけで放置する,開発・導入・運用・監視・改善を継続的に管理する,D,AIは運用後も性能劣化やリスク変化を監視する必要がある。,
G4-084,画像認識,やや難,転移学習を画像認識で使う例として最も適切なものはどれか。,学習済みCNNの特徴抽出部を活用して少量データの分類器を作ることではない,正解ラベルをすべて捨てること,推論結果を全部ランダムにすること,ImageNetなどで学習済みのモデルを別の画像分類タスクに利用する,D,画像認識では事前学習済みモデルを別タスクへ転用することが多い。,
G4-085,強化学習,標準,状態と行動の価値を表で更新しながら最適行動を学ぶ強化学習手法はどれか。,文章を単語に分割する方法,画像を畳み込む方法,個人情報を匿名化する方法,状態・行動の価値を更新しながら最適行動を学ぶ手法,D,Q学習は価値ベースの代表的な強化学習手法。,
G4-086,生成AI,やや難,温度パラメータの説明として最も適切なものはどれか。,GPUの物理温度だけ,個人情報保護のレベル,学習データの保存期間,生成時のランダム性・多様性に影響する設定,D,温度が高いほど多様でランダムな出力になりやすい。,
G4-087,機械学習,標準,複数の予測モデルを組み合わせ、単独モデルより安定した予測を目指す方法はどれか。,1つの特徴量だけで学習する,ラベルなしデータだけを使う,報酬だけを最大化する,複数のモデルを組み合わせて予測性能を高める,D,アンサンブルは複数モデルの組み合わせ。ランダムフォレストなどが代表例。,
G4-088,AI倫理,標準,バイアスのあるAI出力への対応として最も適切なものはどれか。,便利ならそのまま使う,少数派への影響は見なくてよい,AIの判断は常に中立とみなす,データ・モデル・運用を確認し、偏りの原因を改善する,D,AIバイアスはデータだけでなく運用や評価にも関わる。,
G4-089,LLM,標準,文脈内学習（in-context learning）の説明として最も適切なものはどれか。,モデル重みを必ず変更する,学習データを削除する,GPUを増設する,プロンプト内の例や指示から、その場の振る舞いを調整する,D,文脈内学習はプロンプト内の例示でモデル出力を誘導する。,
G4-090,データ前処理,標準,ラベルエンコーディングの説明として最も適切なものはどれか。,画像を白黒にする,数値を標準偏差1にする,文章を要約する,カテゴリを整数値に置き換える,D,カテゴリ変数を数値に変換する基本的な前処理。,
G4-091,AI基礎,やや難,身体性に関する説明として最も適切なものはどれか。,AIは身体を持つと必ず意識を持つ,身体は知能に一切関係しないと確定している,画像認識の精度だけを指す,知能や認知が身体や環境との相互作用に関係するという考え方,D,身体性は知能を身体・環境との関係で考える論点。,
G4-092,生成AI,標準,例示を与えず、タスク指示だけでLLMに回答させる使い方はどれか。,大量の例を必ず与えること,画像を0枚にすること,モデルを一切使わないこと,具体例なしにタスク指示だけで解かせること,D,ゼロショットは例示なし、フューショットは少数例を与える。,
G4-093,深層学習,やや難,入力を低次元表現に圧縮し、そこから元入力を復元するように学習するモデルはどれか。,報酬だけで行動するモデル,著作権侵害を検知する法律,正解率だけを計算する表,入力を圧縮表現に変換し、元の入力を復元するよう学習するモデル,D,オートエンコーダは次元削減や異常検知にも応用される。,
G4-094,評価指標,標準,分類器のしきい値を変化させたときの真陽性率と偽陽性率の関係を見る曲線はどれか。,単語の出現頻度表,学習率の推移だけを示す線,画像の輪郭線,しきい値を変えたときの真陽性率と偽陽性率の関係を示す曲線,D,ROC曲線は分類器の性能評価に用いられる。,
G4-095,法律倫理,標準,AIによる自動判断で人に不利益が出る場合に重要な対応はどれか。,理由説明や異議申立て、人間による確認の仕組みを検討しない,出力をそのまま最終決定にする,利用者に知らせない,説明・確認・救済の手段を検討する,D,人に大きな影響がある自動判断には説明や人間の関与が重要。,
G4-096,自然言語処理,やや難,機械翻訳でSeq2Seqモデルが使われた文脈として最も適切なものはどれか。,画像を分類するためだけ,法律文書を自動削除するため,クラスタ数を決めるため,入力系列を別の出力系列に変換するため,D,Seq2Seqは翻訳など系列から系列への変換に使われる。,
G4-097,AI史,標準,AlexNetが注目された理由として最も適切なものはどれか。,チェスで世界王者に勝ったため,エキスパートシステムを完成させたため,自然言語で初めて会話したため,画像認識コンペで深層学習の有効性を示したため,D,AlexNetはImageNetで高性能を示し、深層学習ブームの象徴となった。,
G4-098,生成AI,やや難,ベクトルデータベースがRAGで使われる主な理由はどれか。,法律を自動生成するため,画像を必ず高解像度化するため,モデルの重みを毎回初期化するため,意味的に近い文書を検索しやすくするため,D,Embeddingを使い、意味的類似性で検索するために使われる。,
G4-099,機械学習,標準,if文のような条件分岐を木構造でたどって分類・回帰を行うモデルはどれか。,層を深く重ねたニューラルネットだけを指す,報酬を最大化するロボット制御,単語をベクトル化する手法,条件分岐を木構造で表し、分類や回帰に使うモデル,D,決定木は可読性が比較的高いモデル。,
G4-100,AIガバナンス,やや難,モデルカードの目的として最も適切なものはどれか。,GPUの価格表を作ること,利用者の個人情報を公開すること,モデルを必ず有料化すること,モデルの概要、用途、性能、制限、リスクなどを文書化すること,D,モデルカードは透明性や適切な利用判断に役立つ文書。,
